<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYM_MV,D,20081215,000000,9.37,9.37,9.37,9.37,0,0
SYM_MV,D,20081216,000000,9.37,9.37,9.37,9.37,0,0
SYM_MV,D,20081217,000000,9.37,9.37,8.92,8.92,0,0
SYM_MV,D,20081218,000000,9.11,9.11,9.11,9.11,0,0
SYM_MV,D,20081219,000000,9.37,9.37,9.37,9.37,0,0
SYM_MV,D,20081222,000000,9.37,9.37,8.45,8.45,0,0
SYM_MV,D,20081230,000000,9.38,9.38,9.38,9.38,0,0
SYM_MV,D,20090112,000000,9.41,9.41,9.41,9.41,0,0
SYM_MV,D,20090113,000000,9.39,9.39,9.39,9.39,0,0
SYM_MV,D,20090114,000000,9.39,9.39,9.39,9.39,0,0
SYM_MV,D,20090115,000000,9.39,9.39,9.39,9.39,0,0
SYM_MV,D,20090116,000000,9.39,9.39,9.39,9.39,0,0
SYM_MV,D,20090119,000000,9.39,9.39,9.39,9.39,0,0
SYM_MV,D,20090120,000000,9.4,9.4,9.4,9.4,0,0
SYM_MV,D,20090121,000000,9.4,9.4,9.4,9.4,0,0
SYM_MV,D,20090122,000000,9.4,9.4,8.45,8.45,0,0
SYM_MV,D,20090130,000000,8.92,8.92,8.92,8.92,0,0
SYM_MV,D,20090203,000000,8.26,8.26,7.98,7.98,0,0
SYM_MV,D,20090206,000000,7.98,7.98,7.98,7.98,0,0
SYM_MV,D,20090402,000000,7.51,7.51,7.51,7.51,0,0
SYM_MV,D,20090805,000000,8.45,9.02,8.45,9.02,0,0
SYM_MV,D,20090810,000000,9.58,10.33,9.58,10.33,0,0
SYM_MV,D,20090817,000000,10.38,10.38,10.38,10.38,0,0
SYM_MV,D,20090818,000000,10.39,10.71,10.39,10.71,0,0
SYM_MV,D,20090819,000000,10.71,10.71,10.71,10.71,0,0
SYM_MV,D,20090820,000000,10.71,10.71,10.71,10.71,0,0
SYM_MV,D,20090821,000000,10.71,10.8,10.71,10.8,0,0
SYM_MV,D,20090824,000000,10.8,10.8,10.8,10.8,0,0
SYM_MV,D,20090825,000000,10.8,10.8,10.8,10.8,0,0
SYM_MV,D,20090826,000000,10.8,10.8,10.8,10.8,0,0
SYM_MV,D,20090827,000000,10.8,10.8,10.8,10.8,0,0
SYM_MV,D,20090828,000000,10.8,10.8,10.8,10.8,0,0
SYM_MV,D,20090831,000000,10.8,10.8,10.8,10.8,0,0
SYM_MV,D,20090902,000000,9.86,9.86,9.86,9.86,0,0
SYM_MV,D,20090903,000000,9.86,9.86,9.86,9.86,0,0
SYM_MV,D,20090904,000000,9.86,9.86,9.86,9.86,0,0
SYM_MV,D,20090907,000000,9.86,9.86,9.86,9.86,0,0
SYM_MV,D,20090908,000000,9.86,9.86,9.86,9.86,0,0
SYM_MV,D,20090909,000000,9.86,9.86,9.86,9.86,0,0
SYM_MV,D,20090910,000000,9.86,9.86,9.86,9.86,0,0
SYM_MV,D,20090911,000000,9.86,9.86,9.86,9.86,0,0
SYM_MV,D,20090914,000000,9.86,9.86,9.86,9.86,0,0
SYM_MV,D,20090915,000000,9.86,10.05,9.86,10.05,0,0
SYM_MV,D,20090916,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20090917,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20090921,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20090922,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20090923,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20090924,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20090925,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20090928,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20090929,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20090930,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20091001,000000,10.8,11.65,10.8,11.65,0,0
SYM_MV,D,20091002,000000,12.02,15.5,11.75,11.8,0,0
SYM_MV,D,20091007,000000,11.04,11.04,9.44,9.58,0,0
SYM_MV,D,20091008,000000,10.33,11.27,10.33,11.27,0,0
SYM_MV,D,20091009,000000,11.46,11.46,11.46,11.46,0,0
SYM_MV,D,20091012,000000,11.46,11.46,11.46,11.46,0,0
SYM_MV,D,20091013,000000,11.36,11.36,11.36,11.36,0,0
SYM_MV,D,20091014,000000,11.46,11.46,11.46,11.46,0,0
SYM_MV,D,20091015,000000,11.46,11.46,11.46,11.46,0,0
SYM_MV,D,20091016,000000,11.46,11.46,11.46,11.46,0,0
SYM_MV,D,20091019,000000,11.46,11.46,11.46,11.46,0,0
SYM_MV,D,20091020,000000,11.46,13.75,11.46,13.75,0,0
SYM_MV,D,20091021,000000,15.97,19.16,15.97,19.16,0,0
SYM_MV,D,20091022,000000,22.54,22.54,18.03,22.54,0,0
SYM_MV,D,20091023,000000,22.54,22.54,22.54,22.54,0,0
SYM_MV,D,20091026,000000,22.54,22.54,22.54,22.54,0,0
SYM_MV,D,20091027,000000,20.66,20.66,18.03,20.66,0,0
SYM_MV,D,20091028,000000,20.66,20.66,20.66,20.66,0,0
SYM_MV,D,20091029,000000,18.78,20.66,18.78,20.66,0,0
SYM_MV,D,20091030,000000,17.84,22.54,17.84,22.54,0,0
SYM_MV,D,20091102,000000,23.39,23.39,23.39,23.39,0,0
SYM_MV,D,20091103,000000,21.13,22.54,21.13,22.54,0,0
SYM_MV,D,20091105,000000,22.54,27.05,22.54,27.05,0,0
SYM_MV,D,20091106,000000,32.44,34.75,26.3,29.96,0,0
SYM_MV,D,20091109,000000,29.12,29.12,29.12,29.12,0,0
SYM_MV,D,20091110,000000,29.12,29.12,24.42,28.18,0,0
SYM_MV,D,20091112,000000,28.18,28.18,26.3,26.3,0,0
SYM_MV,D,20091113,000000,25.35,26.3,23.48,26.3,0,0
SYM_MV,D,20091116,000000,23.48,23.48,21.04,22.54,0,0
SYM_MV,D,20091117,000000,22.06,22.06,17.84,17.84,0,0
SYM_MV,D,20091118,000000,17.84,17.84,17.84,17.84,0,0
SYM_MV,D,20091119,000000,17.84,19.21,17.84,18.74,0,0
SYM_MV,D,20091120,000000,17.84,17.84,15.97,15.97,0,0
SYM_MV,D,20091123,000000,15.97,19.16,15.97,19.16,0,0
SYM_MV,D,20091124,000000,20.66,22.99,20.66,22.54,0,0
SYM_MV,D,20091125,000000,23.48,26.77,23.48,26.67,0,0
SYM_MV,D,20091127,000000,21.34,21.6,18.13,18.78,0,0
SYM_MV,D,20091130,000000,19.16,19.16,19.16,19.16,0,0
SYM_MV,D,20091201,000000,19.16,19.16,19.16,19.16,0,0
SYM_MV,D,20091202,000000,19.15,19.16,18.03,19.16,0,0
SYM_MV,D,20091203,000000,19.16,19.16,18.03,18.03,0,0
SYM_MV,D,20091204,000000,18.03,18.41,18.03,18.41,0,0
SYM_MV,D,20091207,000000,18.41,18.41,18.41,18.41,0,0
SYM_MV,D,20091208,000000,16.91,16.91,16.91,16.91,0,0
SYM_MV,D,20091209,000000,15.97,16.91,15.97,16.91,0,0
SYM_MV,D,20091211,000000,16.91,18.31,16.91,18.31,0,0
SYM_MV,D,20091214,000000,18.31,18.31,18.31,18.31,0,0
SYM_MV,D,20091217,000000,18.31,18.31,18.31,18.31,0,0
SYM_MV,D,20091218,000000,18.3,18.3,14.65,14.65,0,0
SYM_MV,D,20091221,000000,15.97,15.97,15.97,15.97,0,0
SYM_MV,D,20091222,000000,15.97,15.97,13.24,13.24,0,0
SYM_MV,D,20091223,000000,13.24,13.24,13.24,13.24,0,0
SYM_MV,D,20091228,000000,13.24,13.24,11.27,12.3,0,0
SYM_MV,D,20091229,000000,10.33,11.65,10.33,11.65,0,0
SYM_MV,D,20091230,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20091231,000000,10.33,10.33,10.33,10.33,0,0
SYM_MV,D,20100104,000000,10.33,11.27,10.33,11.27,0,0
SYM_MV,D,20100105,000000,11.25,11.25,11.25,11.25,0,0
