<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYM_PE,D,20081215,000000,37.9,37.9,37.9,37.9,0,0
SYM_PE,D,20081216,000000,37.9,37.9,30.4,30.4,0,0
SYM_PE,D,20081217,000000,30.4,30.4,28.9,29,0,0
SYM_PE,D,20081218,000000,29.6,29.6,29.6,29.6,0,0
SYM_PE,D,20081219,000000,30.5,30.5,30.4,30.4,0,0
SYM_PE,D,20081222,000000,30.4,30.4,27.4,27.4,0,0
SYM_PE,D,20081230,000000,30.4,30.5,30.4,30.5,0,0
SYM_PE,D,20090112,000000,30.6,30.6,30.6,30.6,0,0
SYM_PE,D,20090113,000000,30.5,30.5,30.5,30.5,0,0
SYM_PE,D,20090114,000000,30.5,30.5,30.5,30.5,0,0
SYM_PE,D,20090115,000000,30.5,30.5,30.5,30.5,0,0
SYM_PE,D,20090116,000000,30.5,30.5,30.5,30.5,0,0
SYM_PE,D,20090119,000000,30.5,30.5,30.5,30.5,0,0
SYM_PE,D,20090120,000000,30.5,30.5,30.5,30.5,0,0
SYM_PE,D,20090121,000000,30.5,30.5,30.5,30.5,0,0
SYM_PE,D,20090122,000000,30.5,30.5,27.4,27.4,0,0
SYM_PE,D,20090130,000000,28.9,29,28.9,29,0,0
SYM_PE,D,20090203,000000,26.9,26.9,25.9,25.9,0,0
SYM_PE,D,20090206,000000,25.9,25.9,25.9,25.9,0,0
SYM_PE,D,20090402,000000,24.3,24.3,24.3,24.3,0,0
SYM_PE,D,20090810,000000,10.1,10.9,10.1,10.9,0,0
SYM_PE,D,20090817,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090818,000000,10.9,11.3,10.9,11.3,0,0
SYM_PE,D,20090819,000000,11.3,11.3,11.3,11.3,0,0
SYM_PE,D,20090820,000000,11.3,11.3,11.3,11.3,0,0
SYM_PE,D,20090821,000000,11.3,11.4,11.3,11.4,0,0
SYM_PE,D,20090824,000000,11.4,11.4,11.4,11.4,0,0
SYM_PE,D,20090825,000000,11.4,11.4,11.4,11.4,0,0
SYM_PE,D,20090826,000000,11.4,11.4,11.4,11.4,0,0
SYM_PE,D,20090827,000000,11.4,11.4,11.4,11.4,0,0
SYM_PE,D,20090828,000000,11.4,11.4,11.4,11.4,0,0
SYM_PE,D,20090831,000000,11.4,11.4,11.4,11.4,0,0
SYM_PE,D,20090902,000000,10.4,10.4,10.4,10.4,0,0
SYM_PE,D,20090903,000000,10.4,10.4,10.4,10.4,0,0
SYM_PE,D,20090904,000000,10.4,10.4,10.4,10.4,0,0
SYM_PE,D,20090907,000000,10.4,10.4,10.4,10.4,0,0
SYM_PE,D,20090908,000000,10.4,10.4,10.4,10.4,0,0
SYM_PE,D,20090909,000000,10.4,10.4,10.4,10.4,0,0
SYM_PE,D,20090910,000000,10.4,10.4,10.4,10.4,0,0
SYM_PE,D,20090911,000000,10.4,10.4,10.4,10.4,0,0
SYM_PE,D,20090914,000000,10.4,10.4,10.4,10.4,0,0
SYM_PE,D,20090915,000000,10.4,10.6,10.4,10.6,0,0
SYM_PE,D,20090916,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090917,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090921,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090922,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090923,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090924,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090925,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090928,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090929,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20090930,000000,10.9,10.9,10.9,10.9,0,0
SYM_PE,D,20091001,000000,11.4,12.3,11.4,12.3,0,0
SYM_PE,D,20091002,000000,12.7,16.4,12.4,12.4,0,0
SYM_PE,D,20091007,000000,11.6,11.6,9.9,10.1,0,0
SYM_PE,D,20091008,000000,10.9,11.9,10.9,11.9,0,0
SYM_PE,D,20091009,000000,12.1,12.1,12.1,12.1,0,0
SYM_PE,D,20091012,000000,12.1,12.1,12.1,12.1,0,0
SYM_PE,D,20091013,000000,12,12,12,12,0,0
SYM_PE,D,20091014,000000,12.1,12.1,12.1,12.1,0,0
SYM_PE,D,20091015,000000,12.1,12.1,12.1,12.1,0,0
SYM_PE,D,20091016,000000,12.1,12.1,12.1,12.1,0,0
SYM_PE,D,20091019,000000,12.1,12.1,12.1,12.1,0,0
SYM_PE,D,20091020,000000,12.1,14.5,12.1,14.5,0,0
SYM_PE,D,20091021,000000,16.8,20.2,16.8,20.2,0,0
SYM_PE,D,20091022,000000,23.8,23.8,19,23.7,0,0
SYM_PE,D,20091023,000000,23.7,23.7,23.7,23.7,0,0
SYM_PE,D,20091026,000000,23.7,23.7,23.7,23.7,0,0
SYM_PE,D,20091027,000000,21.7,21.7,19,21.7,0,0
SYM_PE,D,20091028,000000,21.7,21.7,21.7,21.7,0,0
SYM_PE,D,20091029,000000,19.7,21.7,19.7,21.7,0,0
SYM_PE,D,20091030,000000,18.7,23.7,18.7,23.7,0,0
SYM_PE,D,20091102,000000,24.6,24.6,24.6,24.6,0,0
SYM_PE,D,20091103,000000,22.2,23.7,22.2,23.7,0,0
SYM_PE,D,20091105,000000,23.7,28.5,23.7,28.5,0,0
SYM_PE,D,20091106,000000,34.2,36.6,27.7,31.5,0,0
SYM_PE,D,20091109,000000,30.6,30.6,30.6,30.6,0,0
SYM_PE,D,20091110,000000,30.6,30.6,25.7,29.7,0,0
SYM_PE,D,20091112,000000,29.7,29.7,21.3,21.3,0,0
SYM_PE,D,20091113,000000,20.5,21.3,19,21.3,0,0
SYM_PE,D,20091116,000000,19,19,17,18.3,0,0
SYM_PE,D,20091117,000000,17.9,17.9,14.5,14.5,0,0
SYM_PE,D,20091118,000000,14.5,14.5,14.5,14.5,0,0
SYM_PE,D,20091119,000000,14.5,15.6,14.5,15.2,0,0
SYM_PE,D,20091120,000000,14.5,14.5,13,13,0,0
SYM_PE,D,20091123,000000,13,15.6,13,15.6,0,0
SYM_PE,D,20091124,000000,16.8,18.7,16.8,18.3,0,0
SYM_PE,D,20091125,000000,19.1,21.7,19.1,21.7,0,0
SYM_PE,D,20091127,000000,17.4,17.6,14.7,15.2,0,0
SYM_PE,D,20091130,000000,15.5,15.6,15.5,15.6,0,0
SYM_PE,D,20091201,000000,15.6,15.6,15.6,15.6,0,0
SYM_PE,D,20091202,000000,15.6,15.6,14.7,15.6,0,0
SYM_PE,D,20091203,000000,15.6,15.6,14.6,14.6,0,0
SYM_PE,D,20091204,000000,14.6,14.9,14.6,14.9,0,0
SYM_PE,D,20091207,000000,14.9,14.9,14.9,14.9,0,0
SYM_PE,D,20091208,000000,13.7,13.7,13.7,13.7,0,0
SYM_PE,D,20091209,000000,12.9,13.7,12.9,13.7,0,0
SYM_PE,D,20091211,000000,13.7,14.9,13.7,14.9,0,0
SYM_PE,D,20091214,000000,14.9,14.9,14.9,14.9,0,0
SYM_PE,D,20091217,000000,14.9,14.9,14.9,14.9,0,0
SYM_PE,D,20091218,000000,14.9,14.9,11.9,11.9,0,0
SYM_PE,D,20091221,000000,13,13,13,13,0,0
SYM_PE,D,20091222,000000,13,13,10.7,10.7,0,0
SYM_PE,D,20091223,000000,10.7,10.7,10.7,10.7,0,0
SYM_PE,D,20091228,000000,10.7,10.7,9.1,10,0,0
SYM_PE,D,20091229,000000,8.4,9.5,8.4,9.5,0,0
SYM_PE,D,20091230,000000,8.4,8.4,8.4,8.4,0,0
SYM_PE,D,20091231,000000,8.4,8.4,8.4,8.4,0,0
SYM_PE,D,20100104,000000,8.4,9.2,8.4,9.1,0,0
SYM_PE,D,20100105,000000,9.1,9.1,9.1,9.1,0,0
SYM_PE,D,20100106,000000,8.4,10,8.4,10,0,0
SYM_PE,D,20100107,000000,9.9,9.9,9.9,9.9,0,0
SYM_PE,D,20100108,000000,8.8,9.9,8.8,9.9,0,0
SYM_PE,D,20100111,000000,9.9,10.7,9.9,10.7,0,0
SYM_PE,D,20100112,000000,10.7,11.6,9.5,11.4,0,0
SYM_PE,D,20100113,000000,11.4,12.1,11.4,12.1,0,0
SYM_PE,D,20100114,000000,12.5,12.5,12.5,12.5,0,0
SYM_PE,D,20100115,000000,12.8,12.8,12.8,12.8,0,0
SYM_PE,D,20100118,000000,12.9,12.9,12.9,12.9,0,0
SYM_PE,D,20100119,000000,12.9,13.1,11.4,12.9,0,0
SYM_PE,D,20100120,000000,12.9,12.9,11,12.9,0,0
SYM_PE,D,20100121,000000,12.3,12.3,10.5,11.4,0,0
SYM_PE,D,20100122,000000,11.4,11.4,9.6,9.6,0,0
SYM_PE,D,20100125,000000,9.5,11.4,9.5,9.9,0,0
SYM_PE,D,20100126,000000,10.6,10.6,9.1,9.1,0,0
SYM_PE,D,20100127,000000,9.3,9.3,9,9.1,0,0
SYM_PE,D,20100128,000000,9.1,9.1,9.1,9.1,0,0
SYM_PE,D,20100129,000000,9.1,9.1,8.4,8.4,0,0
SYM_PE,D,20100201,000000,8.8,9.8,8.8,9.8,0,0
SYM_PE,D,20100202,000000,9.8,10.3,9.3,9.3,0,0
SYM_PE,D,20100203,000000,9.4,10.6,9.4,10.6,0,0
SYM_PE,D,20100204,000000,10.8,11.9,10.2,11.4,0,0
SYM_PE,D,20100205,000000,13.7,13.7,11.8,12.7,0,0
SYM_PE,D,20100208,000000,12.7,12.7,10.7,10.9,0,0
SYM_PE,D,20100209,000000,12.1,12.2,10.7,10.8,0,0
SYM_PE,D,20100210,000000,11.8,14.1,11.4,13.2,0,0
SYM_PE,D,20100211,000000,11.8,11.8,11,11.1,0,0
SYM_PE,D,20100212,000000,10.7,10.7,10.1,10.7,0,0
SYM_PE,D,20100215,000000,10.7,18.8,10.1,18.8,0,0
SYM_PE,D,20100216,000000,17.3,17.3,17.1,17.1,0,0
SYM_PE,D,20100217,000000,16.8,17.3,15.9,15.9,0,0
SYM_PE,D,20100219,000000,15.6,15.6,14.7,15.5,0,0
SYM_PE,D,20100222,000000,16.4,18.7,15.5,18,0,0
SYM_PE,D,20100223,000000,17.9,17.9,15.9,16,0,0
SYM_PE,D,20100224,000000,16,16.9,15.7,16.9,0,0
SYM_PE,D,20100225,000000,17,17,16.9,16.9,0,0
SYM_PE,D,20100226,000000,16,16,14.7,14.7,0,0
SYM_PE,D,20100301,000000,14.7,15.4,14.7,14.7,0,0
SYM_PE,D,20100302,000000,14.7,14.7,14.7,14.7,0,0
SYM_PE,D,20100303,000000,14.7,14.7,14.2,14.6,0,0
SYM_PE,D,20100304,000000,14.5,14.5,13.3,13.6,0,0
SYM_PE,D,20100305,000000,13.6,14.9,13.6,14.7,0,0
SYM_PE,D,20100308,000000,15.2,15.8,14.3,14.3,0,0
SYM_PE,D,20100309,000000,13.8,14.4,13.8,14,0,0
SYM_PE,D,20100310,000000,13.8,14.9,13.3,14.9,0,0
SYM_PE,D,20100311,000000,14.9,15.8,14.1,15.5,0,0
SYM_PE,D,20100312,000000,14.9,15.2,14.1,15.2,0,0
SYM_PE,D,20100315,000000,14.7,14.9,14.3,14.8,0,0
SYM_PE,D,20100316,000000,15,15,13.9,13.9,0,0
SYM_PE,D,20100317,000000,14.1,14.1,14,14,0,0
SYM_PE,D,20100318,000000,14,14,13.9,13.9,0,0
SYM_PE,D,20100319,000000,13.9,13.9,13.4,13.9,0,0
SYM_PE,D,20100322,000000,13.4,13.4,13.4,13.4,0,0
SYM_PE,D,20100323,000000,13.4,14.9,13.3,14.3,0,0
SYM_PE,D,20100324,000000,14.3,15.1,13.5,15.1,0,0
SYM_PE,D,20100325,000000,15,15.1,14.2,15.1,0,0
SYM_PE,D,20100326,000000,15.1,18,15.1,17,0,0
SYM_PE,D,20100329,000000,17.1,17.4,16.5,16.8,0,0
SYM_PE,D,20100330,000000,16.8,17.4,14.7,14.7,0,0
SYM_PE,D,20100331,000000,14.8,15.3,14.3,15.2,0,0
SYM_PE,D,20100401,000000,15.2,15.3,14,14,0,0
SYM_PE,D,20100406,000000,14.2,15,14.2,14.6,0,0
SYM_PE,D,20100407,000000,14.2,14.4,14.1,14.4,0,0
SYM_PE,D,20100408,000000,14.1,14.1,13.6,14.1,0,0
SYM_PE,D,20100409,000000,14.2,14.2,13.6,13.6,0,0
SYM_PE,D,20100412,000000,13.6,13.8,13.5,13.8,0,0
SYM_PE,D,20100413,000000,13.9,14,13.6,13.7,0,0
SYM_PE,D,20100414,000000,13.7,14.5,13.7,14.5,0,0
SYM_PE,D,20100415,000000,14.5,14.5,14,14.4,0,0
SYM_PE,D,20100416,000000,14.4,15.1,14.1,15.1,0,0
SYM_PE,D,20100419,000000,15.1,15.1,14.4,14.5,0,0
