<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXN_PB,D,20110708,000000,2.6784,2.6784,2.1664,2.2579,0,0
TXN_PB,D,20110711,000000,2.2488,2.2579,2.0842,2.1391,0,0
TXN_PB,D,20110712,000000,2.0659,2.0659,1.8099,1.9928,0,0
TXN_PB,D,20110713,000000,1.7185,2.0568,1.7002,1.9471,0,0
TXN_PB,D,20110714,000000,1.7185,1.9562,1.7185,1.874,0,0
TXN_PB,D,20110715,000000,1.7185,2.2305,1.7185,2.0842,0,0
TXN_PB,D,20110718,000000,1.746,2.002,1.746,2.002,0,0
TXN_PB,D,20110719,000000,1.7917,1.9654,1.7917,1.9654,0,0
TXN_PB,D,20110720,000000,1.9014,1.9745,1.8374,1.9745,0,0
TXN_PB,D,20110722,000000,1.6729,1.9471,1.6729,1.9471,0,0
TXN_PB,D,20110726,000000,1.9106,1.9471,1.9106,1.9471,0,0
TXN_PB,D,20110728,000000,1.6729,1.9197,1.6729,1.9197,0,0
TXN_PB,D,20110729,000000,1.874,1.874,1.746,1.8648,0,0
TXN_PB,D,20110801,000000,1.9106,1.9106,1.9106,1.9106,0,0
TXN_PB,D,20110802,000000,1.746,1.9106,1.746,1.9106,0,0
TXN_PB,D,20110803,000000,1.746,1.8374,1.6729,1.7917,0,0
TXN_PB,D,20110804,000000,1.6271,1.746,1.6271,1.6546,0,0
TXN_PB,D,20110808,000000,1.8282,1.8282,1.6454,1.6454,0,0
TXN_PB,D,20110809,000000,1.6454,1.6454,1.6454,1.6454,0,0
TXN_PB,D,20110810,000000,1.874,1.874,1.874,1.874,0,0
TXN_PB,D,20110816,000000,1.8923,1.8923,1.8923,1.8923,0,0
TXN_PB,D,20110817,000000,1.8374,1.8374,1.8374,1.8374,0,0
TXN_PB,D,20110819,000000,1.4717,1.4717,1.4717,1.4717,0,0
TXN_PB,D,20110823,000000,1.3986,1.3986,1.3986,1.3986,0,0
TXN_PB,D,20110824,000000,1.2615,1.4352,1.2615,1.4352,0,0
TXN_PB,D,20110825,000000,1.4352,1.4352,1.1884,1.362,0,0
TXN_PB,D,20110826,000000,1.3986,1.3986,1.1061,1.3072,0,0
TXN_PB,D,20110829,000000,1.3072,1.3347,1.2889,1.2889,0,0
TXN_PB,D,20110830,000000,1.3255,1.3255,1.3255,1.3255,0,0
TXN_PB,D,20110831,000000,1.3255,1.3255,1.3255,1.3255,0,0
TXN_PB,D,20110901,000000,1.3255,1.3255,1.3255,1.3255,0,0
TXN_PB,D,20110902,000000,1.3255,1.3255,1.3255,1.3255,0,0
TXN_PB,D,20110907,000000,1.3347,1.3347,1.3347,1.3347,0,0
TXN_PB,D,20110912,000000,1.1061,1.1061,1.1061,1.1061,0,0
TXN_PB,D,20110919,000000,1.1061,1.1061,1.1061,1.1061,0,0
TXN_PB,D,20110920,000000,1.1061,1.1701,1.1061,1.1701,0,0
TXN_PB,D,20110921,000000,1.1701,1.1701,1.1701,1.1701,0,0
TXN_PB,D,20110926,000000,1.097,1.097,1.097,1.097,0,0
TXN_PB,D,20110927,000000,1.0604,1.097,1.0604,1.097,0,0
TXN_PB,D,20110929,000000,0.8867,1.0879,0.8867,1.0879,0,0
TXN_PB,D,20110930,000000,0.9599,0.9599,0.9599,0.9599,0,0
TXN_PB,D,20111003,000000,0.9416,0.9416,0.9141,0.9141,0,0
TXN_PB,D,20111004,000000,0.8958,1.0879,0.8958,1.0879,0,0
TXN_PB,D,20111005,000000,1.033,1.033,1.033,1.033,0,0
TXN_PB,D,20111006,000000,1.0696,1.0787,0.9964,0.9964,0,0
TXN_PB,D,20111007,000000,1.0604,1.0787,1.0604,1.0787,0,0
TXN_PB,D,20111011,000000,1.033,1.033,1.033,1.033,0,0
TXN_PB,D,20111013,000000,1.033,1.097,1.033,1.033,0,0
TXN_PB,D,20111014,000000,1.0421,1.3072,1.0421,1.3072,0,0
TXN_PB,D,20111017,000000,1.1426,1.2523,1.1426,1.2523,0,0
TXN_PB,D,20111021,000000,1.3347,1.3986,1.3347,1.3986,0,0
