<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIV_MV,D,20070830,000000,40.29,40.29,40.29,40.29,0,0
VIV_MV,D,20070831,000000,61.2,61.2,61.2,61.2,0,0
VIV_MV,D,20070903,000000,68.85,68.85,68.85,68.85,0,0
VIV_MV,D,20070904,000000,56.1,56.1,56.1,56.1,0,0
VIV_MV,D,20070905,000000,54.06,54.06,54.06,54.06,0,0
VIV_MV,D,20070906,000000,52.53,52.53,52.53,52.53,0,0
VIV_MV,D,20070907,000000,58.65,58.65,58.65,58.65,0,0
VIV_MV,D,20070910,000000,56.61,56.61,56.61,56.61,0,0
VIV_MV,D,20070911,000000,60.69,60.69,60.69,60.69,0,0
VIV_MV,D,20070912,000000,61.2,61.2,61.2,61.2,0,0
VIV_MV,D,20070913,000000,61.2,61.2,61.2,61.2,0,0
VIV_MV,D,20070914,000000,58.65,58.65,58.65,58.65,0,0
VIV_MV,D,20070917,000000,58.65,58.65,58.65,58.65,0,0
VIV_MV,D,20070918,000000,54.57,54.57,54.57,54.57,0,0
VIV_MV,D,20070919,000000,54.57,54.57,54.57,54.57,0,0
VIV_MV,D,20070920,000000,55.59,55.59,55.59,55.59,0,0
VIV_MV,D,20070921,000000,56.1,56.1,56.1,56.1,0,0
VIV_MV,D,20070924,000000,59.67,59.67,59.67,59.67,0,0
VIV_MV,D,20070925,000000,59.67,59.67,59.67,59.67,0,0
VIV_MV,D,20070926,000000,60.69,60.69,60.69,60.69,0,0
VIV_MV,D,20070927,000000,59.67,59.67,59.67,59.67,0,0
VIV_MV,D,20070928,000000,59.67,59.67,59.67,59.67,0,0
VIV_MV,D,20071001,000000,64.26,64.26,64.26,64.26,0,0
VIV_MV,D,20071002,000000,97.92,97.92,97.92,97.92,0,0
VIV_MV,D,20071003,000000,118.32,118.32,118.32,118.32,0,0
VIV_MV,D,20071004,000000,99.45,99.45,99.45,99.45,0,0
VIV_MV,D,20071005,000000,93.84,93.84,93.84,93.84,0,0
VIV_MV,D,20071008,000000,91.8,91.8,91.8,91.8,0,0
VIV_MV,D,20071009,000000,86.7,86.7,86.7,86.7,0,0
VIV_MV,D,20071010,000000,86.7,86.7,86.7,86.7,0,0
VIV_MV,D,20071011,000000,85.68,85.68,85.68,85.68,0,0
VIV_MV,D,20071012,000000,89.25,89.25,89.25,89.25,0,0
VIV_MV,D,20071015,000000,82.62,82.62,82.62,82.62,0,0
VIV_MV,D,20071016,000000,83.13,83.13,83.13,83.13,0,0
VIV_MV,D,20071017,000000,82.11,82.11,82.11,82.11,0,0
VIV_MV,D,20071018,000000,81.09,81.09,81.09,81.09,0,0
VIV_MV,D,20071019,000000,78.54,78.54,78.54,78.54,0,0
VIV_MV,D,20071022,000000,78.54,78.54,78.54,78.54,0,0
VIV_MV,D,20071023,000000,74.46,74.46,74.46,74.46,0,0
VIV_MV,D,20071024,000000,75.48,75.48,75.48,75.48,0,0
VIV_MV,D,20071025,000000,75.48,75.48,75.48,75.48,0,0
VIV_MV,D,20071026,000000,76.5,76.5,76.5,76.5,0,0
VIV_MV,D,20071029,000000,111.18,111.18,111.18,111.18,0,0
VIV_MV,D,20071030,000000,93.84,93.84,93.84,93.84,0,0
VIV_MV,D,20071031,000000,98.43,98.43,98.43,98.43,0,0
VIV_MV,D,20071102,000000,91.8,91.8,91.8,91.8,0,0
VIV_MV,D,20071105,000000,87.21,87.21,87.21,87.21,0,0
VIV_MV,D,20071106,000000,83.64,83.64,83.64,83.64,0,0
VIV_MV,D,20071107,000000,78.03,78.03,78.03,78.03,0,0
VIV_MV,D,20071108,000000,82.11,82.11,82.11,82.11,0,0
VIV_MV,D,20071109,000000,90.78,94.35,86.7,86.7,0,0
VIV_MV,D,20071112,000000,91.8,91.8,81.6,81.6,0,0
VIV_MV,D,20071113,000000,81.6,85.68,81.6,83.64,0,0
VIV_MV,D,20071114,000000,85.17,85.17,81.6,84.66,0,0
VIV_MV,D,20071115,000000,82.62,85.17,80.07,80.07,0,0
VIV_MV,D,20071116,000000,78.14,82.62,77.01,77.01,0,0
VIV_MV,D,20071119,000000,83.64,83.64,74.97,76.5,0,0
VIV_MV,D,20071121,000000,77.52,77.52,71.4,75.48,0,0
VIV_MV,D,20071122,000000,76.5,76.5,69.87,75.99,0,0
VIV_MV,D,20071123,000000,77.52,86.19,74.97,79.56,0,0
VIV_MV,D,20071126,000000,84.15,84.66,79.56,81.09,0,0
VIV_MV,D,20071127,000000,79.56,80.07,73.44,75.48,0,0
VIV_MV,D,20071128,000000,83.13,83.13,77.01,80.07,0,0
VIV_MV,D,20071129,000000,78.54,90.27,78.54,84.15,0,0
VIV_MV,D,20071130,000000,85.17,85.17,79.05,83.13,0,0
VIV_MV,D,20071203,000000,83.13,84.15,78.03,79.56,0,0
