<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRB_PB,D,20080801,000000,5.04588,5.04588,5.04588,5.04588,0,0
VRB_PB,D,20080804,000000,4.95595,4.98857,4.95595,4.98857,0,0
VRB_PB,D,20080805,000000,4.42511,4.76816,4.42511,4.76816,0,0
VRB_PB,D,20080806,000000,4.3681,4.67853,4.33548,4.613,0,0
VRB_PB,D,20080807,000000,4.33548,4.33548,3.92728,4.27004,0,0
VRB_PB,D,20080808,000000,4.23752,4.29463,4.18021,4.23752,0,0
VRB_PB,D,20080811,000000,4.74367,4.74367,4.73564,4.73564,0,0
VRB_PB,D,20080812,000000,4.42511,4.42511,4.42511,4.42511,0,0
VRB_PB,D,20080813,000000,4.3681,4.3681,4.04993,4.23752,0,0
VRB_PB,D,20080814,000000,3.99262,4.3681,3.99262,4.3681,0,0
VRB_PB,D,20080818,000000,3.83736,4.3681,3.83736,4.3681,0,0
VRB_PB,D,20080819,000000,4.11497,4.11497,3.80493,3.87007,0,0
VRB_PB,D,20080820,000000,4.33548,4.33548,3.58433,3.68238,0,0
VRB_PB,D,20080821,000000,4.23752,4.23752,3.61695,3.61695,0,0
VRB_PB,D,20080822,000000,4.23752,4.23752,3.68238,3.73949,0,0
VRB_PB,D,20080825,000000,3.68238,3.99262,3.68238,3.99262,0,0
VRB_PB,D,20080826,000000,3.73949,3.73949,3.73949,3.73949,0,0
VRB_PB,D,20080827,000000,3.39664,4.33548,3.27409,4.27004,0,0
VRB_PB,D,20080828,000000,3.82922,4.18021,3.82922,4.18021,0,0
VRB_PB,D,20080829,000000,3.73949,4.09058,3.73949,4.08235,0,0
VRB_PB,D,20080901,000000,3.46188,4.04993,3.46188,3.82922,0,0
VRB_PB,D,20080902,000000,3.69051,3.92728,3.69051,3.92728,0,0
VRB_PB,D,20080903,000000,4.11497,4.11497,3.92728,4.04993,0,0
VRB_PB,D,20080904,000000,4.02524,4.02524,4.01711,4.01711,0,0
VRB_PB,D,20080905,000000,3.51899,3.9601,3.51899,3.87007,0,0
VRB_PB,D,20080909,000000,3.52722,3.89466,3.52722,3.89466,0,0
VRB_PB,D,20080910,000000,3.82922,4.11497,3.82922,3.9601,0,0
VRB_PB,D,20080912,000000,4.04993,4.35997,3.82922,4.11497,0,0
VRB_PB,D,20080915,000000,3.58433,4.04993,3.58433,4.04993,0,0
VRB_PB,D,20080916,000000,3.61695,3.61695,3.58433,3.58433,0,0
VRB_PB,D,20080917,000000,3.70687,3.70687,3.70687,3.70687,0,0
VRB_PB,D,20080918,000000,3.73949,3.73949,3.73949,3.73949,0,0
VRB_PB,D,20080919,000000,3.9601,4.04993,3.9601,4.04993,0,0
VRB_PB,D,20080923,000000,3.61695,3.61695,3.61695,3.61695,0,0
VRB_PB,D,20080924,000000,4.04993,4.04993,4.04993,4.04993,0,0
VRB_PB,D,20080925,000000,3.73949,3.92728,3.73949,3.92728,0,0
VRB_PB,D,20080929,000000,3.9601,3.9601,3.73949,3.73949,0,0
VRB_PB,D,20080930,000000,3.68238,4.01711,3.68238,3.82922,0,0
VRB_PB,D,20081001,000000,3.98429,3.99262,3.98429,3.99262,0,0
VRB_PB,D,20081006,000000,3.39664,3.73949,3.39664,3.73949,0,0
VRB_PB,D,20081007,000000,3.7151,3.73949,3.7151,3.73949,0,0
VRB_PB,D,20081008,000000,3.73949,3.80493,3.42916,3.80493,0,0
VRB_PB,D,20081009,000000,3.42916,3.82922,3.42916,3.58433,0,0
VRB_PB,D,20081010,000000,3.86204,3.99262,3.86204,3.99262,0,0
VRB_PB,D,20081014,000000,3.58433,3.61695,3.39664,3.58433,0,0
VRB_PB,D,20081016,000000,3.89466,3.9601,3.89466,3.9601,0,0
VRB_PB,D,20081017,000000,3.42916,3.42916,3.39664,3.39664,0,0
VRB_PB,D,20081020,000000,3.20885,3.42916,3.14351,3.42916,0,0
VRB_PB,D,20081022,000000,3.64144,3.64144,3.58433,3.58433,0,0
VRB_PB,D,20081024,000000,3.46188,3.51899,3.17603,3.51899,0,0
VRB_PB,D,20081029,000000,3.51899,3.60882,3.4945,3.4945,0,0
VRB_PB,D,20081030,000000,3.11892,3.51899,2.98834,3.51899,0,0
VRB_PB,D,20081031,000000,3.42916,3.42916,2.83298,2.86589,0,0
VRB_PB,D,20081103,000000,3.0864,3.3313,3.0864,3.11892,0,0
VRB_PB,D,20081104,000000,3.20885,3.42916,3.11892,3.27409,0,0
VRB_PB,D,20081105,000000,3.27409,3.27409,2.95562,3.11892,0,0
VRB_PB,D,20081106,000000,3.27409,3.61695,2.98834,3.42916,0,0
VRB_PB,D,20081107,000000,3.27409,3.27409,3.0864,3.27409,0,0
VRB_PB,D,20081110,000000,3.42113,3.42916,3.42113,3.42916,0,0
VRB_PB,D,20081113,000000,3.11892,3.11892,3.11892,3.11892,0,0
VRB_PB,D,20081114,000000,3.42916,3.58433,3.11892,3.55171,0,0
VRB_PB,D,20081117,000000,3.61695,3.61695,3.55171,3.55171,0,0
VRB_PB,D,20081118,000000,3.36402,3.36402,3.11892,3.11892,0,0
VRB_PB,D,20081119,000000,3.36402,3.36402,3.36402,3.36402,0,0
VRB_PB,D,20081120,000000,3.11892,3.11892,3.11892,3.11892,0,0
VRB_PB,D,20081124,000000,3.27409,3.51899,3.27409,3.51899,0,0
VRB_PB,D,20081125,000000,3.39664,3.39664,3.3313,3.3313,0,0
VRB_PB,D,20081126,000000,3.11892,3.11892,3.11892,3.11892,0,0
VRB_PB,D,20081127,000000,3.11892,3.11892,3.11892,3.11892,0,0
VRB_PB,D,20081203,000000,3.0864,3.17603,3.0864,3.11892,0,0
VRB_PB,D,20081204,000000,2.80859,3.11892,2.80859,3.05368,0,0
VRB_PB,D,20081208,000000,3.0864,3.0864,3.0864,3.0864,0,0
VRB_PB,D,20081209,000000,2.8414,2.8414,2.80859,2.80859,0,0
VRB_PB,D,20081211,000000,2.95562,2.96376,2.95562,2.96376,0,0
VRB_PB,D,20081212,000000,3.0864,3.0864,3.0864,3.0864,0,0
VRB_PB,D,20081215,000000,2.68643,2.93133,2.65352,2.93133,0,0
VRB_PB,D,20081216,000000,2.80859,3.11892,2.80859,2.96376,0,0
VRB_PB,D,20081217,000000,3.0864,3.0864,3.0864,3.0864,0,0
