<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBS_PE,D,20130312,000000,1.6195,1.6195,1.6195,1.6195,0,0
XBS_PE,D,20130313,000000,1.6195,1.6601,1.6195,1.6601,0,0
XBS_PE,D,20130314,000000,1.6601,1.7005,1.6601,1.7005,0,0
XBS_PE,D,20130315,000000,1.7005,1.7005,1.7005,1.7005,0,0
XBS_PE,D,20130318,000000,1.579,1.7005,1.579,1.579,0,0
XBS_PE,D,20130319,000000,1.579,1.579,1.579,1.579,0,0
XBS_PE,D,20130320,000000,1.579,1.7005,1.579,1.7005,0,0
XBS_PE,D,20130321,000000,1.6195,1.6601,1.6195,1.6601,0,0
XBS_PE,D,20130322,000000,1.6195,1.6601,1.6195,1.6601,0,0
XBS_PE,D,20130325,000000,1.6195,1.6601,1.6195,1.6601,0,0
XBS_PE,D,20130326,000000,1.6195,1.6195,1.6195,1.6195,0,0
XBS_PE,D,20130327,000000,1.6195,1.6195,1.6195,1.6195,0,0
XBS_PE,D,20130328,000000,1.6195,1.6601,1.6195,1.6601,0,0
XBS_PE,D,20130402,000000,1.579,1.6601,1.579,1.6601,0,0
XBS_PE,D,20130403,000000,1.579,1.7005,1.579,1.7005,0,0
XBS_PE,D,20130404,000000,1.7005,1.7005,1.6601,1.6601,0,0
XBS_PE,D,20130408,000000,1.579,1.7005,1.579,1.6601,0,0
XBS_PE,D,20130409,000000,1.6601,1.7411,1.6601,1.6601,0,0
XBS_PE,D,20130410,000000,1.6601,1.6601,1.6195,1.6195,0,0
XBS_PE,D,20130411,000000,1.6195,1.6195,1.6195,1.6195,0,0
XBS_PE,D,20130412,000000,1.6195,1.6601,1.6195,1.6601,0,0
XBS_PE,D,20130415,000000,1.7005,1.7005,1.7005,1.7005,0,0
XBS_PE,D,20130419,000000,1.7005,1.7411,1.6601,1.6601,0,0
XBS_PE,D,20130422,000000,1.6601,1.7411,1.6601,1.7411,0,0
XBS_PE,D,20130423,000000,1.7005,1.7815,1.7005,1.7815,0,0
XBS_PE,D,20130424,000000,1.7815,1.7815,1.7411,1.7815,0,0
XBS_PE,D,20130425,000000,1.7815,1.822,1.7005,1.7411,0,0
XBS_PE,D,20130430,000000,1.6983,1.6983,1.6983,1.6983,0,0
XBS_PE,D,20130502,000000,1.7005,1.7411,1.7005,1.7005,0,0
XBS_PE,D,20130506,000000,1.6601,1.7005,1.6601,1.7005,0,0
XBS_PE,D,20130507,000000,1.7005,1.7005,1.7005,1.7005,0,0
XBS_PE,D,20130508,000000,1.7005,1.7005,1.7005,1.7005,0,0
XBS_PE,D,20130509,000000,1.7005,1.7005,1.7005,1.7005,0,0
XBS_PE,D,20130510,000000,1.7005,1.7411,1.7005,1.7411,0,0
XBS_PE,D,20130513,000000,1.7411,1.7411,1.7411,1.7411,0,0
XBS_PE,D,20130514,000000,1.7411,1.7411,1.7411,1.7411,0,0
XBS_PE,D,20130515,000000,1.7005,1.7005,1.7005,1.7005,0,0
XBS_PE,D,20130516,000000,1.7005,1.7411,1.7005,1.7411,0,0
XBS_PE,D,20130517,000000,1.7411,1.7411,1.7411,1.7411,0,0
XBS_PE,D,20130520,000000,1.7411,1.7411,1.7411,1.7411,0,0
XBS_PE,D,20130522,000000,1.7411,1.7411,1.7411,1.7411,0,0
XBS_PE,D,20130523,000000,1.7411,1.7411,1.7411,1.7411,0,0
XBS_PE,D,20130524,000000,1.7411,1.7411,1.7411,1.7411,0,0
XBS_PE,D,20130527,000000,1.7005,1.7005,1.6195,1.6195,0,0
XBS_PE,D,20130603,000000,1.6195,1.7005,1.6195,1.7005,0,0
XBS_PE,D,20130606,000000,1.6983,2.2691,1.6983,2.2691,0,0
XBS_PE,D,20130607,000000,2.2691,2.2691,2.2691,2.2691,0,0
XBS_PE,D,20130610,000000,2.2675,2.2675,2.2675,2.2675,0,0
XBS_PE,D,20130611,000000,2.2691,2.3064,2.2691,2.3064,0,0
XBS_PE,D,20130612,000000,2.3079,2.3079,2.3079,2.3079,0,0
XBS_PE,D,20130614,000000,2.3064,2.3064,2.3064,2.3064,0,0
XBS_PE,D,20130617,000000,2.3064,2.3064,2.2691,2.2691,0,0
XBS_PE,D,20130618,000000,2.1856,2.2691,2.1856,2.2275,0,0
XBS_PE,D,20130619,000000,2.2275,2.2691,2.2275,2.2275,0,0
XBS_PE,D,20130620,000000,2.2275,2.2691,2.2275,2.2691,0,0
XBS_PE,D,20130621,000000,2.5987,2.5987,2.1811,2.3666,0,0
XBS_PE,D,20130624,000000,2.2275,2.5522,2.2275,2.3203,0,0
XBS_PE,D,20130625,000000,2.2737,2.2737,2.1346,2.1811,0,0
XBS_PE,D,20130626,000000,2.1346,2.1346,2.0418,2.1346,0,0
XBS_PE,D,20130627,000000,2.1811,2.1811,2.1811,2.1811,0,0
XBS_PE,D,20130628,000000,2.1811,2.2737,2.1811,2.2737,0,0
XBS_PE,D,20130701,000000,2.2737,2.3666,2.2737,2.3666,0,0
XBS_PE,D,20130702,000000,2.3666,2.413,2.3666,2.413,0,0
XBS_PE,D,20130703,000000,2.413,2.413,2.3203,2.3203,0,0
XBS_PE,D,20130704,000000,2.3203,2.3203,2.3203,2.3203,0,0
XBS_PE,D,20130705,000000,2.3203,2.3203,2.2737,2.2737,0,0
XBS_PE,D,20130708,000000,2.2737,2.3666,2.2737,2.3203,0,0
XBS_PE,D,20130709,000000,2.3203,2.3203,2.3203,2.3203,0,0
XBS_PE,D,20130710,000000,2.3203,2.3203,2.3203,2.3203,0,0
XBS_PE,D,20130711,000000,2.3203,2.3203,2.3203,2.3203,0,0
XBS_PE,D,20130712,000000,2.3203,2.3203,2.2275,2.2737,0,0
XBS_PE,D,20130715,000000,2.2737,2.2737,2.2737,2.2737,0,0
XBS_PE,D,20130716,000000,2.2275,2.2275,1.9953,1.9953,0,0
XBS_PE,D,20130717,000000,1.9953,1.9953,1.5314,1.6241,0,0
XBS_PE,D,20130718,000000,1.5314,1.5777,1.5314,1.5777,0,0
XBS_PE,D,20130719,000000,1.5314,1.8098,1.5314,1.8098,0,0
XBS_PE,D,20130722,000000,1.8098,1.8098,1.7633,1.7633,0,0
XBS_PE,D,20130723,000000,1.7633,1.7633,1.7633,1.7633,0,0
XBS_PE,D,20130724,000000,1.7633,1.8098,1.7633,1.8098,0,0
XBS_PE,D,20130725,000000,1.8098,1.8098,1.8098,1.8098,0,0
XBS_PE,D,20130726,000000,1.8098,2.0418,1.8098,2.0418,0,0
XBS_PE,D,20130729,000000,1.9025,1.9025,1.9025,1.9025,0,0
XBS_PE,D,20130731,000000,1.8562,1.8562,1.6705,1.6705,0,0
XBS_PE,D,20130801,000000,1.7633,1.7633,1.7169,1.7169,0,0
XBS_PE,D,20130802,000000,1.7169,1.8098,1.7169,1.8098,0,0
XBS_PE,D,20130805,000000,1.8098,1.8562,1.8098,1.8562,0,0
XBS_PE,D,20130806,000000,1.8562,1.9025,1.8562,1.8562,0,0
XBS_PE,D,20130807,000000,1.8562,1.9025,1.8562,1.9025,0,0
XBS_PE,D,20130808,000000,1.9025,1.949,1.9025,1.949,0,0
XBS_PE,D,20130809,000000,1.949,1.9953,1.949,1.9953,0,0
XBS_PE,D,20130812,000000,1.9953,2.1346,1.9953,2.1346,0,0
XBS_PE,D,20130813,000000,2.1346,2.1346,2.0881,2.0881,0,0
XBS_PE,D,20130814,000000,2.0881,2.0881,2.0881,2.0881,0,0
XBS_PE,D,20130816,000000,1.949,2.0418,1.949,1.9953,0,0
XBS_PE,D,20130819,000000,1.9953,1.9953,1.9953,1.9953,0,0
XBS_PE,D,20130820,000000,1.9953,2.1346,1.9953,2.1346,0,0
XBS_PE,D,20130821,000000,2.1346,2.1346,2.1346,2.1346,0,0
XBS_PE,D,20130822,000000,2.1346,2.1811,2.1346,2.1811,0,0
XBS_PE,D,20130823,000000,2.1811,2.2275,2.1811,2.2275,0,0
XBS_PE,D,20130826,000000,2.2275,2.6915,2.2275,2.645,0,0
XBS_PE,D,20130827,000000,2.7378,2.9234,2.645,2.645,0,0
XBS_PE,D,20130828,000000,2.645,2.645,2.645,2.645,0,0
XBS_PE,D,20130829,000000,2.645,2.645,2.5058,2.5987,0,0
XBS_PE,D,20130830,000000,2.5987,2.5987,2.5987,2.5987,0,0
XBS_PE,D,20130902,000000,2.5987,2.5987,2.5987,2.5987,0,0
XBS_PE,D,20130903,000000,2.5522,2.5522,2.5522,2.5522,0,0
XBS_PE,D,20130904,000000,2.5522,2.5522,2.4594,2.4594,0,0
XBS_PE,D,20130905,000000,2.413,2.4594,2.413,2.4594,0,0
XBS_PE,D,20130906,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20130909,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20130918,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20130919,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20130920,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20130923,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20130924,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20130925,000000,2.5058,2.5522,2.413,2.413,0,0
XBS_PE,D,20130926,000000,2.413,2.4594,2.413,2.4594,0,0
XBS_PE,D,20130927,000000,2.4594,2.4594,2.3666,2.413,0,0
XBS_PE,D,20131001,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20131003,000000,2.3666,2.3666,2.3666,2.3666,0,0
XBS_PE,D,20131004,000000,2.3666,2.3666,2.3666,2.3666,0,0
XBS_PE,D,20131007,000000,2.3666,2.413,2.3666,2.413,0,0
XBS_PE,D,20131008,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20131009,000000,2.413,2.413,2.3666,2.3666,0,0
XBS_PE,D,20131011,000000,2.3666,2.3666,2.3666,2.3666,0,0
XBS_PE,D,20131014,000000,2.3666,2.413,2.3666,2.3666,0,0
XBS_PE,D,20131015,000000,2.3666,2.3666,2.3203,2.3666,0,0
XBS_PE,D,20131016,000000,2.4594,2.4594,2.3666,2.3666,0,0
XBS_PE,D,20131017,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20131018,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20131021,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20131022,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20131023,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20131024,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20131025,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20131028,000000,2.4594,2.5987,2.4594,2.5987,0,0
XBS_PE,D,20131029,000000,2.5987,2.5987,2.5987,2.5987,0,0
XBS_PE,D,20131030,000000,2.5987,2.5987,2.5987,2.5987,0,0
XBS_PE,D,20131031,000000,2.5058,2.5987,2.5058,2.5987,0,0
XBS_PE,D,20131104,000000,2.5987,2.5987,2.5987,2.5987,0,0
XBS_PE,D,20131105,000000,2.5987,2.5987,2.5987,2.5987,0,0
XBS_PE,D,20131106,000000,2.5987,2.5987,2.5987,2.5987,0,0
XBS_PE,D,20131107,000000,2.5987,2.5987,2.5987,2.5987,0,0
XBS_PE,D,20131108,000000,2.5987,2.645,2.5987,2.645,0,0
XBS_PE,D,20131112,000000,2.645,2.6915,2.5987,2.645,0,0
XBS_PE,D,20131113,000000,2.645,2.645,2.645,2.645,0,0
XBS_PE,D,20131114,000000,2.645,2.6915,2.645,2.6915,0,0
XBS_PE,D,20131115,000000,2.6915,2.9699,2.6915,2.9699,0,0
XBS_PE,D,20131118,000000,2.9699,2.9699,2.9699,2.9699,0,0
XBS_PE,D,20131119,000000,2.9699,2.9699,2.3666,2.3666,0,0
XBS_PE,D,20131120,000000,2.5987,2.8771,2.5987,2.8771,0,0
XBS_PE,D,20131121,000000,2.8771,2.8771,2.8771,2.8771,0,0
XBS_PE,D,20131122,000000,2.8771,2.8771,2.2737,2.4594,0,0
XBS_PE,D,20131125,000000,2.5058,2.5058,2.3666,2.4594,0,0
XBS_PE,D,20131126,000000,2.413,2.4594,2.2275,2.2737,0,0
XBS_PE,D,20131127,000000,2.2737,2.3203,2.2737,2.2737,0,0
XBS_PE,D,20131128,000000,2.2737,2.3203,2.2737,2.3203,0,0
XBS_PE,D,20131129,000000,2.3203,2.413,2.3203,2.413,0,0
XBS_PE,D,20131202,000000,2.413,2.4594,2.413,2.413,0,0
XBS_PE,D,20131203,000000,2.4594,2.5058,2.4594,2.4594,0,0
XBS_PE,D,20131204,000000,2.4594,2.5058,2.4594,2.5058,0,0
XBS_PE,D,20131205,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20131206,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20131209,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20131210,000000,2.5058,2.5058,2.5058,2.5058,0,0
XBS_PE,D,20131211,000000,2.5058,2.5522,2.5058,2.5522,0,0
XBS_PE,D,20131212,000000,2.5522,2.5522,2.5522,2.5522,0,0
XBS_PE,D,20131213,000000,2.5522,2.5522,2.5522,2.5522,0,0
XBS_PE,D,20131216,000000,2.5522,2.5522,2.5522,2.5522,0,0
XBS_PE,D,20131217,000000,2.5522,2.5522,2.5522,2.5522,0,0
XBS_PE,D,20131218,000000,2.5522,2.5522,2.4594,2.5522,0,0
XBS_PE,D,20131219,000000,2.5522,2.5522,2.5522,2.5522,0,0
XBS_PE,D,20131220,000000,2.5522,2.5522,2.5522,2.5522,0,0
XBS_PE,D,20131223,000000,2.5522,2.5522,2.5522,2.5522,0,0
XBS_PE,D,20131227,000000,2.5522,2.8771,2.5522,2.8771,0,0
XBS_PE,D,20131230,000000,2.8771,2.8771,2.5522,2.8306,0,0
XBS_PE,D,20140102,000000,2.8306,2.8771,2.8306,2.8771,0,0
XBS_PE,D,20140103,000000,2.8771,3.4338,2.8771,3.4338,0,0
XBS_PE,D,20140107,000000,3.4338,3.4338,3.3411,3.4338,0,0
XBS_PE,D,20140108,000000,3.3875,3.4338,3.3875,3.4338,0,0
XBS_PE,D,20140109,000000,3.4338,3.4338,3.3411,3.4338,0,0
XBS_PE,D,20140110,000000,3.4338,3.4338,3.1554,3.3411,0,0
XBS_PE,D,20140113,000000,3.2019,3.3411,3.2019,3.2483,0,0
XBS_PE,D,20140114,000000,3.2019,3.2019,3.1554,3.1554,0,0
XBS_PE,D,20140115,000000,3.1554,3.1554,3.0627,3.109,0,0
XBS_PE,D,20140116,000000,3.109,3.109,3.109,3.109,0,0
XBS_PE,D,20140117,000000,3.109,3.109,3.0627,3.109,0,0
XBS_PE,D,20140120,000000,3.109,3.1554,3.109,3.109,0,0
XBS_PE,D,20140121,000000,3.109,3.1554,3.109,3.1554,0,0
XBS_PE,D,20140122,000000,3.1554,3.1554,3.1554,3.1554,0,0
XBS_PE,D,20140123,000000,3.1554,3.1554,3.1554,3.1554,0,0
XBS_PE,D,20140124,000000,3.1554,3.1554,3.1554,3.1554,0,0
XBS_PE,D,20140127,000000,3.1554,3.1554,3.0163,3.0627,0,0
XBS_PE,D,20140128,000000,3.0627,3.109,2.9699,3.109,0,0
XBS_PE,D,20140129,000000,3.109,3.1554,3.109,3.109,0,0
XBS_PE,D,20140130,000000,3.109,3.109,3.109,3.109,0,0
XBS_PE,D,20140131,000000,3.109,3.2019,3.109,3.2019,0,0
XBS_PE,D,20140203,000000,3.2019,3.2019,3.2019,3.2019,0,0
XBS_PE,D,20140204,000000,3.2019,3.2019,3.2019,3.2019,0,0
XBS_PE,D,20140205,000000,3.2019,3.2483,3.2019,3.2483,0,0
XBS_PE,D,20140206,000000,3.2483,3.2483,3.2019,3.2483,0,0
XBS_PE,D,20140207,000000,3.2483,3.2483,3.2483,3.2483,0,0
XBS_PE,D,20140210,000000,3.2483,3.2483,3.2483,3.2483,0,0
XBS_PE,D,20140211,000000,3.2483,3.2947,3.2483,3.2947,0,0
XBS_PE,D,20140212,000000,3.2947,3.2947,3.2947,3.2947,0,0
XBS_PE,D,20140213,000000,3.2947,3.2947,3.2947,3.2947,0,0
XBS_PE,D,20140214,000000,3.2947,3.2947,3.2947,3.2947,0,0
XBS_PE,D,20140217,000000,3.2019,3.3411,3.2019,3.3411,0,0
XBS_PE,D,20140218,000000,3.3411,3.3411,3.3411,3.3411,0,0
XBS_PE,D,20140219,000000,3.3411,3.3411,2.4594,2.4594,0,0
XBS_PE,D,20140220,000000,2.4594,2.5058,2.4594,2.4594,0,0
XBS_PE,D,20140221,000000,2.4594,2.5058,2.4594,2.5058,0,0
XBS_PE,D,20140224,000000,2.5058,2.5058,2.4594,2.5058,0,0
XBS_PE,D,20140225,000000,2.4594,2.5058,2.4594,2.5058,0,0
XBS_PE,D,20140226,000000,2.5058,2.5058,2.413,2.4594,0,0
XBS_PE,D,20140227,000000,2.4594,2.5058,2.4594,2.5058,0,0
XBS_PE,D,20140228,000000,2.5058,2.5522,2.5058,2.5058,0,0
XBS_PE,D,20140303,000000,2.413,2.413,2.3666,2.3666,0,0
XBS_PE,D,20140304,000000,2.3666,2.413,2.3666,2.413,0,0
XBS_PE,D,20140305,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140306,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140307,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140310,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140311,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140312,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140313,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140314,000000,2.413,2.413,2.3203,2.3666,0,0
XBS_PE,D,20140317,000000,2.413,2.413,2.3666,2.3666,0,0
XBS_PE,D,20140318,000000,2.3666,2.413,2.3666,2.413,0,0
XBS_PE,D,20140319,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140320,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140324,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140325,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140326,000000,2.413,2.413,2.413,2.413,0,0
XBS_PE,D,20140327,000000,2.413,2.4594,2.413,2.4594,0,0
XBS_PE,D,20140328,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20140331,000000,2.4594,2.4594,2.4594,2.4594,0,0
XBS_PE,D,20140401,000000,2.4594,2.5522,2.4594,2.5522,0,0
XBS_PE,D,20140402,000000,2.5522,2.6915,2.5522,2.645,0,0
XBS_PE,D,20140403,000000,2.645,2.6915,2.5522,2.6915,0,0
XBS_PE,D,20140404,000000,2.6915,2.6915,2.6915,2.6915,0,0
XBS_PE,D,20140407,000000,2.6915,2.8306,2.6915,2.8306,0,0
XBS_PE,D,20140408,000000,2.8306,3.109,2.7843,2.7843,0,0
XBS_PE,D,20140409,000000,2.7843,2.8771,2.6915,2.8306,0,0
XBS_PE,D,20140410,000000,2.7378,2.8306,2.7378,2.8306,0,0
XBS_PE,D,20140411,000000,2.8306,2.8306,2.8306,2.8306,0,0
XBS_PE,D,20140414,000000,2.8306,2.8306,2.7378,2.7378,0,0
XBS_PE,D,20140415,000000,2.7378,2.7378,2.7378,2.7378,0,0
XBS_PE,D,20140416,000000,2.7378,2.7843,2.7378,2.7843,0,0
XBS_PE,D,20140417,000000,2.7843,2.7843,2.7843,2.7843,0,0
XBS_PE,D,20140422,000000,2.7843,2.8306,2.7843,2.8306,0,0
XBS_PE,D,20140423,000000,2.8306,2.8306,2.8306,2.8306,0,0
XBS_PE,D,20140424,000000,2.8306,2.8306,2.8306,2.8306,0,0
XBS_PE,D,20140425,000000,2.8306,2.8306,2.7378,2.8306,0,0
XBS_PE,D,20140428,000000,2.8306,2.8306,2.7843,2.7843,0,0
XBS_PE,D,20140429,000000,2.7843,2.7843,2.7843,2.7843,0,0
XBS_PE,D,20140430,000000,2.8306,2.8306,2.7843,2.7843,0,0
XBS_PE,D,20140502,000000,2.7843,2.7843,2.7378,2.7843,0,0
XBS_PE,D,20140505,000000,2.7843,2.7843,2.7843,2.7843,0,0
XBS_PE,D,20140506,000000,2.8306,2.8771,2.8306,2.8306,0,0
XBS_PE,D,20140507,000000,2.8306,2.8306,2.8306,2.8306,0,0
XBS_PE,D,20140508,000000,2.7843,2.8306,2.7843,2.8306,0,0
XBS_PE,D,20140509,000000,2.8306,2.8306,2.7843,2.8306,0,0
XBS_PE,D,20140512,000000,2.8306,2.8306,2.8306,2.8306,0,0
XBS_PE,D,20140513,000000,2.8306,2.8306,2.8306,2.8306,0,0
XBS_PE,D,20140514,000000,2.8306,2.8306,2.8306,2.8306,0,0
