<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZEN_PE,D,20211124,000000,59.8,59.8,59.8,59.8,0,0
ZEN_PE,D,20211125,000000,59.8,66.1,58.8,65.7,0,0
ZEN_PE,D,20211126,000000,61.9,61.9,42.4,42.4,0,0
ZEN_PE,D,20211129,000000,41.7,45.2,41.2,45.2,0,0
ZEN_PE,D,20211130,000000,45.2,45.2,45.2,45.2,0,0
ZEN_PE,D,20211201,000000,45.2,45.2,45,45,0,0
ZEN_PE,D,20211202,000000,45.1,45.2,45.1,45.2,0,0
ZEN_PE,D,20211203,000000,45.2,45.2,43.1,45.2,0,0
ZEN_PE,D,20211206,000000,45.1,45.1,45,45,0,0
ZEN_PE,D,20211207,000000,45,45,45,45,0,0
ZEN_PE,D,20211208,000000,45,45,45,45,0,0
ZEN_PE,D,20211209,000000,45,45,42.6,44.9,0,0
ZEN_PE,D,20211210,000000,44.9,44.9,44.9,44.9,0,0
ZEN_PE,D,20211213,000000,44.9,46.7,43.1,44.5,0,0
ZEN_PE,D,20211214,000000,43.1,43.1,41.1,41.2,0,0
ZEN_PE,D,20211215,000000,42.2,42.2,41.7,41.7,0,0
ZEN_PE,D,20211216,000000,42.2,42.4,42.2,42.4,0,0
ZEN_PE,D,20211217,000000,42.4,42.6,40.7,42.6,0,0
ZEN_PE,D,20211220,000000,42.6,42.6,40.7,42.4,0,0
ZEN_PE,D,20211221,000000,42.4,42.4,42.4,42.4,0,0
ZEN_PE,D,20211222,000000,40.7,40.7,32.8,33.2,0,0
ZEN_PE,D,20211223,000000,34.9,34.9,33.5,33.5,0,0
ZEN_PE,D,20211227,000000,33,33,31.7,32.1,0,0
ZEN_PE,D,20211228,000000,31.6,35.4,31.3,35.4,0,0
ZEN_PE,D,20211229,000000,34.4,43,34.4,43,0,0
ZEN_PE,D,20211230,000000,39.3,43.1,39.3,43.1,0,0
ZEN_PE,D,20220104,000000,42.5,44.2,42.5,44.2,0,0
ZEN_PE,D,20220105,000000,44.5,47.9,44.5,47.9,0,0
ZEN_PE,D,20220107,000000,47.4,47.9,44.5,44.5,0,0
ZEN_PE,D,20220110,000000,47.8,47.8,45,46,0,0
