<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARE,D,20081008,000000,5,7,4,4.2,29457,0
ARE,D,20081009,000000,4.3,4.3,3.4,4.1,7681,0
ARE,D,20081010,000000,4,4.2,3.7,3.7,1255,0
ARE,D,20081013,000000,3.9,3.9,3.9,3.9,100,0
ARE,D,20081014,000000,3.9,4.1,3.9,3.9,375,0
ARE,D,20081015,000000,4,4.3,4,4.3,1043,0
ARE,D,20081016,000000,4.3,4.3,3.6,4.3,152,0
ARE,D,20081017,000000,4.7,4.7,4,4.7,310,0
ARE,D,20081020,000000,4.2,4.6,4.1,4.2,1005,0
ARE,D,20081021,000000,4.2,4.2,4.2,4.2,1148,0
ARE,D,20081023,000000,3.7,4.2,3.7,4.2,1010,0
ARE,D,20081027,000000,3.3,3.5,2.8,3.3,850,0
ARE,D,20081028,000000,3.1,3.1,3.1,3.1,50,0
ARE,D,20081029,000000,3.3,3.7,3.3,3.7,126,0
ARE,D,20081030,000000,3.7,4.3,3.7,4.3,1915,0
ARE,D,20081031,000000,3.9,4.8,3.9,4.8,2805,0
ARE,D,20081103,000000,4.4,4.4,4.2,4.2,880,0
ARE,D,20081104,000000,4.5,4.5,4.5,4.5,240,0
ARE,D,20081105,000000,4.2,4.7,3.7,4.7,882,0
ARE,D,20081112,000000,4.6,4.6,3.8,4.6,226,0
ARE,D,20081117,000000,4.6,4.6,4.6,4.6,0,0
ARE,D,20081118,000000,3.8,4,3.7,4,877,0
ARE,D,20081124,000000,4,4,4,4,106,0
ARE,D,20081202,000000,4,4,4,4,10,0
ARE,D,20081205,000000,3.2,3.9,3.2,3.9,330,0
ARE,D,20081210,000000,3.9,3.9,3.9,3.9,10,0
ARE,D,20081211,000000,3.2,3.2,3.2,3.2,1447,0
ARE,D,20081212,000000,2.9,3.5,2.8,3.5,274,0
ARE,D,20081215,000000,3.4,3.4,3.4,3.4,225,0
ARE,D,20081216,000000,2.8,2.8,2.8,2.8,1000,0
ARE,D,20081217,000000,2.3,2.9,2.3,2.9,2750,0
ARE,D,20081218,000000,2.5,2.9,2.4,2.9,1239,0
ARE,D,20081219,000000,2.4,2.4,2.4,2.4,112,0
ARE,D,20081223,000000,2.8,2.8,2.1,2.8,1344,0
ARE,D,20090105,000000,2.8,2.8,2.8,2.8,71,0
ARE,D,20090106,000000,2.3,2.5,2.3,2.5,336,0
ARE,D,20090107,000000,2.8,3,2.8,2.9,1961,0
ARE,D,20090108,000000,3.4,3.4,3.4,3.4,5,0
ARE,D,20090109,000000,3.7,3.7,2.8,3,2435,0
ARE,D,20090114,000000,3.4,3.5,3.4,3.5,200,0
ARE,D,20090122,000000,2.9,2.9,2.8,2.8,1374,0
ARE,D,20090123,000000,3.3,3.3,3.3,3.3,500,0
ARE,D,20090126,000000,3.3,3.3,2.8,3.3,310,0
ARE,D,20090202,000000,2.8,3.3,2.8,3.3,310,0
ARE,D,20090210,000000,3.3,3.3,3.3,3.3,100,0
ARE,D,20090216,000000,3.3,3.3,2.7,2.7,205,0
ARE,D,20090218,000000,2.4,2.4,2.2,2.3,1001,0
ARE,D,20090220,000000,2.3,2.3,2.3,2.3,53,0
ARE,D,20090223,000000,2.3,2.3,2.3,2.3,50,0
ARE,D,20090225,000000,2.1,2.1,2.1,2.1,477,0
ARE,D,20090310,000000,2,2,2,2,1000,0
ARE,D,20090311,000000,2,2,2,2,1,0
ARE,D,20090312,000000,1.9,1.9,1.7,1.7,235,0
ARE,D,20090319,000000,1.9,1.9,1.9,1.9,59,0
ARE,D,20090320,000000,2.2,2.2,2.2,2.2,62,0
ARE,D,20090323,000000,2.3,2.3,2.3,2.3,100,0
ARE,D,20090325,000000,2.3,2.3,2.1,2.1,135,0
ARE,D,20090326,000000,2.1,2.3,2.1,2.3,1421,0
ARE,D,20090327,000000,2.4,2.4,2.4,2.4,50,0
ARE,D,20090330,000000,2.2,2.2,2.2,2.2,443,0
ARE,D,20090331,000000,2.4,2.4,2.4,2.4,100,0
ARE,D,20090406,000000,2.4,2.4,2.4,2.4,25,0
ARE,D,20090407,000000,2.4,2.4,2.4,2.4,342,0
ARE,D,20090408,000000,2.5,2.8,2.5,2.8,1200,0
ARE,D,20090409,000000,2.9,3,2.9,3,2529,0
ARE,D,20090414,000000,3,3,3,3,78,0
ARE,D,20090416,000000,2.8,3.2,2.8,3.2,47,0
ARE,D,20090420,000000,2.8,2.8,2.8,2.8,102,0
ARE,D,20090421,000000,2.8,2.8,2.8,2.8,785,0
ARE,D,20090507,000000,3.2,3.2,2.8,2.8,240,0
ARE,D,20090508,000000,2.6,2.6,2.6,2.6,300,0
ARE,D,20090521,000000,2.8,2.8,2.8,2.8,50,0
ARE,D,20090527,000000,2.9,2.9,2.9,2.9,198,0
ARE,D,20090528,000000,2.9,2.9,2.9,2.9,238,0
ARE,D,20090529,000000,2.9,2.9,2.9,2.9,103,0
ARE,D,20090601,000000,2.9,4.4,2.9,4.4,3423,0
ARE,D,20090602,000000,4.3,4.3,3.5,3.5,1867,0
ARE,D,20090603,000000,3.3,4,3.3,3.3,1110,0
ARE,D,20090605,000000,3.7,3.8,3.5,3.8,1197,0
ARE,D,20090608,000000,3.8,4.9,3.8,4.7,7208,0
ARE,D,20090609,000000,4.4,6.5,3.8,5.7,10996,0
ARE,D,20090610,000000,6.4,6.5,5.2,5.2,6187,0
ARE,D,20090612,000000,4.9,5.7,4.8,5.7,7,0
ARE,D,20090615,000000,5,5.5,4.2,4.7,9728,0
ARE,D,20090616,000000,4.7,4.7,3.8,4.2,9518,0
ARE,D,20090617,000000,4,4.2,3.8,4,2226,0
ARE,D,20090618,000000,4,4,3.6,4,3239,0
ARE,D,20090619,000000,3.6,3.9,3.6,3.9,203,0
