<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASA,D,20100409,000000,0.7529,0.8941,0.7529,0.8941,725257,0
ASA,D,20100412,000000,0.9412,0.9412,0.7059,0.7059,963125,0
ASA,D,20100413,000000,0.7059,0.7529,0.6588,0.7059,508626,0
ASA,D,20100414,000000,0.7059,0.7059,0.6588,0.7059,160091,0
ASA,D,20100415,000000,0.7059,0.7059,0.5647,0.5647,640188,0
ASA,D,20100416,000000,0.5176,0.5647,0.4235,0.4706,1036728,0
ASA,D,20100419,000000,0.4706,0.4706,0.4235,0.4706,45805,0
ASA,D,20100420,000000,0.4706,0.5176,0.3765,0.4706,357275,0
ASA,D,20100421,000000,0.4706,0.4706,0.3765,0.4235,265436,0
ASA,D,20100422,000000,0.4706,0.4706,0.3765,0.4235,353367,0
ASA,D,20100423,000000,0.42,0.42,0.42,0.42,9775,0
ASA,D,20100426,000000,0.4235,0.4235,0.3765,0.4235,276499,0
ASA,D,20100427,000000,0.3765,0.4235,0.3294,0.3765,668094,0
ASA,D,20100428,000000,0.3765,0.3765,0.3294,0.3765,25232,0
ASA,D,20100429,000000,0.3294,0.3765,0.3294,0.3294,304034,0
ASA,D,20100430,000000,0.3765,0.3765,0.3294,0.3294,62826,0
ASA,D,20100504,000000,0.2824,0.3765,0.2824,0.3765,34422,0
ASA,D,20100505,000000,0.3294,0.3294,0.2824,0.2824,27827,0
ASA,D,20100506,000000,0.3294,0.3765,0.2824,0.3294,235793,0
ASA,D,20100507,000000,0.3294,0.3294,0.2824,0.3294,31657,0
ASA,D,20100510,000000,0.3294,0.3294,0.2824,0.2824,17383,0
ASA,D,20100511,000000,0.3294,0.3765,0.2824,0.3294,99144,0
ASA,D,20100512,000000,0.3294,0.3765,0.3294,0.3294,194333,0
ASA,D,20100513,000000,0.3765,0.3765,0.3294,0.3294,33869,0
ASA,D,20100514,000000,0.3294,0.3294,0.2824,0.3294,283360,0
ASA,D,20100517,000000,0.2824,0.3294,0.2824,0.2824,196119,0
ASA,D,20100518,000000,0.2824,0.3294,0.2353,0.2353,166657,0
ASA,D,20100519,000000,0.2353,0.2824,0.2353,0.2353,272311,0
ASA,D,20100520,000000,0.2824,0.2824,0.2353,0.2824,17374,0
ASA,D,20100521,000000,0.2824,0.2824,0.2353,0.2353,236656,0
ASA,D,20100524,000000,0.2353,0.2824,0.1882,0.2824,36238,0
ASA,D,20100525,000000,0.2353,0.2353,0.1882,0.2353,127413,0
ASA,D,20100526,000000,0.2353,0.2353,0.1882,0.1882,46154,0
ASA,D,20100527,000000,0.2353,0.2353,0.2353,0.2353,28201,0
ASA,D,20100528,000000,0.2353,0.2824,0.2353,0.2353,236105,0
ASA,D,20100531,000000,0.24,0.24,0.19,0.24,51506,0
ASA,D,20100601,000000,0.2353,0.2353,0.2353,0.2353,6588,0
ASA,D,20100602,000000,0.2353,0.2353,0.2353,0.2353,12963,0
ASA,D,20100607,000000,0.2353,0.2353,0.1882,0.1882,24956,0
ASA,D,20100608,000000,0.1882,0.2353,0.1882,0.2353,268193,0
ASA,D,20100609,000000,0.2353,0.2824,0.1882,0.2353,69376,0
ASA,D,20100610,000000,0.2353,0.2353,0.1882,0.2353,213,0
ASA,D,20100611,000000,0.2353,0.2353,0.1882,0.1882,41984,0
ASA,D,20100614,000000,0.1882,0.1882,0.1882,0.1882,304288,0
ASA,D,20100615,000000,0.1882,0.1882,0.1882,0.1882,216096,0
ASA,D,20100616,000000,0.1882,0.1882,0.1882,0.1882,67044,0
ASA,D,20100617,000000,0.1882,0.1882,0.1882,0.1882,11032,0
ASA,D,20100618,000000,0.1882,0.1882,0.1882,0.1882,268423,0
ASA,D,20100621,000000,0.1882,0.1882,0.1882,0.1882,127462,0
ASA,D,20100622,000000,0.1882,0.1882,0.1882,0.1882,136477,0
ASA,D,20100623,000000,0.1882,0.2353,0.1882,0.2353,260914,0
ASA,D,20100624,000000,0.1882,0.2353,0.1882,0.2353,475239,0
ASA,D,20100625,000000,0.2353,0.2353,0.1882,0.1882,169729,0
ASA,D,20100628,000000,0.1882,0.1882,0.1882,0.1882,21367,0
ASA,D,20100629,000000,0.1882,0.1882,0.1882,0.1882,138478,0
ASA,D,20100630,000000,0.19,0.19,0.19,0.19,105962,0
ASA,D,20100701,000000,0.1882,0.1882,0.1882,0.1882,16130,0
ASA,D,20100702,000000,0.1882,0.1882,0.1882,0.1882,27275,0
ASA,D,20100705,000000,0.1882,0.2353,0.1882,0.2353,670272,0
ASA,D,20100706,000000,0.1882,0.1882,0.1882,0.1882,558432,0
ASA,D,20100707,000000,0.1882,0.1882,0.1882,0.1882,43118,0
ASA,D,20100708,000000,0.1882,0.1882,0.1882,0.1882,213,0
ASA,D,20100709,000000,0.1882,0.1882,0.1882,0.1882,75010,0
ASA,D,20100712,000000,0.1882,0.1882,0.1882,0.1882,2763,0
ASA,D,20100713,000000,0.1882,0.2353,0.1882,0.2353,125483,0
ASA,D,20100714,000000,0.2353,0.2353,0.1882,0.2353,25585,0
ASA,D,20100715,000000,0.2353,0.2353,0.1882,0.1882,378993,0
ASA,D,20100716,000000,0.1882,0.1882,0.1882,0.1882,64584,0
ASA,D,20100719,000000,0.1882,0.1882,0.1882,0.1882,7198,0
ASA,D,20100720,000000,0.1882,0.1882,0.1882,0.1882,2554,0
ASA,D,20100721,000000,0.1882,0.1882,0.1412,0.1882,5419,0
ASA,D,20100722,000000,0.1882,0.1882,0.1882,0.1882,6163,0
ASA,D,20100723,000000,0.1882,0.1882,0.1882,0.1882,161772,0
ASA,D,20100726,000000,0.1882,0.1882,0.1882,0.1882,271749,0
ASA,D,20100727,000000,0.1882,0.1882,0.1882,0.1882,66657,0
ASA,D,20100728,000000,0.1882,0.1882,0.1882,0.1882,16418,0
ASA,D,20100729,000000,0.1882,0.1882,0.1882,0.1882,2869,0
ASA,D,20100730,000000,0.19,0.19,0.19,0.19,213,0
ASA,D,20100802,000000,0.1412,0.1882,0.1412,0.1882,160674,0
ASA,D,20100803,000000,0.1882,0.1882,0.1412,0.1412,13605,0
ASA,D,20100804,000000,0.1412,0.1882,0.1412,0.1882,44265,0
