<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTF,D,20120830,000000,0.16033,0.19239,0.16033,0.19239,88263,0
CTF,D,20120831,000000,0.23159,0.2779,0.23159,0.2779,178069,0
CTF,D,20120903,000000,0.32956,0.32956,0.22268,0.30283,126764,0
CTF,D,20120904,000000,0.30107,0.30107,0.19419,0.21021,90785,0
CTF,D,20120905,000000,0.22268,0.22268,0.17814,0.17814,35144,0
CTF,D,20120906,000000,0.17814,0.23159,0.17457,0.23159,25050,0
CTF,D,20120907,000000,0.25832,0.33847,0.25832,0.33847,36832,0
CTF,D,20120910,000000,0.39189,0.42753,0.36516,0.39904,90014,0
CTF,D,20120911,000000,0.37943,0.40792,0.35094,0.39904,30030,0
CTF,D,20120912,000000,0.40971,0.5879,0.40971,0.5879,50332,0
CTF,D,20120913,000000,0.7054,0.7125,0.44535,0.44535,80433,0
CTF,D,20120914,000000,0.49342,0.5683,0.39369,0.5665,87485,0
CTF,D,20120917,000000,0.627,0.7517,0.5344,0.57,107384,0
CTF,D,20120918,000000,0.5522,0.5522,0.39189,0.44535,122580,0
CTF,D,20120919,000000,0.44176,0.5273,0.37763,0.41862,38894,0
CTF,D,20120920,000000,0.49166,0.49878,0.38298,0.38298,81199,0
CTF,D,20120921,000000,0.39189,0.49878,0.30639,0.49878,161201,0
CTF,D,20120924,000000,0.44176,0.46317,0.32065,0.32065,169336,0
CTF,D,20120925,000000,0.31174,0.34023,0.24941,0.34023,207376,0
CTF,D,20120926,000000,0.34023,0.34023,0.30283,0.30283,55353,0
CTF,D,20120927,000000,0.30639,0.30818,0.25117,0.25117,24049,0
CTF,D,20120928,000000,0.24941,0.28325,0.21553,0.23514,17168,0
CTF,D,20121001,000000,0.22268,0.26187,0.21377,0.24941,32381,0
CTF,D,20121002,000000,0.26187,0.29927,0.25652,0.27966,163694,0
CTF,D,20121003,000000,0.27254,0.27254,0.21377,0.21377,73214,0
CTF,D,20121004,000000,0.21732,0.23514,0.21377,0.23514,30900,0
CTF,D,20121005,000000,0.23694,0.23694,0.21377,0.23514,4773,0
CTF,D,20121008,000000,0.23514,0.23514,0.21732,0.23514,12960,0
CTF,D,20121009,000000,0.23514,0.2405,0.21377,0.21732,57305,0
CTF,D,20121010,000000,0.22268,0.24405,0.22268,0.24405,25282,0
CTF,D,20121011,000000,0.24581,0.29392,0.23159,0.29392,114736,0
CTF,D,20121012,000000,0.31709,0.35449,0.25472,0.25472,124135,0
CTF,D,20121015,000000,0.24405,0.26008,0.21912,0.21912,70328,0
CTF,D,20121016,000000,0.22447,0.2405,0.20306,0.21553,41010,0
CTF,D,20121017,000000,0.20486,0.21201,0.19239,0.19595,21221,0
CTF,D,20121018,000000,0.20306,0.23159,0.20306,0.23159,19085,0
CTF,D,20121019,000000,0.23159,0.2405,0.23159,0.2405,1429,0
CTF,D,20121022,000000,0.2405,0.2405,0.21912,0.23514,14427,0
CTF,D,20121023,000000,0.21553,0.21553,0.17814,0.17814,131095,0
CTF,D,20121024,000000,0.18883,0.19239,0.17814,0.18704,45985,0
CTF,D,20121025,000000,0.19059,0.20306,0.18704,0.20306,20405,0
CTF,D,20121026,000000,0.20306,0.22088,0.17814,0.18348,52623,0
CTF,D,20121029,000000,0.16923,0.19419,0.16923,0.19419,616,0
CTF,D,20121030,000000,0.16211,0.19419,0.16033,0.16033,25737,0
CTF,D,20121031,000000,0.15676,0.17814,0.15676,0.17635,12815,0
CTF,D,20121102,000000,0.17635,0.17635,0.16923,0.16923,11228,0
CTF,D,20121105,000000,0.16745,0.20306,0.16033,0.19059,110141,0
CTF,D,20121106,000000,0.19239,0.19239,0.15498,0.15498,213357,0
CTF,D,20121107,000000,0.16033,0.16033,0.15319,0.15854,17024,0
CTF,D,20121108,000000,0.15498,0.15498,0.14429,0.14429,33704,0
CTF,D,20121109,000000,0.15141,0.17635,0.14429,0.17635,76396,0
CTF,D,20121112,000000,0.17814,0.25652,0.17814,0.25652,465235,0
CTF,D,20121113,000000,0.27614,0.30998,0.18704,0.18704,801079,0
CTF,D,20121114,000000,0.17992,0.1995,0.14607,0.15319,1885156,0
CTF,D,20121115,000000,0.16745,0.1995,0.16745,0.19059,1431731,0
CTF,D,20121116,000000,0.19774,0.20841,0.16033,0.16033,647836,0
CTF,D,20121119,000000,0.16211,0.16923,0.13003,0.14964,501818,0
CTF,D,20121120,000000,0.15141,0.17992,0.14072,0.16388,470596,0
CTF,D,20121121,000000,0.16388,0.16388,0.14429,0.14607,163072,0
CTF,D,20121122,000000,0.14607,0.15141,0.1336,0.13717,209294,0
CTF,D,20121123,000000,0.14252,0.15141,0.13183,0.14252,282911,0
CTF,D,20121126,000000,0.14429,0.14429,0.11756,0.11936,236062,0
CTF,D,20121127,000000,0.13003,0.13183,0.11401,0.12471,43568,0
CTF,D,20121128,000000,0.12471,0.12471,0.10867,0.11936,135275,0
CTF,D,20121129,000000,0.11936,0.11936,0.10687,0.11756,73276,0
CTF,D,20121130,000000,0.11936,0.16033,0.10687,0.14607,675030,0
CTF,D,20121203,000000,0.14607,0.16388,0.13183,0.1336,205538,0
CTF,D,20121204,000000,0.13538,0.15319,0.12471,0.14607,111305,0
CTF,D,20121205,000000,0.14607,0.15498,0.1336,0.1336,304085,0
CTF,D,20121206,000000,0.1336,0.1336,0.11222,0.11756,118405,0
CTF,D,20121207,000000,0.11756,0.13183,0.11579,0.12471,136001,0
CTF,D,20121210,000000,0.12471,0.12471,0.11401,0.11936,20335,0
CTF,D,20121211,000000,0.11936,0.12648,0.1051,0.11222,252125,0
CTF,D,20121212,000000,0.10687,0.11401,0.09798,0.10687,194553,0
CTF,D,20121213,000000,0.11222,0.11401,0.09975,0.11222,39284,0
CTF,D,20121214,000000,0.11222,0.11401,0.10687,0.10867,42663,0
CTF,D,20121217,000000,0.11401,0.11579,0.1051,0.1051,104506,0
CTF,D,20121218,000000,0.10332,0.10332,0.09263,0.09263,120575,0
CTF,D,20121219,000000,0.09798,0.09798,0.09441,0.0962,10385,0
CTF,D,20121220,000000,0.0962,0.0962,0.08194,0.08728,109042,0
CTF,D,20121221,000000,0.08906,0.10687,0.08906,0.10687,451151,0
CTF,D,20121227,000000,0.11044,0.12471,0.10687,0.10687,270946,0
CTF,D,20121228,000000,0.11579,0.11579,0.09975,0.09975,81625,0
CTF,D,20130102,000000,0.09263,0.0962,0.06056,0.06056,2048689,0
CTF,D,20130103,000000,0.05344,0.07482,0.04632,0.0659,1900039,0
CTF,D,20130104,000000,0.06947,0.06947,0.05701,0.06235,907988,0
CTF,D,20130107,000000,0.0659,0.0677,0.05344,0.06235,735818,0
