<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRF,D,20080626,000000,55,55,27,34,10731,0
DRF,D,20080627,000000,32,33,28,30,2676,0
DRF,D,20080630,000000,28,31,25,28,2464,0
DRF,D,20080701,000000,29,29,24,26,1442,0
DRF,D,20080702,000000,24,25,21,23,2020,0
DRF,D,20080703,000000,22,24,20,22,1421,0
DRF,D,20080704,000000,22,26,22,22,694,0
DRF,D,20080707,000000,23,24,20,22,728,0
DRF,D,20080708,000000,20,22,19,22,1238,0
DRF,D,20080709,000000,20,25,20,22,572,0
DRF,D,20080710,000000,21,22,20,22,964,0
DRF,D,20080711,000000,22,23,20,22,445,0
DRF,D,20080714,000000,21,22,20,22,594,0
DRF,D,20080715,000000,21,21,19,21,920,0
DRF,D,20080716,000000,21,21,19,21,211,0
DRF,D,20080717,000000,21,22,19,21,375,0
DRF,D,20080718,000000,19,21,19,21,22,0
DRF,D,20080721,000000,21,21,21,21,50,0
DRF,D,20080722,000000,20,21,19,20,1142,0
DRF,D,20080723,000000,19,26,19,24,2261,0
DRF,D,20080724,000000,25,28,23,26,1004,0
DRF,D,20080725,000000,25,27,25,26,257,0
DRF,D,20080728,000000,23,23,21,22,424,0
DRF,D,20080729,000000,22,24,21,24,734,0
DRF,D,20080730,000000,24,24,22,23,477,0
DRF,D,20080731,000000,24,24,21,23,554,0
DRF,D,20080801,000000,23,23,23,23,10,0
DRF,D,20080804,000000,21,28,21,27,1288,0
DRF,D,20080805,000000,27,38,27,34,1662,0
DRF,D,20080806,000000,33,46,32,46,4121,0
DRF,D,20080807,000000,49,49,40,43,1221,0
DRF,D,20080808,000000,37,45,35,41,270,0
DRF,D,20080811,000000,45,46,36,41,680,0
DRF,D,20080812,000000,43,43,33,38,401,0
DRF,D,20080813,000000,38,41,36,40,439,0
DRF,D,20080814,000000,41,41,40,40,37,0
DRF,D,20080818,000000,39,40,32,35,957,0
DRF,D,20080819,000000,36,36,29,30,2571,0
DRF,D,20080820,000000,32,32,24,27,2619,0
DRF,D,20080821,000000,26,36,26,36,2242,0
DRF,D,20080822,000000,34,35,31,35,1012,0
DRF,D,20080825,000000,32,34,31,31,71,0
DRF,D,20080826,000000,28,31,27,31,51,0
DRF,D,20080827,000000,28,32,27,32,154,0
DRF,D,20080829,000000,31,31,27,29,756,0
DRF,D,20080901,000000,29,31,25,28,3455,0
DRF,D,20080902,000000,27,28,23,26,9709,0
DRF,D,20080903,000000,26,26,24,25,934,0
DRF,D,20080904,000000,25,26,24,26,1047,0
DRF,D,20080905,000000,25,25,21,24,9267,0
DRF,D,20080908,000000,24,26,24,26,2953,0
DRF,D,20080909,000000,26,28,21,23,40949,0
DRF,D,20080910,000000,23,23,22,23,16488,0
DRF,D,20080911,000000,23,23,22,22,3769,0
DRF,D,20080912,000000,23,24,22,23,12064,0
DRF,D,20080915,000000,22,22,19,20,10815,0
DRF,D,20080916,000000,20,21,19,21,1262,0
DRF,D,20080917,000000,20,21,19,21,1360,0
DRF,D,20080918,000000,20,21,20,21,1419,0
DRF,D,20080919,000000,21,22,21,21,2496,0
DRF,D,20080922,000000,21,21,20,20,73,0
DRF,D,20080923,000000,20,21,20,20,1004,0
DRF,D,20080924,000000,20,20,19,20,443,0
DRF,D,20080925,000000,20,20,19,20,300,0
DRF,D,20080926,000000,20,20,20,20,969,0
DRF,D,20080929,000000,20,22,20,21,4601,0
DRF,D,20080930,000000,20,21,19,21,1299,0
DRF,D,20081001,000000,20,21,20,21,171,0
DRF,D,20081002,000000,20,21,20,20,175,0
DRF,D,20081003,000000,20,21,20,20,807,0
DRF,D,20081006,000000,20,21,19,20,485,0
DRF,D,20081007,000000,19,20,19,19,4560,0
DRF,D,20081008,000000,18,19,17,18,3856,0
DRF,D,20081009,000000,18,18,18,18,320,0
