<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMU,D,20071221,000000,6.024,6.4102,4.294,5.02,130940,0
EMU,D,20071227,000000,5.0586,5.2517,5.02,5.02,25877,0
EMU,D,20071228,000000,5.0895,5.1358,4.5952,4.5952,45721,0
EMU,D,20080102,000000,4.8192,4.8269,4.603,4.603,2039,0
EMU,D,20080103,000000,4.5257,4.7497,4.5257,4.7497,9685,0
EMU,D,20080104,000000,4.8038,5.0586,4.6338,5.0123,7814,0
EMU,D,20080107,000000,4.6338,4.8655,4.2477,4.7729,9946,0
EMU,D,20080108,000000,4.1936,4.4794,4.0932,4.3404,6400,0
EMU,D,20080109,000000,4.3635,4.3635,3.8538,3.9774,7137,0
EMU,D,20080110,000000,3.9388,3.9388,3.7071,3.9388,2900,0
EMU,D,20080111,000000,3.8615,3.8615,3.6298,3.7457,1843,0
EMU,D,20080114,000000,3.2437,3.7302,3.0892,3.2437,12226,0
EMU,D,20080115,000000,3.0892,3.2437,3.0892,3.0892,4869,0
EMU,D,20080116,000000,2.7031,3.0506,2.5486,3.0506,3715,0
EMU,D,20080117,000000,2.8575,3.1278,2.8575,3.0429,3497,0
EMU,D,20080118,000000,2.7803,3.1665,2.7803,3.1665,2974,0
EMU,D,20080122,000000,2.7031,3.1665,2.7031,3.0815,12939,0
EMU,D,20080123,000000,3.2051,3.2051,2.7185,3.0506,1822,0
EMU,D,20080124,000000,3.3209,3.3209,3.2746,3.2746,20334,0
EMU,D,20080125,000000,3.4599,3.4677,2.9734,3.3982,3598,0
EMU,D,20080129,000000,2.7803,3.236,2.7803,3.0892,2364,0
EMU,D,20080130,000000,3.236,3.2437,3.1278,3.2051,642,0
EMU,D,20080131,000000,2.8575,3.1665,2.8575,3.1587,224,0
EMU,D,20080201,000000,3.2437,3.2514,3.2437,3.2437,3082,0
EMU,D,20080204,000000,3.2823,3.2823,3.2437,3.2437,434,0
EMU,D,20080205,000000,3.2437,3.2437,2.9579,3.2128,4097,0
EMU,D,20080206,000000,2.9579,3.0815,2.9348,2.9734,1233,0
EMU,D,20080207,000000,2.9734,3.0506,2.9734,3.012,1093,0
EMU,D,20080208,000000,3.0815,3.0815,3.0815,3.0815,1,0
EMU,D,20080212,000000,3.1665,4.2322,3.1665,3.2437,7990,0
EMU,D,20080213,000000,3.2051,3.2051,3.2051,3.2051,76,0
EMU,D,20080214,000000,3.0892,3.2437,3.0892,3.0892,350,0
EMU,D,20080215,000000,3.0892,3.2823,2.8962,3.0738,7966,0
EMU,D,20080218,000000,3.0738,3.0738,3.0738,3.0738,1423,0
EMU,D,20080219,000000,2.9348,2.9425,2.8653,2.8653,2209,0
EMU,D,20080220,000000,2.8575,3.012,2.8575,3.012,1901,0
EMU,D,20080221,000000,3.012,3.012,3.012,3.012,1036,0
EMU,D,20080222,000000,2.8575,3.0738,2.8575,3.0738,783,0
EMU,D,20080225,000000,3.0738,3.0738,2.7185,3.0506,1124,0
EMU,D,20080226,000000,2.7108,2.9734,2.7108,2.7417,2021,0
EMU,D,20080227,000000,2.9734,2.9734,2.7185,2.9348,3115,0
EMU,D,20080228,000000,2.7031,2.7031,2.7031,2.7031,917,0
EMU,D,20080229,000000,2.7031,2.7031,2.4791,2.6799,2407,0
EMU,D,20080303,000000,2.4714,2.4714,2.2783,2.3942,3754,0
EMU,D,20080305,000000,2.3942,2.3942,2.1625,2.2088,5117,0
EMU,D,20080306,000000,2.2088,2.2088,2.0466,2.1547,1073,0
EMU,D,20080307,000000,2.1238,2.1238,2.0157,2.0852,1666,0
EMU,D,20080310,000000,2.0852,2.0852,2.0852,2.0852,1334,0
EMU,D,20080311,000000,2.0466,2.0852,2.008,2.0852,10919,0
EMU,D,20080312,000000,1.9385,2.3092,1.9385,2.3092,1918,0
EMU,D,20080313,000000,2.0852,2.2783,2.0852,2.2011,10360,0
EMU,D,20080314,000000,2.0852,2.1779,2.0852,2.1779,7519,0
EMU,D,20080317,000000,2.0466,2.3015,2.0234,2.3015,880,0
EMU,D,20080320,000000,2.008,2.2011,2.008,2.2011,1189,0
EMU,D,20080325,000000,2.008,2.0466,2.008,2.0466,4379,0
EMU,D,20080326,000000,2.0157,2.0157,2.0157,2.0157,1932,0
EMU,D,20080327,000000,2.1161,2.1161,2.1161,2.1161,6,0
EMU,D,20080328,000000,2.1161,2.1161,2.1161,2.1161,97,0
EMU,D,20080331,000000,1.9308,2.1161,1.8999,1.9848,9132,0
EMU,D,20080401,000000,2.008,2.008,1.8767,1.9308,7713,0
EMU,D,20080402,000000,1.9694,1.9694,1.9694,1.9694,7193,0
EMU,D,20080403,000000,1.9694,1.9694,1.9694,1.9694,2460,0
EMU,D,20080404,000000,1.7995,1.7995,1.7918,1.7918,1832,0
EMU,D,20080407,000000,1.7918,1.8149,1.6605,1.6605,7860,0
EMU,D,20080408,000000,1.6218,1.6605,1.5678,1.6605,12070,0
EMU,D,20080409,000000,1.5832,1.6218,1.5832,1.5832,4054,0
EMU,D,20080410,000000,1.6218,1.7377,1.6218,1.7377,6191,0
EMU,D,20080411,000000,1.7377,1.7377,1.7068,1.7068,706,0
EMU,D,20080415,000000,1.6218,1.7686,1.6218,1.6914,9428,0
EMU,D,20080416,000000,1.6914,1.8535,1.6914,1.7763,21980,0
EMU,D,20080417,000000,1.8535,1.9694,1.8535,1.9617,12526,0
EMU,D,20080418,000000,1.9617,1.9617,1.8149,1.8149,2377,0
EMU,D,20080421,000000,1.8072,1.8072,1.5446,1.5446,12325,0
EMU,D,20080422,000000,1.6141,1.7686,1.4597,1.6527,12960,0
EMU,D,20080423,000000,1.6218,1.6218,1.6218,1.6218,211,0
EMU,D,20080424,000000,1.4751,1.645,1.4519,1.645,5405,0
EMU,D,20080425,000000,1.5292,1.5987,1.4828,1.5987,3535,0
EMU,D,20080428,000000,1.5446,1.6605,1.5446,1.6141,18500,0
EMU,D,20080429,000000,1.6296,2.1547,1.6296,2.0466,97528,0
EMU,D,20080430,000000,2.0775,2.649,2.0775,2.51,119953,0
EMU,D,20080505,000000,2.6258,2.8112,2.5177,2.7958,81348,0
EMU,D,20080506,000000,2.7958,2.7958,2.5254,2.6799,22469,0
EMU,D,20080507,000000,2.7031,2.7031,2.2629,2.4714,31970,0
EMU,D,20080508,000000,2.51,2.6954,2.3555,2.6876,35242,0
EMU,D,20080509,000000,2.6876,2.7031,2.4405,2.6181,19530,0
EMU,D,20080512,000000,2.6413,2.6413,2.1702,2.4173,17756,0
EMU,D,20080513,000000,2.2474,2.3169,2.1238,2.3169,9832,0
EMU,D,20080514,000000,2.1625,2.3169,2.093,2.093,17049,0
EMU,D,20080515,000000,2.2783,2.2783,2.0852,2.093,9529,0
EMU,D,20080516,000000,2.0852,2.093,2.008,2.0852,9281,0
EMU,D,20080519,000000,1.9308,2.008,1.9308,2.0003,5856,0
EMU,D,20080520,000000,2.008,2.008,1.8535,1.9308,8112,0
EMU,D,20080521,000000,1.8535,1.9308,1.7763,1.923,3214,0
EMU,D,20080526,000000,1.9308,1.9308,1.9308,1.9308,2008,0
EMU,D,20080527,000000,1.9308,1.9308,1.645,1.6759,27358,0
EMU,D,20080528,000000,1.6605,1.7377,1.5446,1.7222,24141,0
EMU,D,20080529,000000,1.7222,1.8149,1.6991,1.6991,3835,0
EMU,D,20080530,000000,1.7763,1.8922,1.7763,1.8149,13093,0
EMU,D,20080602,000000,1.7068,1.7377,1.645,1.7222,5586,0
EMU,D,20080603,000000,1.73,1.7995,1.6605,1.7222,9429,0
EMU,D,20080604,000000,1.7222,1.7222,1.7145,1.7222,1019,0
EMU,D,20080605,000000,1.7686,1.7686,1.7531,1.7531,1133,0
EMU,D,20080606,000000,1.7531,1.7531,1.7531,1.7531,41,0
EMU,D,20080609,000000,1.6605,1.6605,1.5446,1.5601,8456,0
EMU,D,20080610,000000,1.506,1.6373,1.4674,1.5832,6782,0
EMU,D,20080611,000000,1.5755,1.6527,1.5755,1.645,10127,0
EMU,D,20080612,000000,1.6527,1.6605,1.6373,1.6527,4220,0
EMU,D,20080613,000000,1.6527,1.6605,1.6373,1.6605,2786,0
EMU,D,20080616,000000,1.6373,1.8844,1.6373,1.8844,6585,0
EMU,D,20080617,000000,1.8844,2.0852,1.8535,1.9694,8337,0
EMU,D,20080618,000000,1.9848,2.0621,1.8922,2.0466,5490,0
EMU,D,20080619,000000,2.0466,2.0466,1.9308,1.9694,4549,0
EMU,D,20080620,000000,1.8922,2.0466,1.8922,2.0234,3760,0
EMU,D,20080623,000000,2.0389,2.0389,1.8922,2.0389,449,0
EMU,D,20080624,000000,2.0466,2.2783,1.9694,2.1547,24516,0
EMU,D,20080625,000000,1.9771,2.1934,1.9771,2.1547,1006,0
EMU,D,20080626,000000,1.9694,1.9694,1.9308,1.9617,3316,0
EMU,D,20080627,000000,1.7763,1.9308,1.7763,1.9308,1422,0
EMU,D,20080630,000000,1.6991,1.8922,1.6682,1.8149,3189,0
EMU,D,20080701,000000,1.8149,1.8535,1.6991,1.8226,2237,0
EMU,D,20080702,000000,1.7763,1.7763,1.7763,1.7763,1,0
EMU,D,20080703,000000,1.8535,1.8535,1.6218,1.6991,6641,0
EMU,D,20080704,000000,1.6991,1.6991,1.6991,1.6991,1,0
EMU,D,20080707,000000,1.6914,1.6914,1.5446,1.5446,728,0
EMU,D,20080708,000000,1.5446,1.6836,1.4751,1.6836,2885,0
EMU,D,20080709,000000,1.6682,1.6836,1.6682,1.6836,1492,0
EMU,D,20080710,000000,1.6218,1.6836,1.6218,1.6836,2202,0
EMU,D,20080711,000000,1.6991,1.6991,1.5832,1.6914,1907,0
EMU,D,20080714,000000,1.6836,1.6836,1.5832,1.5832,2350,0
EMU,D,20080715,000000,1.5446,1.6218,1.506,1.6218,3628,0
EMU,D,20080716,000000,1.6527,1.6605,1.6527,1.6605,1646,0
EMU,D,20080717,000000,1.6527,1.6527,1.5214,1.6527,1457,0
EMU,D,20080718,000000,1.645,1.645,1.645,1.645,1,0
EMU,D,20080721,000000,1.506,1.6991,1.506,1.6991,5150,0
EMU,D,20080722,000000,1.8226,1.8226,1.6991,1.6991,60,0
EMU,D,20080724,000000,1.5369,1.5601,1.2511,1.3902,56329,0
EMU,D,20080725,000000,1.3515,1.4133,1.3129,1.3129,6514,0
EMU,D,20080728,000000,1.3902,1.3902,1.3129,1.3902,3991,0
EMU,D,20080729,000000,1.2357,1.3129,1.1662,1.3129,7948,0
EMU,D,20080730,000000,1.3129,1.3902,1.3129,1.3129,5166,0
EMU,D,20080731,000000,1.3129,1.3129,1.1971,1.3129,2696,0
EMU,D,20080801,000000,1.3438,1.3438,1.3438,1.3438,3,0
EMU,D,20080804,000000,1.2743,1.2975,1.2202,1.2975,3839,0
EMU,D,20080805,000000,1.282,1.282,1.1585,1.2357,13952,0
EMU,D,20080806,000000,1.2357,1.3824,1.1585,1.367,7770,0
EMU,D,20080807,000000,1.2357,1.2666,1.2048,1.2589,8956,0
EMU,D,20080808,000000,1.1971,1.228,1.0117,1.228,21412,0
EMU,D,20080811,000000,1.1585,1.2048,1.1585,1.2048,2667,0
EMU,D,20080812,000000,1.2357,1.2511,1.2048,1.2048,6140,0
EMU,D,20080813,000000,1.2666,1.2666,1.2666,1.2666,317,0
EMU,D,20080814,000000,1.2666,1.3052,1.2202,1.3052,3167,0
EMU,D,20080818,000000,1.3052,1.3129,1.2357,1.3129,3914,0
EMU,D,20080819,000000,1.2357,1.2357,1.2357,1.2357,3884,0
EMU,D,20080820,000000,1.2975,1.2975,1.2975,1.2975,1,0
EMU,D,20080821,000000,1.2975,1.2975,1.2975,1.2975,1,0
EMU,D,20080822,000000,1.2357,1.3052,1.2357,1.3052,2604,0
EMU,D,20080825,000000,1.2743,1.2743,1.2202,1.2202,8352,0
EMU,D,20080826,000000,1.3052,1.3052,1.1971,1.1971,3005,0
