<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETN,D,20171110,000000,0.829,0.829,0.621,0.621,58730,0
ETN,D,20171113,000000,0.616,0.616,0.55,0.598,17130,0
ETN,D,20171114,000000,0.6,0.72,0.56,0.665,40810,0
ETN,D,20171115,000000,0.665,0.665,0.56,0.62,50400,0
ETN,D,20171116,000000,0.62,0.62,0.58,0.6,1880,0
ETN,D,20171117,000000,0.58,0.619,0.54,0.619,4520,0
ETN,D,20171120,000000,0.59,0.62,0.58,0.62,7550,0
ETN,D,20171121,000000,0.581,0.69,0.57,0.632,11550,0
ETN,D,20171122,000000,0.632,0.65,0.59,0.65,3570,0
ETN,D,20171124,000000,0.643,0.643,0.58,0.6,10060,0
ETN,D,20171127,000000,0.56,0.56,0.457,0.532,53470,0
ETN,D,20171128,000000,0.5,0.5,0.46,0.49,5820,0
ETN,D,20171129,000000,0.49,0.49,0.392,0.392,62590,0
ETN,D,20171130,000000,0.419,0.419,0.38,0.397,15420,0
ETN,D,20171201,000000,0.397,0.45,0.397,0.45,13600,0
ETN,D,20171204,000000,0.46,0.48,0.46,0.48,950,0
ETN,D,20171205,000000,0.45,0.45,0.375,0.44,14400,0
ETN,D,20171206,000000,0.44,0.44,0.376,0.439,11100,0
ETN,D,20171207,000000,0.39,0.419,0.37,0.4,54680,0
ETN,D,20171208,000000,0.39,0.413,0.39,0.413,4400,0
ETN,D,20171211,000000,0.413,0.413,0.39,0.412,1700,0
ETN,D,20171212,000000,0.39,0.412,0.39,0.39,32400,0
ETN,D,20171213,000000,0.39,0.46,0.39,0.4,28680,0
ETN,D,20171214,000000,0.429,0.429,0.419,0.429,1000,0
ETN,D,20171215,000000,0.429,0.429,0.41,0.41,5600,0
ETN,D,20171218,000000,0.429,0.439,0.39,0.4,328650,0
ETN,D,20171219,000000,0.413,0.459,0.413,0.459,7070,0
ETN,D,20171220,000000,0.456,0.47,0.456,0.465,9220,0
ETN,D,20171221,000000,0.465,0.465,0.465,0.465,100,0
ETN,D,20171222,000000,0.455,0.478,0.455,0.478,115040,0
ETN,D,20171228,000000,0.45,0.45,0.439,0.44,25100,0
ETN,D,20171229,000000,0.445,0.445,0.435,0.44,30760,0
ETN,D,20180103,000000,0.43,0.439,0.41,0.41,3500,0
