<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPH,D,20211129,000000,6.9,7.4,6.25,6.7,91257,0
GPH,D,20211130,000000,7,8.85,7,8.6,104211,0
GPH,D,20211201,000000,9,10,7.22,8.72,91079,0
GPH,D,20211202,000000,8.95,8.95,8.06,8.5,28923,0
GPH,D,20211203,000000,8.5,8.79,7.52,8.04,35487,0
GPH,D,20211206,000000,8.04,8.79,7.91,8.6,8040,0
GPH,D,20211207,000000,8.5,8.95,8.13,8.85,19304,0
GPH,D,20211208,000000,8.8,8.8,7.83,8.45,12056,0
GPH,D,20211209,000000,8.1,8.6,7.921,8.28,2704,0
GPH,D,20211210,000000,8.05,8.4,8,8.4,7173,0
GPH,D,20211213,000000,8.1,8.8,8,8.8,7188,0
GPH,D,20211214,000000,8.8,8.8,8.11,8.73,675,0
GPH,D,20211215,000000,8.75,8.75,8.2,8.23,1957,0
GPH,D,20211216,000000,8.5,8.74,8.22,8.49,1303,0
GPH,D,20211217,000000,8.49,8.7,8.14,8.57,4371,0
GPH,D,20211220,000000,8.5,8.5,8.05,8.05,8012,0
GPH,D,20211221,000000,8.06,8.1,7.91,8,2151,0
GPH,D,20211222,000000,7.98,8.38,7.98,8.38,1017,0
GPH,D,20211223,000000,8,8.1,7.705,8.1,2883,0
GPH,D,20211227,000000,8.1,8.1,7.4,7.85,7762,0
GPH,D,20211228,000000,7.9,7.92,7.562,7.859,3404,0
GPH,D,20211229,000000,7.91,8.88,7.7,8.36,18549,0
GPH,D,20211230,000000,8.38,8.5,8.01,8.38,2608,0
GPH,D,20220103,000000,8.5,8.6,8.1,8.19,4051,0
GPH,D,20220104,000000,8.44,8.49,7.9,8.49,9567,0
GPH,D,20220105,000000,8.49,8.7,8.19,8.59,2013,0
GPH,D,20220107,000000,8.25,8.57,8.25,8.57,559,0
GPH,D,20220110,000000,8.48,8.48,8.21,8.32,1137,0
GPH,D,20220111,000000,8.49,8.49,8.2,8.44,1354,0
GPH,D,20220112,000000,8.49,8.49,8,8.19,2578,0
GPH,D,20220113,000000,8.25,8.79,8,8.35,11550,0
GPH,D,20220114,000000,8.2,8.2,8.2,8.2,300,0
GPH,D,20220117,000000,8.2,8.35,8.1,8.1,1542,0
GPH,D,20220118,000000,8.11,8.38,8.11,8.375,981,0
GPH,D,20220119,000000,8.3,8.351,8.11,8.351,1655,0
GPH,D,20220120,000000,8.375,8.375,8.375,8.375,500,0
GPH,D,20220121,000000,8.11,8.11,7.51,7.74,14009,0
GPH,D,20220124,000000,8,8,7.65,7.67,1709,0
GPH,D,20220125,000000,7.9,7.98,7.8,7.88,922,0
GPH,D,20220126,000000,7.95,8.3,7.95,8.2,3361,0
GPH,D,20220127,000000,8.2,8.3,8,8.3,12270,0
GPH,D,20220128,000000,8.3,8.3,7.8,8.28,597,0
GPH,D,20220131,000000,8.35,8.35,8.2,8.25,786,0
GPH,D,20220201,000000,8.3,8.3,7.8,8.3,7805,0
GPH,D,20220202,000000,7.93,8.25,7.93,8.25,372,0
GPH,D,20220203,000000,7.9,8.18,7.8,8.18,3015,0
GPH,D,20220204,000000,7.9,8.1,7.8,8.1,1514,0
GPH,D,20220207,000000,8.1,8.25,8.1,8.25,30,0
