<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTY,D,20130423,000000,43.74,43.74,43.74,43.74,35,0
GTY,D,20130603,000000,40.69,40.69,40.69,40.69,37,0
GTY,D,20130607,000000,37.86,37.86,37.86,37.86,40,0
GTY,D,20130820,000000,37.86,37.86,37.86,37.86,2,0
GTY,D,20130913,000000,35.22,35.22,35.22,35.22,93,0
GTY,D,20131016,000000,32.77,32.77,32.77,32.77,46,0
GTY,D,20131120,000000,32.75,32.75,30.47,30.47,51,0
GTY,D,20131126,000000,28.35,28.35,22.68,22.68,125,0
GTY,D,20131127,000000,18.15,21.78,14.52,14.52,1405,0
GTY,D,20131202,000000,13,13,13,13,100,0
GTY,D,20131204,000000,12.01,14.41,12.01,14.41,300,0
GTY,D,20131205,000000,13,13,13,13,100,0
GTY,D,20131206,000000,12,12,9.6,10,2695,0
GTY,D,20131209,000000,10,10,10,10,100,0
GTY,D,20131211,000000,10,10,10,10,10,0
GTY,D,20131212,000000,10,12,10,11.99,500,0
GTY,D,20131213,000000,11,12.99,10,12.99,800,0
GTY,D,20131216,000000,11,12,11,12,151,0
GTY,D,20131218,000000,11,11,11,11,100,0
GTY,D,20140102,000000,10,10,10,10,100,0
GTY,D,20140114,000000,9,9,9,9,100,0
GTY,D,20140115,000000,8,8,7,7,231,0
GTY,D,20140212,000000,7,7,5.5,5.5,600,0
GTY,D,20140217,000000,5.68,5.79,5,5.79,1519,0
GTY,D,20140218,000000,4.8,4.8,4.8,4.8,200,0
GTY,D,20140219,000000,4,4.2,4,4.2,700,0
GTY,D,20140220,000000,4,4,4,4,300,0
GTY,D,20140324,000000,4,4,4,4,300,0
GTY,D,20140325,000000,4,4,4,4,200,0
GTY,D,20140326,000000,3.9,3.9,3.9,3.9,300,0
GTY,D,20140401,000000,3.9,4.4,3.9,4.4,500,0
GTY,D,20140402,000000,5,5,5,5,50,0
GTY,D,20140407,000000,4.15,4.15,4.04,4.04,800,0
GTY,D,20140423,000000,4,4.75,3.21,4.75,3695,0
GTY,D,20140424,000000,4,4.2,4,4.2,722,0
GTY,D,20140425,000000,3.6,3.6,3.4,3.4,222,0
GTY,D,20140506,000000,4,4.3,4,4.3,210,0
GTY,D,20140509,000000,4.3,5.16,4.3,5.15,2819,0
GTY,D,20140512,000000,5.5,5.5,5.47,5.47,380,0
GTY,D,20140513,000000,5.44,5.76,5.43,5.76,1500,0
GTY,D,20140514,000000,5.75,6.9,5,5,1131,0
GTY,D,20140516,000000,5,5,5,5,12,0
GTY,D,20140520,000000,5,5,4,4,250,0
GTY,D,20140521,000000,4,4,3.5,3.5,215,0
GTY,D,20140522,000000,3.4,3.4,3.3,3.3,200,0
GTY,D,20140526,000000,3.31,3.31,3.31,3.31,200,0
GTY,D,20140617,000000,3.34,3.6,3.34,3.6,500,0
GTY,D,20140625,000000,3.79,3.8,3.32,3.32,467,0
GTY,D,20140626,000000,3.32,3.32,3.31,3.31,587,0
GTY,D,20140702,000000,3,3,3,3,35,0
GTY,D,20140716,000000,3.5,3.5,3.5,3.5,100,0
GTY,D,20140722,000000,3.8,4,3.8,4,101,0
GTY,D,20140806,000000,4,4.4,4,4.4,399,0
GTY,D,20140807,000000,4.5,5,4.5,5,201,0
GTY,D,20140808,000000,4.5,5,4.5,5,69,0
GTY,D,20140819,000000,5,5.5,5,5.5,100,0
GTY,D,20140820,000000,4.5,4.5,4,4,102,0
GTY,D,20140821,000000,4,4.5,3.8,4.5,136,0
GTY,D,20140825,000000,4.5,5,4.5,5,64,0
GTY,D,20140827,000000,4.8,4.8,4.8,4.8,1,0
GTY,D,20140902,000000,4.8,6.9,4.8,6.5,598,0
GTY,D,20140903,000000,6.5,6.9,6.5,6.9,100,0
GTY,D,20140905,000000,5.9,6.89,5.01,6.88,2226,0
GTY,D,20140908,000000,5.99,6,5,6,576,0
GTY,D,20140911,000000,6.1,6.1,6.1,6.1,160,0
GTY,D,20140912,000000,6.5,6.5,6.5,6.5,1,0
GTY,D,20140915,000000,5.5,5.5,5,5,101,0
GTY,D,20140919,000000,5,5.5,5,5.5,172,0
GTY,D,20140922,000000,4.55,4.55,4,4,301,0
GTY,D,20140926,000000,4,4,4,4,77,0
GTY,D,20141015,000000,4.8,4.8,4.8,4.8,150,0
GTY,D,20141021,000000,4.5,4.5,4.5,4.5,100,0
GTY,D,20141119,000000,4.8,5,4.8,5,76,0
GTY,D,20141124,000000,4.3,4.3,4,4,200,0
GTY,D,20141212,000000,4.4,4.4,4.4,4.4,6,0
GTY,D,20141216,000000,4,4,4,4,100,0
GTY,D,20141218,000000,4.2,4.2,3.82,3.82,112,0
GTY,D,20141222,000000,3.6,3.6,3.6,3.6,139,0
GTY,D,20141223,000000,3.06,3.06,3.06,3.06,21,0
GTY,D,20150102,000000,3.65,3.65,3.65,3.65,5,0
GTY,D,20150109,000000,3.65,3.65,3.65,3.65,137,0
GTY,D,20150113,000000,3.6,4.62,3.6,4.62,639,0
GTY,D,20150114,000000,4.62,5.5,4.62,5.28,227,0
GTY,D,20150116,000000,6.33,6.33,5.28,5.61,165,0
GTY,D,20150119,000000,5.2,6.2,5.2,6.2,340,0
GTY,D,20150120,000000,5.39,5.99,5.39,5.5,687,0
GTY,D,20150121,000000,5.6,6.38,4.7,6.05,843,0
GTY,D,20150122,000000,5.5,5.5,4.5,4.5,191,0
GTY,D,20150123,000000,5.05,5.99,4.69,5.11,1333,0
GTY,D,20150126,000000,5.5,5.99,4.4,5.99,1087,0
GTY,D,20150127,000000,5,5,5,5,100,0
GTY,D,20150128,000000,5.05,5.98,5.05,5.5,1141,0
GTY,D,20150130,000000,5.1,5.99,5.1,5.45,652,0
GTY,D,20150203,000000,5.05,5.05,5.05,5.05,90,0
GTY,D,20150210,000000,5.1,5.5,5.1,5.5,167,0
GTY,D,20150211,000000,5.3,5.4,5.3,5.4,188,0
GTY,D,20150213,000000,5.2,5.2,5.2,5.2,97,0
GTY,D,20150216,000000,5.3,5.3,4.82,4.82,88,0
GTY,D,20150225,000000,4.4,4.4,4.4,4.4,69,0
GTY,D,20150226,000000,4.82,5,4.82,5,201,0
GTY,D,20150303,000000,4.7,4.73,4.37,4.73,330,0
GTY,D,20150305,000000,4.73,4.73,4.73,4.73,1,0
GTY,D,20150309,000000,4.73,4.73,4.3,4.35,235,0
GTY,D,20150313,000000,4.3,4.3,4.3,4.3,117,0
GTY,D,20150317,000000,4.4,5,4.4,5,325,0
GTY,D,20150318,000000,5.17,5.99,5.17,5.8,998,0
GTY,D,20150319,000000,5.37,5.37,5.37,5.37,20,0
GTY,D,20150324,000000,5.9,5.9,5.9,5.9,28,0
GTY,D,20150330,000000,5.37,5.37,5.37,5.37,94,0
GTY,D,20150408,000000,5.45,5.45,5.45,5.45,4,0
GTY,D,20150409,000000,5,6,4.96,5.8,1070,0
GTY,D,20150410,000000,5.37,6.44,5,6.44,692,0
GTY,D,20150417,000000,5.55,6,5.55,5.55,104,0
GTY,D,20150420,000000,5.99,6.16,5.99,6.16,30,0
GTY,D,20150421,000000,6.16,7.15,6.16,7.15,1273,0
GTY,D,20150422,000000,6.8,8.6,6.8,8,2090,0
GTY,D,20150427,000000,7.28,7.28,7.28,7.28,69,0
GTY,D,20150429,000000,7.3,7.3,7.3,7.3,3,0
GTY,D,20150506,000000,7.3,7.3,7.3,7.3,2,0
GTY,D,20150508,000000,7.3,8.76,7.3,7.6,683,0
GTY,D,20150512,000000,6.65,6.65,6.64,6.64,1431,0
GTY,D,20150513,000000,6.2,6.7,6.2,6.7,938,0
GTY,D,20150514,000000,7.15,7.7,7.15,7.7,419,0
GTY,D,20150518,000000,7.7,8.25,7.5,8.25,205,0
GTY,D,20150519,000000,7.5,7.5,7.5,7.5,67,0
GTY,D,20150521,000000,7.7,7.7,7.7,7.7,1,0
GTY,D,20150522,000000,7,7,6.55,7,105,0
GTY,D,20150525,000000,7,7,7,7,4,0
GTY,D,20150526,000000,6.37,7.64,5.1,7.64,1143,0
GTY,D,20150605,000000,6.82,6.82,6.82,6.82,74,0
GTY,D,20150610,000000,6.7,6.7,6.7,6.7,75,0
GTY,D,20150617,000000,6.19,6.19,6.19,6.19,81,0
GTY,D,20150619,000000,6.3,6.3,6.3,6.3,10,0
GTY,D,20150623,000000,5.73,6.05,5.6,6.05,439,0
GTY,D,20150624,000000,6.38,6.38,5.81,6.38,423,0
GTY,D,20150626,000000,6.99,6.99,6.99,6.99,1,0
GTY,D,20150701,000000,6.38,6.99,6.38,6.99,243,0
GTY,D,20150702,000000,6.49,6.49,6.49,6.49,20,0
GTY,D,20150703,000000,6.35,6.35,6.35,6.35,79,0
GTY,D,20150709,000000,6.1,6.5,5.91,6.5,598,0
GTY,D,20150720,000000,5.73,6.2,5.21,6.2,188,0
GTY,D,20150728,000000,5.5,6.6,4.73,6.6,1584,0
GTY,D,20150806,000000,6.1,6.1,5.64,5.64,171,0
GTY,D,20150807,000000,5.74,5.74,5.74,5.74,85,0
GTY,D,20150810,000000,6.09,6.09,6.09,6.09,5,0
GTY,D,20150811,000000,6.09,6.09,6.09,6.09,60,0
GTY,D,20150812,000000,5.8,5.8,5.8,5.8,87,0
GTY,D,20150814,000000,5.9,5.9,5.9,5.9,2,0
GTY,D,20150819,000000,5.9,5.9,5.9,5.9,1,0
GTY,D,20150821,000000,5.38,5.38,4.91,4.91,126,0
GTY,D,20150904,000000,5.4,5.9,5.4,5.9,180,0
GTY,D,20150907,000000,5.67,5.9,5.38,5.67,983,0
GTY,D,20150908,000000,5.47,5.57,5.32,5.57,538,0
GTY,D,20150909,000000,5.07,5.07,5.07,5.07,99,0
GTY,D,20150915,000000,5.14,5.5,5.14,5.5,163,0
GTY,D,20150918,000000,5.5,6.38,5.37,5.9,373,0
GTY,D,20150928,000000,5.5,5.5,5.5,5.5,7,0
GTY,D,20150929,000000,5.1,6.12,5.01,6.12,820,0
GTY,D,20150930,000000,6.5,6.5,6.5,6.5,20,0
GTY,D,20151001,000000,5.25,5.25,5.25,5.25,96,0
GTY,D,20151015,000000,5.3,5.3,5.3,5.3,41,0
GTY,D,20151019,000000,5.5,5.5,5.5,5.5,15,0
GTY,D,20151023,000000,5,5,4.73,4.73,102,0
GTY,D,20151026,000000,5.2,5.49,5.2,5.49,164,0
GTY,D,20151030,000000,5,5,5,5,100,0
GTY,D,20151102,000000,4.73,4.73,4.3,4.73,488,0
GTY,D,20151103,000000,4.45,5.34,4.45,5.34,1138,0
GTY,D,20151104,000000,5.26,5.26,5.26,5.26,96,0
GTY,D,20151105,000000,5.49,6.49,5.49,6.33,2109,0
GTY,D,20151106,000000,6.3,6.3,6.3,6.3,112,0
GTY,D,20151109,000000,5.82,5.82,5.2,5.2,341,0
GTY,D,20151110,000000,5.2,5.2,4.38,4.38,367,0
GTY,D,20151112,000000,4.37,4.8,4.07,4.7,423,0
GTY,D,20151118,000000,4.37,4.37,4.37,4.37,115,0
GTY,D,20151119,000000,4.47,4.47,4.47,4.47,110,0
GTY,D,20151124,000000,4.38,4.8,4.38,4.8,525,0
GTY,D,20151126,000000,4.8,5.5,4.8,5.4,488,0
GTY,D,20151130,000000,5.3,5.3,5.3,5.3,91,0
GTY,D,20151207,000000,5.4,6.48,5.4,5.5,586,0
GTY,D,20151210,000000,5.19,5.19,5.19,5.19,97,0
GTY,D,20151211,000000,5.29,6,5.19,5.19,1073,0
GTY,D,20151215,000000,5.29,5.29,5.29,5.29,95,0
GTY,D,20151216,000000,5.7,5.7,4.81,4.81,119,0
GTY,D,20151217,000000,5.29,5.29,5.29,5.29,2,0
GTY,D,20151218,000000,4.81,4.81,4.81,4.81,104,0
GTY,D,20151222,000000,4.5,4.85,4.46,4.85,415,0
GTY,D,20151228,000000,4.8,5.28,4,5.1,576,0
GTY,D,20151229,000000,4.64,4.8,4.64,4.8,173,0
GTY,D,20151230,000000,3.85,3.85,3.85,3.85,1,0
GTY,D,20160104,000000,4.62,4.62,4.62,4.62,109,0
GTY,D,20160105,000000,4.97,5.96,4.53,5.15,1671,0
GTY,D,20160107,000000,5.3,5.95,5.3,5.3,1991,0
GTY,D,20160108,000000,5.3,5.3,4.55,4.99,382,0
GTY,D,20160111,000000,5,5.9,4.8,5,1359,0
GTY,D,20160112,000000,5.35,5.66,4.9,5.66,1165,0
GTY,D,20160113,000000,5.56,5.56,5.15,5.15,188,0
GTY,D,20160118,000000,5.25,5.25,5.25,5.25,3,0
GTY,D,20160120,000000,5.25,5.3,5.25,5.3,104,0
GTY,D,20160121,000000,5.4,5.4,5,5,104,0
GTY,D,20160122,000000,5.15,5.15,5.15,5.15,9,0
GTY,D,20160125,000000,5.15,5.79,5.15,5.79,395,0
GTY,D,20160126,000000,5.79,6.87,5.79,6.87,836,0
GTY,D,20160127,000000,8.24,8.55,7.19,7.19,443,0
GTY,D,20160128,000000,6.65,7.94,6.04,7.16,1700,0
GTY,D,20160129,000000,7.87,8.3,7.7,8.3,135,0
GTY,D,20160201,000000,8.43,9.49,7.37,7.99,1266,0
GTY,D,20160202,000000,8,8,7.35,7.35,201,0
GTY,D,20160203,000000,7.55,9.06,7.55,8.28,1852,0
GTY,D,20160204,000000,8.48,8.48,7.5,7.91,106,0
GTY,D,20160205,000000,8,8,7.2,7.2,71,0
GTY,D,20160208,000000,7.25,8.25,7,7.7,405,0
GTY,D,20160209,000000,7.7,9.2,6.61,9.05,2949,0
GTY,D,20160210,000000,9.18,10.86,9.18,10.24,274,0
GTY,D,20160211,000000,10.2,10.24,8.25,8.5,2906,0
GTY,D,20160212,000000,8.2,8.2,7.5,7.5,222,0
