<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HPS,D,20090306,000000,0.544,1.0791,0.42614,0.45337,976107,0
HPS,D,20090309,000000,0.45337,0.48061,0.33553,0.38989,798788,0
HPS,D,20090310,000000,0.40802,0.43526,0.33553,0.37176,1078127,0
HPS,D,20090311,000000,0.38989,0.38989,0.34454,0.36266,305645,0
HPS,D,20090312,000000,0.35365,0.35365,0.30829,0.32642,882699,0
HPS,D,20090313,000000,0.32642,0.32642,0.3174,0.32642,148604,0
HPS,D,20090316,000000,0.32642,0.32642,0.29928,0.3174,233532,0
HPS,D,20090317,000000,0.3174,0.3174,0.27204,0.27204,376356,0
HPS,D,20090318,000000,0.29016,0.29016,0.27204,0.29016,195773,0
HPS,D,20090319,000000,0.28105,0.28105,0.26294,0.27204,102896,0
HPS,D,20090320,000000,0.27204,0.3174,0.26294,0.29928,299863,0
HPS,D,20090323,000000,0.30829,0.34454,0.30829,0.34454,567656,0
HPS,D,20090324,000000,0.35365,0.38088,0.33553,0.36266,566294,0
HPS,D,20090325,000000,0.34454,0.399,0.34454,0.399,361384,0
HPS,D,20090326,000000,0.399,0.544,0.399,0.5077,554611,0
HPS,D,20090327,000000,0.5169,0.662,0.48961,0.526,596252,0
HPS,D,20090330,000000,0.5351,0.553,0.46248,0.46248,467811,0
HPS,D,20090331,000000,0.48961,0.4987,0.45337,0.47149,176070,0
HPS,D,20090401,000000,0.48061,0.48961,0.41713,0.48961,392605,0
HPS,D,20090402,000000,0.48061,0.5712,0.48061,0.526,466981,0
HPS,D,20090403,000000,0.553,0.5985,0.5351,0.5712,480534,0
HPS,D,20090406,000000,0.5712,0.6166,0.544,0.544,346740,0
HPS,D,20090407,000000,0.544,0.553,0.4987,0.526,77133,0
HPS,D,20090408,000000,0.526,0.544,0.48961,0.5351,72325,0
HPS,D,20090409,000000,0.526,0.6166,0.526,0.5985,324458,0
HPS,D,20090414,000000,0.6076,0.6166,0.553,0.5893,110857,0
HPS,D,20090415,000000,0.5985,0.6257,0.5804,0.6076,259437,0
HPS,D,20090416,000000,0.6257,0.6528,0.5985,0.6438,177576,0
HPS,D,20090417,000000,0.6528,0.662,0.6076,0.6346,76497,0
HPS,D,20090420,000000,0.6438,0.6438,0.5985,0.6076,43823,0
HPS,D,20090421,000000,0.6166,0.6166,0.5622,0.5893,136014,0
HPS,D,20090422,000000,0.5985,0.6257,0.5985,0.6076,79262,0
HPS,D,20090423,000000,0.6076,0.6076,0.5893,0.6076,31668,0
HPS,D,20090424,000000,0.6076,0.6166,0.5893,0.6076,126974,0
HPS,D,20090427,000000,0.6076,0.6076,0.5804,0.5985,71651,0
HPS,D,20090428,000000,0.5804,0.5804,0.5712,0.5804,67691,0
HPS,D,20090429,000000,0.5712,0.6257,0.553,0.6166,107400,0
HPS,D,20090430,000000,0.6166,0.6257,0.5804,0.6076,109974,0
HPS,D,20090504,000000,0.6076,0.6166,0.5804,0.5985,53270,0
HPS,D,20090505,000000,0.5893,0.5893,0.5712,0.5804,59829,0
HPS,D,20090506,000000,0.5804,0.5893,0.5622,0.5893,117042,0
HPS,D,20090507,000000,0.5893,0.5893,0.544,0.544,220317,0
HPS,D,20090508,000000,0.544,0.5622,0.5077,0.553,29904,0
HPS,D,20090511,000000,0.5622,0.5622,0.5077,0.526,81595,0
HPS,D,20090512,000000,0.5077,0.5169,0.4987,0.5169,60338,0
HPS,D,20090513,000000,0.5077,0.5077,0.48061,0.48961,64487,0
HPS,D,20090514,000000,0.48961,0.4987,0.47149,0.4987,18747,0
HPS,D,20090515,000000,0.5169,0.5351,0.4987,0.5351,43664,0
HPS,D,20090518,000000,0.5351,0.553,0.5169,0.553,40175,0
HPS,D,20090519,000000,0.544,0.544,0.544,0.544,6824,0
