<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JRH,D,20121128,000000,0.8013,0.8013,0.7376,0.7376,16128,0
JRH,D,20121129,000000,0.6517,0.6517,0.6179,0.6179,10897,0
JRH,D,20121130,000000,0.6198,0.6198,0.49429,0.49429,7872,0
JRH,D,20121203,000000,0.5397,0.5397,0.5397,0.5397,10,0
JRH,D,20121204,000000,0.529,0.5986,0.529,0.5686,11871,0
JRH,D,20121205,000000,0.5667,0.5686,0.49719,0.5599,75502,0
JRH,D,20121206,000000,0.5677,0.5677,0.5677,0.5677,10358,0
JRH,D,20121210,000000,0.5097,0.5097,0.47595,0.47595,6008,0
JRH,D,20121212,000000,0.5097,0.5097,0.5097,0.5097,2072,0
JRH,D,20121213,000000,0.5107,0.5107,0.502,0.502,8079,0
JRH,D,20121214,000000,0.5049,0.5049,0.5049,0.5049,3625,0
JRH,D,20121217,000000,0.5329,0.5609,0.5223,0.5223,10565,0
JRH,D,20121218,000000,0.5261,0.5503,0.5261,0.5358,19608,0
JRH,D,20121219,000000,0.5503,0.5792,0.531,0.5792,4174,0
JRH,D,20121227,000000,0.5648,0.6014,0.5648,0.6014,2973,0
JRH,D,20121228,000000,0.6014,0.6661,0.6014,0.6661,4879,0
JRH,D,20130102,000000,0.6372,0.6372,0.6372,0.6372,2382,0
JRH,D,20130103,000000,0.6121,0.6275,0.6121,0.6275,23306,0
JRH,D,20130104,000000,0.6266,0.6266,0.6266,0.6266,1554,0
JRH,D,20130107,000000,0.6266,0.6266,0.6082,0.6082,4040,0
JRH,D,20130108,000000,0.6082,0.6082,0.6082,0.6082,1450,0
JRH,D,20130110,000000,0.5715,0.5715,0.5696,0.5696,5179,0
JRH,D,20130114,000000,0.5319,0.5319,0.5319,0.5319,621,0
JRH,D,20130115,000000,0.5319,0.5319,0.5319,0.5319,3315,0
JRH,D,20130116,000000,0.5339,0.5339,0.5339,0.5339,2828,0
JRH,D,20130118,000000,0.5706,0.6275,0.5706,0.6275,12958,0
JRH,D,20130121,000000,0.5792,0.5792,0.5792,0.5792,52,0
JRH,D,20130122,000000,0.6111,0.6111,0.6111,0.6111,104,0
JRH,D,20130124,000000,0.5715,0.5715,0.5512,0.5512,8483,0
JRH,D,20130131,000000,0.5986,0.5986,0.5986,0.5986,435,0
JRH,D,20130201,000000,0.5957,0.6275,0.5957,0.6275,7613,0
JRH,D,20130207,000000,0.6082,0.6179,0.6082,0.6179,4174,0
JRH,D,20130214,000000,0.6179,0.6179,0.5455,0.5455,11705,0
JRH,D,20130215,000000,0.5522,0.5522,0.5522,0.5522,31,0
JRH,D,20130218,000000,0.5522,0.5783,0.5348,0.5725,4092,0
JRH,D,20130219,000000,0.5735,0.5957,0.5541,0.5957,5386,0
JRH,D,20130220,000000,0.557,0.6179,0.5319,0.5812,14502,0
JRH,D,20130222,000000,0.5503,0.5879,0.5503,0.5503,3159,0
JRH,D,20130225,000000,0.5792,0.5792,0.5358,0.5358,6008,0
JRH,D,20130226,000000,0.5551,0.5677,0.5551,0.5677,3398,0
JRH,D,20130228,000000,0.531,0.531,0.531,0.531,1036,0
JRH,D,20130301,000000,0.531,0.531,0.531,0.531,1036,0
JRH,D,20130304,000000,0.531,0.531,0.531,0.531,1036,0
JRH,D,20130305,000000,0.531,0.531,0.531,0.531,1036,0
JRH,D,20130306,000000,0.531,0.5532,0.4827,0.5532,16076,0
JRH,D,20130307,000000,0.4827,0.4827,0.4827,0.4827,3107,0
JRH,D,20130308,000000,0.5165,0.5165,0.5165,0.5165,4143,0
JRH,D,20130311,000000,0.4827,0.4827,0.4827,0.4827,3107,0
JRH,D,20130326,000000,0.48174,0.5049,0.4634,0.5049,6857,0
JRH,D,20130403,000000,0.39678,0.39678,0.39678,0.39678,549,0
JRH,D,20130405,000000,0.39678,0.5049,0.39678,0.5049,5863,0
JRH,D,20130411,000000,0.4634,0.49525,0.4634,0.49525,3335,0
JRH,D,20130415,000000,0.5908,0.7086,0.5908,0.6999,1036,0
