<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPC,D,20110812,000000,2.4882,2.5839,2.1055,2.2969,16959,0
KPC,D,20110816,000000,2.2969,2.3925,1.9141,1.9141,2901,0
KPC,D,20110817,000000,1.5312,2.1055,1.5312,1.9141,2898,0
KPC,D,20110818,000000,1.6269,1.9141,1.6269,1.6269,4248,0
KPC,D,20110819,000000,1.5312,1.7226,1.5312,1.7226,424,0
KPC,D,20110822,000000,1.9141,1.9141,1.9141,1.9141,52,0
KPC,D,20110823,000000,1.5312,1.7226,1.5312,1.7226,3363,0
KPC,D,20110824,000000,1.7226,1.7226,1.4355,1.4355,4083,0
KPC,D,20110825,000000,1.5312,1.5312,1.2441,1.2441,919,0
KPC,D,20110826,000000,1.3398,1.5312,1.3398,1.4355,1630,0
KPC,D,20110829,000000,1.2441,1.6269,1.2441,1.6269,7325,0
KPC,D,20110830,000000,1.6269,1.6269,1.4355,1.4355,655,0
KPC,D,20110831,000000,1.3398,1.5312,1.3398,1.5312,16,0
KPC,D,20110901,000000,1.5312,1.5312,1.3398,1.3398,1661,0
KPC,D,20110902,000000,1.5312,1.5312,1.1484,1.1484,1519,0
KPC,D,20110905,000000,1.2441,1.2441,1.2441,1.2441,83,0
KPC,D,20110906,000000,1.2441,1.2441,1.2441,1.2441,334,0
KPC,D,20110907,000000,1.1484,1.2441,1.1484,1.1484,2947,0
KPC,D,20110908,000000,1.2441,1.2441,1.1484,1.1484,735,0
KPC,D,20110909,000000,1.0527,1.5312,1.0527,1.5312,7142,0
KPC,D,20110912,000000,1.4355,1.4355,1.1484,1.2441,1630,0
KPC,D,20110913,000000,1.2441,1.2441,1.2441,1.2441,235,0
KPC,D,20110914,000000,1.2441,1.4355,1.1484,1.4355,114,0
KPC,D,20110915,000000,1.3398,1.3398,1.1484,1.3398,533,0
KPC,D,20110916,000000,1.4355,1.4355,1.4355,1.4355,73,0
KPC,D,20110919,000000,1.4355,1.4355,1.1484,1.2441,1745,0
KPC,D,20110920,000000,1.1484,1.1484,1.0527,1.1484,5361,0
KPC,D,20110921,000000,1.1484,1.1484,1.1484,1.1484,3305,0
KPC,D,20110922,000000,1.0527,1.0527,0.957,1.0527,2409,0
KPC,D,20110923,000000,1.0527,1.0527,1.0527,1.0527,401,0
KPC,D,20110926,000000,1.0527,1.1484,1.0527,1.1484,1131,0
KPC,D,20110927,000000,1.1484,1.2441,1.1484,1.2441,729,0
KPC,D,20110928,000000,1.2441,1.2441,1.2441,1.2441,52,0
KPC,D,20110929,000000,1.2441,1.2441,1.2441,1.2441,10,0
KPC,D,20110930,000000,1.2441,1.2441,1.2441,1.2441,42,0
KPC,D,20111003,000000,1.2441,1.2441,1.1484,1.2441,246,0
KPC,D,20111004,000000,1.2441,1.2441,1.2441,1.2441,21,0
KPC,D,20111005,000000,1.0527,1.1484,1.0527,1.1484,2686,0
KPC,D,20111006,000000,1.1484,1.1484,1.0527,1.0527,2174,0
KPC,D,20111007,000000,1.0527,1.1484,0.957,1.1484,2433,0
KPC,D,20111010,000000,1.1484,1.1484,1.0527,1.0527,1092,0
KPC,D,20111011,000000,1.1484,1.1484,1.0527,1.1484,249,0
KPC,D,20111012,000000,1.1484,1.1484,1.1484,1.1484,36,0
KPC,D,20111013,000000,1.0527,1.1484,1.0527,1.1484,136,0
KPC,D,20111014,000000,1.1484,1.1484,0.957,0.957,1547,0
KPC,D,20111017,000000,1.0527,1.1484,1.0527,1.1484,5789,0
KPC,D,20111018,000000,1.1484,1.1484,0.957,0.957,4779,0
KPC,D,20111019,000000,1.0527,1.2441,1.0527,1.1484,17488,0
KPC,D,20111020,000000,1.1484,1.1484,1.0527,1.1484,14451,0
KPC,D,20111021,000000,1.1484,1.1484,0.957,0.957,9696,0
KPC,D,20111024,000000,0.957,0.957,0.7656,0.8613,42327,0
KPC,D,20111025,000000,0.8613,0.957,0.7656,0.8613,23318,0
KPC,D,20111026,000000,0.8613,0.8613,0.8613,0.8613,859,0
KPC,D,20111027,000000,0.8613,0.8613,0.7656,0.8613,9380,0
KPC,D,20111028,000000,0.7656,0.8613,0.7656,0.8613,4520,0
KPC,D,20111031,000000,0.8613,0.957,0.8613,0.8613,38570,0
KPC,D,20111102,000000,0.8613,0.957,0.8613,0.8613,6641,0
KPC,D,20111103,000000,0.8613,0.8613,0.8613,0.8613,2415,0
