<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCN,D,20110705,000000,0.6668,0.7858,0.5858,0.6382,827369,0
LCN,D,20110706,000000,0.6191,0.8382,0.5477,0.8382,347758,0
LCN,D,20110707,000000,1.0049,1.2049,0.9049,1.0668,160309,0
LCN,D,20110708,000000,1.0478,1.143,0.8382,0.9954,247998,0
LCN,D,20110711,000000,0.8811,1.0525,0.8573,1.0335,132940,0
LCN,D,20110712,000000,0.9049,1.0335,0.9049,0.9049,11056,0
LCN,D,20110713,000000,0.8668,1.3002,0.7953,1.3002,82421,0
LCN,D,20110714,000000,1.5526,1.8478,1.243,1.2478,75535,0
LCN,D,20110715,000000,1.0811,1.2478,0.9573,0.9573,222372,0
LCN,D,20110718,000000,0.9049,1.3764,0.862,1.1049,103945,0
LCN,D,20110719,000000,1.2573,1.2621,1.1049,1.224,36120,0
LCN,D,20110720,000000,1.2192,1.2192,1.0859,1.1335,56541,0
LCN,D,20110721,000000,1.0859,1.6288,0.9763,1.5716,100003,0
LCN,D,20110722,000000,1.5478,1.5478,1.1954,1.1954,70462,0
LCN,D,20110725,000000,1.1049,1.2573,1.0001,1.1382,38036,0
LCN,D,20110726,000000,1.2001,1.3192,1.1906,1.2954,83964,0
LCN,D,20110727,000000,1.3192,1.9288,1.2668,1.905,117570,0
LCN,D,20110728,000000,2.2765,2.7289,1.905,2.4527,43427,0
LCN,D,20110729,000000,2.3765,2.3765,1.905,1.9526,28211,0
LCN,D,20110801,000000,1.9526,2.286,1.905,2.0622,19642,0
LCN,D,20110802,000000,1.905,2.7337,1.9002,2.7099,42366,0
LCN,D,20110803,000000,2.8051,2.8099,2.1717,2.3813,16268,0
LCN,D,20110804,000000,2.3669,2.3669,1.6431,1.6431,50890,0
LCN,D,20110805,000000,1.5716,1.8526,1.3145,1.7478,16781,0
LCN,D,20110808,000000,1.7478,1.8574,1.7478,1.8574,946,0
LCN,D,20110809,000000,1.4859,1.7526,1.4859,1.6573,1855,0
LCN,D,20110810,000000,1.8431,1.9098,1.4621,1.4621,9882,0
LCN,D,20110811,000000,1.4526,1.7431,1.4526,1.7383,2159,0
LCN,D,20110812,000000,1.7383,1.8812,1.4287,1.5431,36206,0
LCN,D,20110816,000000,1.6573,1.6573,1.3335,1.5669,12743,0
LCN,D,20110817,000000,1.3382,1.8574,1.3382,1.6431,22560,0
LCN,D,20110818,000000,1.6335,1.7288,1.4287,1.6907,16287,0
LCN,D,20110819,000000,1.4526,1.4716,1.3669,1.3669,43671,0
LCN,D,20110822,000000,1.3621,1.5764,1.3526,1.4478,116257,0
LCN,D,20110823,000000,1.443,1.5478,1.3526,1.5002,20924,0
LCN,D,20110824,000000,1.4478,1.5431,1.4002,1.5383,12257,0
LCN,D,20110825,000000,1.4287,1.8241,1.3906,1.8241,17262,0
LCN,D,20110826,000000,1.7145,1.8241,1.4621,1.5145,45462,0
LCN,D,20110829,000000,1.4335,1.5002,1.3859,1.4287,4211,0
LCN,D,20110830,000000,1.3906,1.405,1.3097,1.3811,16599,0
LCN,D,20110831,000000,1.3811,1.3811,1.2859,1.3192,5485,0
LCN,D,20110901,000000,1.3573,1.4287,1.3145,1.424,7482,0
LCN,D,20110902,000000,1.424,1.424,1.3954,1.3954,232,0
LCN,D,20110905,000000,1.524,1.524,1.2764,1.2764,12891,0
LCN,D,20110906,000000,1.3097,1.405,1.143,1.3906,2126,0
LCN,D,20110908,000000,1.3811,1.3906,1.143,1.3478,17196,0
LCN,D,20110909,000000,1.1906,1.3573,1.1906,1.3573,10106,0
LCN,D,20110912,000000,1.2049,1.324,1.1906,1.2001,8575,0
LCN,D,20110913,000000,1.3573,1.405,1.1001,1.3716,6999,0
LCN,D,20110914,000000,1.1001,1.2621,1.1001,1.2525,15581,0
LCN,D,20110915,000000,1.1049,1.1049,1.0478,1.0954,43507,0
LCN,D,20110916,000000,1.0478,1.1287,1.0478,1.1287,3012,0
LCN,D,20110919,000000,1.0906,1.0954,1.0478,1.0954,966,0
LCN,D,20110920,000000,1.0096,1.1144,0.9954,1.0239,7137,0
LCN,D,20110921,000000,0.9954,0.9954,0.8239,0.9668,7773,0
LCN,D,20110928,000000,0.9763,1.1573,0.8858,1.0192,16127,0
LCN,D,20110929,000000,0.9763,1.0335,0.9525,0.9525,3254,0
LCN,D,20110930,000000,0.9763,0.9763,0.9763,0.9763,209,0
LCN,D,20111004,000000,0.9668,1.1382,0.8573,0.9525,2099,0
LCN,D,20111005,000000,0.8573,0.9239,0.8573,0.9239,4377,0
LCN,D,20111006,000000,0.9239,0.9239,0.8287,0.9049,1638,0
LCN,D,20111007,000000,0.8287,0.9049,0.8239,0.9049,6991,0
LCN,D,20111013,000000,1.0096,1.0096,1.0096,1.0096,21,0
LCN,D,20111014,000000,0.9335,0.9335,0.9335,0.9335,4,0
LCN,D,20111017,000000,0.7573,0.9335,0.7573,0.9335,443,0
LCN,D,20111018,000000,0.7525,0.9335,0.7525,0.8954,1254,0
LCN,D,20111019,000000,0.7239,0.8858,0.7239,0.8715,2536,0
LCN,D,20111020,000000,0.7382,0.8715,0.7144,0.8715,13016,0
LCN,D,20111021,000000,0.7144,0.9049,0.7144,0.9049,4652,0
LCN,D,20111024,000000,0.7382,0.9049,0.7382,0.9049,1264,0
LCN,D,20111025,000000,0.7429,0.9049,0.7429,0.9049,232,0
LCN,D,20111027,000000,0.8858,1.3002,0.8858,1.0811,84299,0
LCN,D,20111028,000000,1.2811,1.2811,0.8811,1.143,22326,0
LCN,D,20111031,000000,0.9954,0.9954,0.9144,0.9763,7451,0
LCN,D,20111102,000000,0.8239,1.0001,0.8239,1.0001,27,0
LCN,D,20111103,000000,1.0239,1.0239,1.0239,1.0239,4,0
LCN,D,20111104,000000,1.0382,1.1573,0.8573,1.1335,15530,0
LCN,D,20111107,000000,1.1335,1.1335,1.0478,1.0716,1190,0
LCN,D,20111108,000000,1.1192,1.1192,0.9573,1.1144,1055,0
LCN,D,20111109,000000,0.9049,0.9049,0.9001,0.9001,3382,0
LCN,D,20111110,000000,0.9001,0.9096,0.9001,0.9096,1865,0
LCN,D,20111114,000000,1.0144,1.0478,0.8668,0.9525,9316,0
LCN,D,20111115,000000,0.8096,0.9049,0.7668,0.8811,5274,0
LCN,D,20111116,000000,0.8096,0.8477,0.7715,0.8049,1937,0
LCN,D,20111117,000000,0.6763,0.8382,0.6763,0.8382,7022,0
LCN,D,20111118,000000,0.8049,0.8049,0.7668,0.7668,211,0
LCN,D,20111121,000000,0.7525,0.7525,0.6668,0.7477,993,0
LCN,D,20111122,000000,0.7382,0.7573,0.6668,0.7573,2842,0
LCN,D,20111123,000000,0.7573,0.7573,0.7573,0.7573,18,0
LCN,D,20111124,000000,0.7477,0.7477,0.7477,0.7477,21,0
LCN,D,20111125,000000,0.7429,0.7429,0.6668,0.7239,1239,0
LCN,D,20111128,000000,0.7239,0.7239,0.6429,0.7144,8879,0
