<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMD,D,20131128,000000,6.95,10,6.2,7.25,68787,0
MMD,D,20131129,000000,7.24,7.5,6.5,7.2,4478,0
MMD,D,20131202,000000,7,7,5.9,7,3022,0
MMD,D,20131203,000000,6.8,6.98,6.8,6.98,350,0
MMD,D,20131204,000000,6.98,6.98,6.52,6.52,520,0
MMD,D,20131205,000000,6.25,6.9,5.9,6.89,1539,0
MMD,D,20131206,000000,6,7.15,6,7.15,1050,0
MMD,D,20131209,000000,7,7,7,7,140,0
MMD,D,20131210,000000,6.6,6.99,5.9,6.98,1187,0
MMD,D,20131211,000000,6.45,6.88,6.45,6.88,6512,0
MMD,D,20131212,000000,6.85,6.85,6.45,6.45,305,0
MMD,D,20131213,000000,5.9,6.6,5.9,6.6,783,0
MMD,D,20131216,000000,6.6,6.6,6.2,6.2,310,0
MMD,D,20131217,000000,6.25,6.6,6.2,6.6,410,0
MMD,D,20131218,000000,6.6,6.85,5.5,6.84,5639,0
MMD,D,20131219,000000,6.54,6.55,6.1,6.55,489,0
MMD,D,20131220,000000,6.36,6.7,6.14,6.6,824,0
MMD,D,20131223,000000,6.19,6.4,5,6.39,1530,0
MMD,D,20131227,000000,5.4,6.38,5.4,6.38,200,0
MMD,D,20131230,000000,6.3,6.35,6.3,6.35,130,0
MMD,D,20140102,000000,6.34,6.9,6.34,6.9,1735,0
MMD,D,20140103,000000,6.9,6.9,6.42,6.89,1345,0
MMD,D,20140107,000000,6.33,6.9,6.3,6.9,1345,0
MMD,D,20140108,000000,6.33,6.45,6.33,6.45,250,0
MMD,D,20140109,000000,6.45,6.45,6.45,6.45,10,0
MMD,D,20140110,000000,6.44,6.8,6.44,6.75,4253,0
MMD,D,20140113,000000,6.7,6.7,6.35,6.69,114,0
MMD,D,20140114,000000,6.69,6.69,6.69,6.69,3,0
MMD,D,20140115,000000,6.68,6.68,6.33,6.33,243,0
