<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRH,D,20120423,000000,1.2583,1.2858,0.9368,1.0379,102942,0
MRH,D,20120424,000000,1.0379,1.0379,0.7072,0.9184,66132,0
MRH,D,20120425,000000,0.8817,0.9093,0.799,0.8633,23874,0
MRH,D,20120426,000000,0.8725,0.9184,0.799,0.8725,26202,0
MRH,D,20120427,000000,0.845,0.8725,0.8266,0.8266,15902,0
MRH,D,20120430,000000,0.8541,0.8633,0.8541,0.8633,3038,0
MRH,D,20120502,000000,0.8633,0.8633,0.8633,0.8633,1089,0
MRH,D,20120504,000000,0.8541,0.8541,0.8266,0.8541,2394,0
MRH,D,20120507,000000,0.8082,0.8174,0.7531,0.7715,16719,0
MRH,D,20120508,000000,0.7623,0.7623,0.6888,0.698,10358,0
MRH,D,20120509,000000,0.698,0.8174,0.6888,0.7072,8489,0
MRH,D,20120510,000000,0.7072,0.7072,0.698,0.7072,1743,0
MRH,D,20120511,000000,0.698,0.7072,0.6613,0.7072,3084,0
MRH,D,20120514,000000,0.7072,0.845,0.7072,0.8266,16860,0
MRH,D,20120515,000000,0.8174,0.8174,0.7439,0.7807,5194,0
MRH,D,20120516,000000,0.7715,0.8358,0.6429,0.6888,33162,0
MRH,D,20120517,000000,0.6613,0.6888,0.6429,0.6613,6897,0
MRH,D,20120518,000000,0.6429,0.6704,0.6429,0.6704,2167,0
MRH,D,20120521,000000,0.6613,0.6704,0.6613,0.6704,1442,0
MRH,D,20120522,000000,0.6613,0.7439,0.6613,0.7439,9931,0
MRH,D,20120523,000000,0.7072,0.7072,0.698,0.698,6533,0
MRH,D,20120524,000000,0.6704,0.6704,0.6613,0.6613,4355,0
MRH,D,20120525,000000,0.6429,0.6429,0.6429,0.6429,653,0
MRH,D,20120528,000000,0.6704,0.7531,0.6704,0.7072,4927,0
MRH,D,20120529,000000,0.7072,0.7439,0.698,0.7439,4206,0
MRH,D,20120530,000000,0.7072,0.7531,0.7072,0.7531,4595,0
MRH,D,20120531,000000,0.7164,0.7531,0.7072,0.7072,14193,0
