<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTN,D,20201217,000000,1.79,1.84,1.501,1.6,531242,0
MTN,D,20201218,000000,1.59,1.78,1.59,1.7,92788,0
MTN,D,20201221,000000,1.73,2.37,1.73,1.98,188265,0
MTN,D,20201222,000000,2,2,1.755,1.8502,78818,0
MTN,D,20201223,000000,1.9,1.9,1.8,1.9,21193,0
MTN,D,20201228,000000,1.9,1.9,1.55,1.62,73137,0
MTN,D,20201229,000000,1.7,1.7,1.58,1.58,44114,0
MTN,D,20201230,000000,1.59,1.59,1.42,1.49,69377,0
MTN,D,20210104,000000,1.45,1.6848,1.4,1.51,114666,0
MTN,D,20210105,000000,1.63,1.64,1.51,1.62,50320,0
MTN,D,20210107,000000,1.62,1.62,1.4426,1.5378,53250,0
MTN,D,20210108,000000,1.502,1.538,1.485,1.5,16269,0
MTN,D,20210111,000000,1.5,1.6,1.47,1.47,30138,0
MTN,D,20210112,000000,1.5,1.5,1.47,1.47,4927,0
MTN,D,20210113,000000,1.47,1.56,1.47,1.485,5185,0
MTN,D,20210114,000000,1.485,1.54,1.47,1.47,10013,0
MTN,D,20210115,000000,1.46,1.52,1.46,1.49,11523,0
MTN,D,20210118,000000,1.46,1.48,1.44,1.48,12205,0
MTN,D,20210119,000000,1.482,1.58,1.46,1.5,12636,0
MTN,D,20210120,000000,1.54,1.54,1.465,1.49,9296,0
MTN,D,20210121,000000,1.54,1.55,1.465,1.51,5706,0
MTN,D,20210122,000000,1.5,1.5,1.45,1.49,4672,0
MTN,D,20210125,000000,1.48,1.5,1.48,1.49,4655,0
MTN,D,20210126,000000,1.45,1.49,1.45,1.45,7108,0
MTN,D,20210127,000000,1.42,1.42,1.37,1.3998,25990,0
MTN,D,20210128,000000,1.3998,1.5,1.3998,1.5,11716,0
MTN,D,20210129,000000,1.4998,1.4998,1.44,1.44,1600,0
MTN,D,20210201,000000,1.4998,1.55,1.4,1.4,7121,0
MTN,D,20210202,000000,1.4,1.49,1.39,1.45,19750,0
MTN,D,20210203,000000,1.4,1.5,1.4,1.49,56894,0
MTN,D,20210204,000000,1.52,1.97,1.52,1.74,106148,0
MTN,D,20210205,000000,1.74,1.74,1.57,1.6,33495,0
MTN,D,20210208,000000,1.65,1.7,1.54,1.62,25918,0
MTN,D,20210209,000000,1.6,1.696,1.5,1.62,12519,0
MTN,D,20210210,000000,1.63,1.64,1.6,1.6,10284,0
MTN,D,20210211,000000,1.551,1.61,1.5004,1.55,19762,0
MTN,D,20210212,000000,1.5202,1.5202,1.404,1.5094,41049,0
MTN,D,20210215,000000,1.5094,1.51,1.41,1.45,29193,0
MTN,D,20210216,000000,1.52,1.52,1.45,1.509,10787,0
MTN,D,20210217,000000,1.49,1.49,1.4302,1.4898,20333,0
MTN,D,20210218,000000,1.45,1.47,1.44,1.455,5881,0
MTN,D,20210219,000000,1.456,1.4978,1.4104,1.4958,10795,0
MTN,D,20210222,000000,1.496,1.496,1.495,1.4952,2550,0
MTN,D,20210223,000000,1.498,1.498,1.41,1.47,17019,0
MTN,D,20210224,000000,1.47,1.47,1.42,1.458,1957,0
MTN,D,20210225,000000,1.45,1.47,1.415,1.416,11230,0
MTN,D,20210226,000000,1.417,1.4898,1.4,1.4884,28256,0
MTN,D,20210301,000000,1.4898,1.4898,1.4052,1.4894,9638,0
MTN,D,20210302,000000,1.4994,1.4994,1.44,1.4994,10543,0
MTN,D,20210303,000000,1.455,1.558,1.45,1.5398,9644,0
MTN,D,20210304,000000,1.5,1.7,1.5,1.6,34620,0
MTN,D,20210305,000000,1.55,1.63,1.45,1.5222,14894,0
MTN,D,20210308,000000,1.53,1.6,1.5,1.6,9429,0
MTN,D,20210309,000000,1.6,1.64,1.5518,1.5518,4814,0
MTN,D,20210310,000000,1.55,1.55,1.45,1.545,20608,0
MTN,D,20210311,000000,1.5498,1.5498,1.46,1.46,13287,0
MTN,D,20210312,000000,1.46,1.4998,1.4,1.4998,32625,0
MTN,D,20210315,000000,1.4994,1.4994,1.4202,1.4888,14048,0
MTN,D,20210316,000000,1.4884,1.52,1.42,1.4958,36068,0
MTN,D,20210317,000000,1.4312,1.5,1.431,1.48,11112,0
MTN,D,20210318,000000,1.485,1.485,1.485,1.485,201,0
MTN,D,20210319,000000,1.455,1.4848,1.43,1.4838,9695,0
MTN,D,20210322,000000,1.4838,1.485,1.4,1.45,16083,0
MTN,D,20210323,000000,1.485,1.485,1.4116,1.42,11038,0
MTN,D,20210324,000000,1.48,1.48,1.4116,1.4796,13827,0
MTN,D,20210325,000000,1.42,1.477,1.4,1.477,14327,0
MTN,D,20210326,000000,1.421,1.4778,1.42,1.42,16000,0
MTN,D,20210329,000000,1.42,1.4774,1.42,1.4774,4252,0
MTN,D,20210330,000000,1.415,1.4772,1.398,1.4,23763,0
MTN,D,20210331,000000,1.4,1.4,1.369,1.4,27477,0
MTN,D,20210401,000000,1.448,1.448,1.4,1.41,8676,0
MTN,D,20210406,000000,1.448,1.57,1.42,1.55,43803,0
MTN,D,20210407,000000,1.58,1.58,1.45,1.52,23685,0
MTN,D,20210408,000000,1.52,1.55,1.52,1.52,4129,0
MTN,D,20210409,000000,1.52,1.58,1.512,1.58,13074,0
MTN,D,20210412,000000,1.588,1.59,1.52,1.55,13118,0
MTN,D,20210413,000000,1.55,1.576,1.544,1.57,8286,0
MTN,D,20210414,000000,1.55,1.85,1.55,1.828,115434,0
MTN,D,20210415,000000,1.8,1.848,1.71,1.75,44987,0
MTN,D,20210416,000000,1.75,1.8,1.75,1.8,6707,0
MTN,D,20210419,000000,1.846,1.88,1.79,1.876,36086,0
MTN,D,20210420,000000,1.878,1.94,1.85,1.9,18105,0
MTN,D,20210421,000000,1.9,2.2,1.9,1.99,49075,0
MTN,D,20210422,000000,1.994,2,1.9,1.92,12508,0
MTN,D,20210423,000000,1.9,1.9,1.834,1.89,8324,0
MTN,D,20210426,000000,1.92,2.19,1.91,2.1,55329,0
MTN,D,20210427,000000,2.1,2.1,2.03,2.085,7802,0
MTN,D,20210428,000000,2.065,2.07,1.96,2.07,18330,0
MTN,D,20210429,000000,2.07,2.1,1.95,2.09,14232,0
MTN,D,20210430,000000,2.095,2.095,1.95,2.04,11068,0
MTN,D,20210504,000000,2.015,2.015,1.91,1.95,9948,0
MTN,D,20210505,000000,1.93,2,1.9,1.97,11873,0
MTN,D,20210506,000000,1.904,1.98,1.892,1.98,11512,0
MTN,D,20210507,000000,1.98,1.98,1.72,1.85,9703,0
MTN,D,20210510,000000,1.84,1.84,1.77,1.8,6839,0
MTN,D,20210511,000000,1.8,1.8,1.7,1.74,20150,0
MTN,D,20210512,000000,1.7,1.7,1.65,1.7,15144,0
MTN,D,20210513,000000,1.7,1.85,1.64,1.77,10628,0
MTN,D,20210514,000000,1.69,1.75,1.69,1.7,9801,0
MTN,D,20210517,000000,1.65,1.65,1.65,1.65,14978,0
MTN,D,20210518,000000,1.65,1.978,1.638,1.86,30106,0
