<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTV,D,20120514,000000,10.066,12.079,8.0529,8.6656,15519,0
NTV,D,20120515,000000,9.3658,9.3658,6.0397,6.4773,2580,0
NTV,D,20120516,000000,5.2519,6.2147,4.2015,4.2015,19700,0
NTV,D,20120517,000000,4.2015,4.8142,3.3262,3.3262,29416,0
NTV,D,20120518,000000,3.5888,4.2015,2.8885,3.1511,7661,0
NTV,D,20120521,000000,3.1511,3.6763,2.7135,3.6763,4504,0
NTV,D,20120522,000000,3.6763,3.8514,2.4509,2.801,29219,0
NTV,D,20120523,000000,2.9761,3.9389,2.8885,3.9389,13010,0
NTV,D,20120524,000000,4.7267,5.602,4.7267,5.602,10691,0
NTV,D,20120525,000000,6.6524,7.9653,6.6524,7.9653,10058,0
NTV,D,20120528,000000,9.541,10.941,7.0025,8.7531,22116,0
NTV,D,20120529,000000,8.0529,9.628,7.4401,7.4401,11196,0
NTV,D,20120530,000000,7.4401,7.9653,7.0025,7.3526,3059,0
NTV,D,20120531,000000,7.4401,10.066,7.4401,8.0529,8333,0
NTV,D,20120601,000000,8.0529,9.0157,8.0529,8.7531,1942,0
NTV,D,20120604,000000,9.2783,9.2783,7.8778,8.403,1816,0
NTV,D,20120605,000000,8.5781,9.541,7.8778,8.8406,24097,0
NTV,D,20120606,000000,8.6656,8.8406,8.4905,8.5781,1236,0
NTV,D,20120608,000000,8.8406,8.8406,7.4401,8.2279,2317,0
NTV,D,20120611,000000,8.2279,11.729,7.8778,9.3658,11299,0
NTV,D,20120612,000000,9.3658,10.066,8.403,9.541,907,0
NTV,D,20120613,000000,9.541,11.204,8.8406,9.1908,5212,0
NTV,D,20120614,000000,9.4534,9.891,9.2783,9.803,603,0
NTV,D,20120615,000000,9.803,9.803,8.3155,8.403,2934,0
NTV,D,20120618,000000,8.3155,8.403,7.8778,8.2279,889,0
NTV,D,20120619,000000,8.7531,8.7531,7.8778,8.5781,238,0
NTV,D,20120620,000000,7.8778,8.5781,7.8778,8.403,238,0
NTV,D,20120621,000000,8.403,8.5781,7.9653,7.9653,183,0
NTV,D,20120622,000000,7.9653,8.5781,7.9653,8.5781,539,0
NTV,D,20120625,000000,8.5781,8.5781,8.5781,8.5781,11,0
NTV,D,20120626,000000,8.403,8.403,7.6152,8.1404,356,0
NTV,D,20120627,000000,8.2279,8.3155,7.09,8.3155,464,0
NTV,D,20120628,000000,8.3155,8.3155,7.8778,7.8778,57,0
NTV,D,20120629,000000,8.0529,8.0529,8.0529,8.0529,11,0
NTV,D,20120702,000000,7.7027,8.0529,6.8274,8.0529,839,0
NTV,D,20120703,000000,8.0529,8.7531,7.9653,8.0529,1218,0
NTV,D,20120704,000000,8.3155,9.628,8.3155,9.628,2445,0
NTV,D,20120705,000000,9.628,11.554,8.8406,11.554,4462,0
