<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDS,D,20190926,000000,2.388,2.39,2,2.05,393982,0
RDS,D,20190927,000000,2.0195,2.0195,1.75,1.79,130490,0
RDS,D,20190930,000000,1.85,1.85,1.348,1.47,133124,0
RDS,D,20191001,000000,1.46,1.61,1.241,1.57,108222,0
RDS,D,20191002,000000,1.57,1.57,1.37,1.5496,49600,0
RDS,D,20191003,000000,1.5,1.58,1.39,1.439,36372,0
RDS,D,20191004,000000,1.499,1.499,1.34,1.45,12871,0
RDS,D,20191007,000000,1.51,1.5298,1.48,1.51,26272,0
RDS,D,20191008,000000,1.54,1.55,1.3,1.47,23749,0
RDS,D,20191009,000000,1.44,1.44,1.36,1.4,18131,0
RDS,D,20191010,000000,1.43,1.4418,1.21,1.378,30144,0
RDS,D,20191011,000000,1.31,1.3298,1.25,1.3,28823,0
RDS,D,20191014,000000,1.245,1.41,1.24,1.35,27641,0
RDS,D,20191015,000000,1.398,1.398,1.2602,1.3596,9921,0
RDS,D,20191016,000000,1.35,1.35,1.25,1.35,17808,0
RDS,D,20191017,000000,1.31,1.34,1.18,1.25,32359,0
RDS,D,20191018,000000,1.25,1.29,1.15,1.22,21228,0
RDS,D,20191021,000000,1.21,1.21,1.1002,1.14,7833,0
RDS,D,20191022,000000,1.1,1.184,1.1,1.13,10780,0
RDS,D,20191023,000000,1.1788,1.19,1.13,1.16,5550,0
RDS,D,20191024,000000,1.18,1.25,1.16,1.199,3476,0
RDS,D,20191025,000000,1.22,1.248,1.1,1.1,7029,0
RDS,D,20191028,000000,1.1,1.19,1.1,1.18,3452,0
RDS,D,20191029,000000,1.2,1.2,1.021,1.021,9292,0
RDS,D,20191030,000000,1.02,1.18,1,1.148,16814,0
RDS,D,20191031,000000,1.19,1.19,1.01,1.16,20594,0
RDS,D,20191104,000000,1.14,1.14,1.021,1.06,14043,0
RDS,D,20191105,000000,1.05,1.12,1.021,1.064,19869,0
RDS,D,20191106,000000,1.064,1.064,1.03,1.05,7471,0
RDS,D,20191107,000000,1.04,1.121,1.01,1.081,20331,0
RDS,D,20191108,000000,1.081,1.081,1.02,1.06,2780,0
RDS,D,20191112,000000,1.07,1.081,1.004,1.06,2400,0
RDS,D,20191113,000000,1.06,1.074,0.98,1.05,21102,0
RDS,D,20191114,000000,1.07,1.07,1,1.04,10456,0
RDS,D,20191115,000000,1,1.022,0.93,1.021,20509,0
RDS,D,20191118,000000,1.034,1.035,1.034,1.035,860,0
RDS,D,20191119,000000,1.0388,1.06,1,1.04,9111,0
RDS,D,20191120,000000,1.05,1.05,0.99,1.05,20287,0
RDS,D,20191121,000000,1.06,1.06,0.99,1,8598,0
RDS,D,20191122,000000,1,1,0.96,1,1584,0
RDS,D,20191125,000000,1.07,1.076,1.061,1.073,4742,0
RDS,D,20191126,000000,1.07,1.07,1.07,1.07,510,0
RDS,D,20191127,000000,1.07,1.07,1.06,1.06,3052,0
RDS,D,20191128,000000,1.06,1.08,0.992,1.079,12176,0
RDS,D,20191129,000000,1.08,1.08,1.01,1.08,1445,0
RDS,D,20191202,000000,1.02,1.0798,1.02,1.074,1215,0
RDS,D,20191203,000000,1.05,1.05,0.992,1.05,5543,0
