<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YBS,D,20110701,000000,2.0565,2.4679,2.0565,2.4392,37913,0
YBS,D,20110704,000000,2.9078,3.5869,2.5348,3.5869,26436,0
YBS,D,20110705,000000,3.6348,4.1131,2.9365,2.9461,21201,0
YBS,D,20110706,000000,2.9461,3.147,2.1617,2.3914,17967,0
YBS,D,20110707,000000,2.5444,2.7644,2.0374,2.1044,14778,0
YBS,D,20110708,000000,2.0757,2.4966,2.0565,2.4487,12342,0
YBS,D,20110711,000000,2.3434,2.5348,1.387,1.387,34470,0
YBS,D,20110712,000000,1.5591,1.5687,0.9947,0.9947,140896,0
YBS,D,20110713,000000,1.014,1.0618,0.813,0.8704,46157,0
YBS,D,20110714,000000,0.8513,0.9087,0.8513,0.9087,2747,0
YBS,D,20110715,000000,0.7748,0.8895,0.7748,0.7748,23380,0
YBS,D,20110718,000000,0.7365,0.813,0.6887,0.8035,27405,0
YBS,D,20110719,000000,0.8035,0.8035,0.6696,0.6791,7423,0
YBS,D,20110720,000000,0.727,0.7939,0.6887,0.7843,2757,0
YBS,D,20110721,000000,0.7843,0.8035,0.7556,0.8035,6382,0
YBS,D,20110722,000000,0.8226,0.8226,0.7843,0.8035,9999,0
YBS,D,20110725,000000,0.8322,0.8322,0.6791,0.7556,57759,0
YBS,D,20110726,000000,0.6791,0.7365,0.6313,0.7365,5809,0
YBS,D,20110727,000000,0.7365,0.7652,0.6409,0.7652,9733,0
YBS,D,20110729,000000,0.7652,0.7652,0.7652,0.7652,1046,0
YBS,D,20110801,000000,0.6696,0.7748,0.66,0.727,19361,0
YBS,D,20110802,000000,0.727,0.727,0.727,0.727,53,0
YBS,D,20110805,000000,0.6791,0.6791,0.6791,0.6791,3136,0
YBS,D,20110810,000000,0.47827,0.6218,0.47827,0.49737,74300,0
YBS,D,20110811,000000,0.49737,0.5835,0.46867,0.5739,80561,0
YBS,D,20110812,000000,0.5739,0.6887,0.5739,0.6887,8676,0
YBS,D,20110816,000000,0.7078,0.8226,0.7078,0.8226,4457,0
YBS,D,20110817,000000,0.8417,0.8608,0.7652,0.8322,41191,0
YBS,D,20110818,000000,0.7174,0.813,0.7078,0.813,2101,0
YBS,D,20110819,000000,0.8035,0.8035,0.8035,0.8035,10,0
YBS,D,20110823,000000,0.813,0.8322,0.813,0.8226,2356,0
YBS,D,20110824,000000,0.7652,0.813,0.7652,0.813,42342,0
YBS,D,20110829,000000,0.8035,0.8035,0.6218,0.7652,2040,0
YBS,D,20110830,000000,0.7652,0.8035,0.7652,0.8035,1046,0
YBS,D,20110914,000000,0.7652,0.8035,0.7652,0.8035,5227,0
YBS,D,20110916,000000,0.6696,0.8035,0.6696,0.8035,941,0
YBS,D,20110919,000000,0.8035,0.8608,0.8035,0.8608,571,0
YBS,D,20110920,000000,0.8608,0.8608,0.8608,0.8608,1046,0
YBS,D,20110922,000000,0.8417,0.8417,0.8417,0.8417,16,0
YBS,D,20110928,000000,0.8513,0.8991,0.813,0.8991,11163,0
YBS,D,20110929,000000,0.813,0.9374,0.813,0.9182,14982,0
YBS,D,20110930,000000,0.9182,1.0044,0.8417,0.9278,35057,0
YBS,D,20111003,000000,0.9278,1.0044,0.9278,1.0044,7951,0
YBS,D,20111004,000000,0.9947,1.0044,0.9947,1.0044,522,0
YBS,D,20111005,000000,0.9756,1.0044,0.9756,1.0044,24149,0
YBS,D,20111006,000000,1.0235,1.0235,1.0235,1.0235,104,0
YBS,D,20111017,000000,0.8608,1.0235,0.8608,1.0235,2830,0
YBS,D,20111018,000000,0.8608,0.9947,0.8608,0.9947,7371,0
YBS,D,20111019,000000,0.9852,1.0044,0.9852,1.0044,17,0
YBS,D,20111020,000000,0.8608,1.0044,0.8608,1.0044,3189,0
YBS,D,20111024,000000,0.8322,0.9947,0.8322,0.9947,2471,0
YBS,D,20111025,000000,0.9947,0.9947,0.9947,0.9947,104,0
YBS,D,20111027,000000,0.813,0.9947,0.813,0.9947,4705,0
YBS,D,20111031,000000,1.0235,1.0235,1.0235,1.0235,1,0
YBS,D,20111104,000000,1.0235,1.0235,1.0235,1.0235,16,0
YBS,D,20111107,000000,0.8608,1.0044,0.8608,1.0044,811,0
YBS,D,20111109,000000,0.9565,1.0235,0.9469,1.0235,3142,0
YBS,D,20111110,000000,0.9565,0.9565,0.9565,0.9565,25,0
YBS,D,20111116,000000,0.9565,1.0235,0.9565,1.0235,3659,0
YBS,D,20111117,000000,1.0235,1.1479,1.0235,1.1479,1501,0
YBS,D,20111118,000000,1.1479,1.1861,1.1479,1.1861,210,0
YBS,D,20111121,000000,0.9565,1.1861,0.9565,1.1861,104,0
YBS,D,20111122,000000,1.1766,1.1766,1.1766,1.1766,10,0
YBS,D,20111123,000000,1.167,1.167,1.167,1.167,10,0
YBS,D,20111124,000000,0.9565,1.167,0.9565,1.167,6377,0
YBS,D,20111201,000000,1.1383,1.167,1.1383,1.167,1255,0
YBS,D,20111202,000000,1.167,1.167,1.167,1.167,16,0
YBS,D,20111206,000000,1.1479,1.167,1.1479,1.167,1202,0
YBS,D,20111207,000000,1.1479,1.1479,1.1479,1.1479,157,0
YBS,D,20111208,000000,1.167,1.167,1.167,1.167,104,0
YBS,D,20111212,000000,1.1861,1.1861,1.1861,1.1861,1,0
YBS,D,20111215,000000,1.1574,1.1861,1.1574,1.1861,413,0
YBS,D,20111227,000000,1.167,1.167,1.167,1.167,10,0
YBS,D,20111230,000000,1.1878,1.1878,1.1878,1.1878,214,0
YBS,D,20120102,000000,1.1957,1.2052,1.1957,1.2052,3340,0
YBS,D,20120103,000000,1.387,1.387,1.3487,1.387,273,0
YBS,D,20120104,000000,1.387,1.387,1.1957,1.387,10012,0
YBS,D,20120105,000000,1.4348,1.4348,1.4348,1.4348,1,0
YBS,D,20120111,000000,0.9661,1.3391,0.9661,1.1383,6610,0
YBS,D,20120112,000000,1.1383,1.1383,0.9182,1.1192,8051,0
YBS,D,20120113,000000,1.1383,1.1383,1.1383,1.1383,1,0
YBS,D,20120120,000000,0.9565,1.1383,0.9565,1.1383,627,0
YBS,D,20120124,000000,0.9565,1.32,0.9565,1.32,3040,0
YBS,D,20120125,000000,1.2818,1.2818,1.2818,1.2818,5,0
YBS,D,20120126,000000,0.9756,0.9756,0.9756,0.9756,2823,0
YBS,D,20120127,000000,1.2339,1.2435,0.9565,1.2339,13737,0
YBS,D,20120201,000000,1.1,1.1096,1.1,1.1096,1678,0
YBS,D,20120202,000000,1.1096,1.1096,1.1096,1.1096,10,0
YBS,D,20120203,000000,1.1096,1.3296,1.0809,1.32,4064,0
YBS,D,20120206,000000,1.3965,1.3965,1.3583,1.3583,11,0
YBS,D,20120207,000000,1.0905,1.3678,1.0905,1.3678,2353,0
YBS,D,20120213,000000,1.2148,1.2148,1.2148,1.2148,10,0
YBS,D,20120215,000000,1.3678,1.3678,1.3678,1.3678,1,0
YBS,D,20120216,000000,1.2818,1.2818,1.2818,1.2818,16,0
YBS,D,20120217,000000,1.2818,1.2818,1.2818,1.2818,104,0
YBS,D,20120220,000000,1.2818,1.2818,1.0331,1.2339,6483,0
YBS,D,20120221,000000,1.2722,1.2722,1.2722,1.2722,1,0
YBS,D,20120222,000000,1.0427,1.2339,1.0427,1.2339,1100,0
YBS,D,20120223,000000,1.2339,1.2435,1.1,1.2435,755,0
YBS,D,20120224,000000,1.2244,1.2244,1.0044,1.2244,1214,0
YBS,D,20120227,000000,1.0522,1.2244,1.0522,1.2244,263,0
YBS,D,20120229,000000,1.2274,1.2274,1.2274,1.2274,104,0
YBS,D,20120307,000000,1.0522,1.1479,1.0522,1.1479,94,0
YBS,D,20120308,000000,1.1957,1.1957,1.1957,1.1957,1,0
YBS,D,20120309,000000,1.1574,1.1574,1.1574,1.1574,11,0
YBS,D,20120313,000000,1.0522,1.1287,0.9565,1.1287,10462,0
YBS,D,20120314,000000,1.2435,1.3391,1.1383,1.2913,5553,0
YBS,D,20120315,000000,1.3391,1.3391,1.3391,1.3391,31,0
YBS,D,20120316,000000,1.3678,1.3965,1.3678,1.3965,113,0
YBS,D,20120320,000000,1.2435,1.6739,1.2435,1.6739,2214,0
YBS,D,20120327,000000,1.3391,1.8748,1.3391,1.8557,3681,0
YBS,D,20120329,000000,1.387,1.473,1.387,1.473,11,0
YBS,D,20120330,000000,1.455,1.455,1.455,1.455,5,0
YBS,D,20120402,000000,1.167,1.4539,1.167,1.4539,733,0
YBS,D,20120410,000000,1.2626,1.4635,1.167,1.4635,3677,0
YBS,D,20120412,000000,1.2913,1.4635,1.2913,1.4635,1099,0
YBS,D,20120413,000000,1.3391,1.4348,1.3391,1.4348,419,0
YBS,D,20120418,000000,1.4348,1.4826,1.3774,1.4826,9096,0
YBS,D,20120424,000000,1.2722,1.4348,1.2722,1.4348,1935,0
YBS,D,20120502,000000,1.1479,1.1479,1.1479,1.1479,1034,0
YBS,D,20120508,000000,1.0522,1.0522,1.0522,1.0522,2383,0
YBS,D,20120509,000000,1.2052,1.2626,1.2052,1.2052,4172,0
YBS,D,20120511,000000,1.1,1.2052,0.9947,1.1957,5748,0
YBS,D,20120514,000000,1.1957,1.1957,1.1957,1.1957,1,0
YBS,D,20120516,000000,1.2052,1.4252,1.2052,1.4252,3315,0
YBS,D,20120517,000000,1.2052,1.4348,1.2052,1.4348,1598,0
YBS,D,20120521,000000,1.2052,1.2052,1.1383,1.2052,4338,0
YBS,D,20120524,000000,1.2339,1.2339,1.2339,1.2339,1,0
YBS,D,20120601,000000,1.1479,1.1479,1.1479,1.1479,1,0
YBS,D,20120605,000000,0.9898,1.1383,0.9898,1.1383,2552,0
YBS,D,20120608,000000,0.9182,1.1,0.9182,1.1,126,0
YBS,D,20120611,000000,1.1574,1.1574,0.9565,1.1479,1879,0
YBS,D,20120614,000000,0.9182,1.1479,0.9182,1.1479,2523,0
YBS,D,20120615,000000,0.9205,1.0987,0.9007,1.0888,13276,0
YBS,D,20120619,000000,1.1383,1.1383,1.1383,1.1383,1,0
YBS,D,20120622,000000,1.1383,1.1383,1.1383,1.1383,1,0
YBS,D,20120705,000000,1.2175,1.2175,1.2175,1.2175,2,0
YBS,D,20120706,000000,1.455,1.455,1.455,1.455,1,0
