<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH1125.PL,D,20220509,000000,100,100,100,100,7,0
ECH1125.PL,D,20220510,000000,100,100,100,100,2,0
ECH1125.PL,D,20220511,000000,100,100,100,100,4,0
ECH1125.PL,D,20220512,000000,100,100,100,100,13,0
ECH1125.PL,D,20220513,000000,100,100,100,100,3,0
ECH1125.PL,D,20220517,000000,100,100,100,100,11,0
ECH1125.PL,D,20220518,000000,100,100,100,100,6,0
ECH1125.PL,D,20220520,000000,100,100,100,100,8,0
ECH1125.PL,D,20220523,000000,100,100,100,100,1,0
ECH1125.PL,D,20220524,000000,100,100,100,100,8,0
ECH1125.PL,D,20220525,000000,100,100,100,100,11,0
ECH1125.PL,D,20220526,000000,100,100,100,100,10,0
ECH1125.PL,D,20220527,000000,100,100,100,100,6,0
ECH1125.PL,D,20220530,000000,100,100,100,100,15,0
ECH1125.PL,D,20220531,000000,100,100,100,100,10,0
ECH1125.PL,D,20220601,000000,100,100,100,100,4,0
ECH1125.PL,D,20220603,000000,99.95,99.95,99.95,99.95,8,0
ECH1125.PL,D,20220606,000000,99.95,99.95,99.95,99.95,5,0
ECH1125.PL,D,20220607,000000,99.95,99.95,99.95,99.95,5,0
ECH1125.PL,D,20220608,000000,99.95,99.95,99.95,99.95,10,0
ECH1125.PL,D,20220609,000000,99.95,99.95,99.95,99.95,1,0
ECH1125.PL,D,20220610,000000,99.95,99.95,99.95,99.95,1,0
ECH1125.PL,D,20220613,000000,99.95,99.95,99.95,99.95,2,0
ECH1125.PL,D,20220620,000000,99.95,99.95,99.95,99.95,1,0
ECH1125.PL,D,20220621,000000,100,100,99.99,99.99,2,0
ECH1125.PL,D,20220622,000000,100,100,100,100,11,0
ECH1125.PL,D,20220623,000000,100,100,100,100,1,0
ECH1125.PL,D,20220624,000000,99.9,99.9,99.9,99.9,1,0
ECH1125.PL,D,20220627,000000,99.9,99.9,99.9,99.9,2,0
ECH1125.PL,D,20220628,000000,99.9,99.9,99.9,99.9,10,0
ECH1125.PL,D,20220629,000000,99.9,99.9,99.9,99.9,3,0
ECH1125.PL,D,20220630,000000,99.9,99.9,99.9,99.9,2,0
ECH1125.PL,D,20220706,000000,99.99,99.99,99.99,99.99,3,0
ECH1125.PL,D,20220711,000000,99.3,99.3,99.3,99.3,1,0
ECH1125.PL,D,20220712,000000,99.3,99.3,99.3,99.3,1,0
ECH1125.PL,D,20220718,000000,99.7,99.7,99.7,99.7,1,0
ECH1125.PL,D,20220725,000000,99.7,99.7,99.7,99.7,5,0
ECH1125.PL,D,20220728,000000,99.69,99.69,99.69,99.69,2,0
ECH1125.PL,D,20220804,000000,99.69,99.7,99.69,99.7,2,0
ECH1125.PL,D,20220816,000000,99.7,99.7,99.7,99.7,2,0
ECH1125.PL,D,20220817,000000,99.7,99.7,99.7,99.7,1,0
ECH1125.PL,D,20220825,000000,99.5,99.5,99.2,99.2,3,0
ECH1125.PL,D,20220901,000000,99.2,99.2,99.2,99.2,9,0
ECH1125.PL,D,20220902,000000,99.2,99.2,99.2,99.2,3,0
ECH1125.PL,D,20220905,000000,99.2,99.2,99.2,99.2,8,0
