<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMF1126.PL,D,20211229,000000,102,102,102,102,5,0
FMF1126.PL,D,20220103,000000,102.2,102.2,102.2,102.2,3,0
FMF1126.PL,D,20220117,000000,102.2,102.2,102.2,102.2,3,0
FMF1126.PL,D,20220209,000000,102.2,102.2,102.2,102.2,5,0
FMF1126.PL,D,20220419,000000,101,101.5,101,101.5,10,0
FMF1126.PL,D,20220429,000000,102,102,102,102,10,0
FMF1126.PL,D,20220512,000000,102,102,102,102,10,0
FMF1126.PL,D,20220517,000000,102.75,102.75,102,102,20,0
FMF1126.PL,D,20220608,000000,102.1,102.1,102.1,102.1,3,0
FMF1126.PL,D,20220620,000000,100,100,100,100,10,0
FMF1126.PL,D,20220622,000000,100.5,100.5,100.5,100.5,10,0
FMF1126.PL,D,20220712,000000,100.5,100.5,100.5,100.5,10,0
FMF1126.PL,D,20220720,000000,99.5,99.5,99.5,99.5,10,0
FMF1126.PL,D,20220722,000000,100,100,100,100,7,0
FMF1126.PL,D,20220725,000000,100.2,100.2,100.2,100.2,5,0
FMF1126.PL,D,20220726,000000,100.5,100.5,100.5,100.5,5,0
FMF1126.PL,D,20220811,000000,100.5,100.5,100.5,100.5,11,0
FMF1126.PL,D,20220902,000000,101,101,101,101,5,0
