<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNB0423.PL,D,20180112,000000,100,100,100,100,1,0
GNB0423.PL,D,20180126,000000,97.5,97.5,97.5,97.5,3,0
GNB0423.PL,D,20180202,000000,96.5,96.5,96.5,96.5,30,0
GNB0423.PL,D,20180205,000000,96.5,96.5,96.5,96.5,30,0
GNB0423.PL,D,20180206,000000,97,97,97,97,5,0
GNB0423.PL,D,20180208,000000,97.3,97.3,97.3,97.3,2,0
GNB0423.PL,D,20180209,000000,96.5,96.5,96.5,96.5,2,0
GNB0423.PL,D,20180215,000000,95,95,95,95,43,0
GNB0423.PL,D,20180221,000000,95,95,95,95,2,0
GNB0423.PL,D,20180226,000000,96.5,96.5,96.5,96.5,40,0
GNB0423.PL,D,20180227,000000,97.99,98,97.99,98,32,0
GNB0423.PL,D,20180228,000000,98.5,98.5,98.5,98.5,2,0
GNB0423.PL,D,20180305,000000,99.5,99.5,99.5,99.5,2,0
GNB0423.PL,D,20180307,000000,99.5,99.5,99.5,99.5,2,0
GNB0423.PL,D,20180316,000000,98,98,98,98,18,0
GNB0423.PL,D,20180327,000000,97.61,97.61,97.61,97.61,18,0
GNB0423.PL,D,20180404,000000,99,99,99,99,6,0
GNB0423.PL,D,20180406,000000,100,100,100,100,2,0
GNB0423.PL,D,20180423,000000,98,98,98,98,32,0
GNB0423.PL,D,20180528,000000,94.9,94.9,94.9,94.9,10,0
GNB0423.PL,D,20180626,000000,94.99,95.5,94.99,95.5,18,0
GNB0423.PL,D,20180705,000000,93,93,93,93,2,0
GNB0423.PL,D,20180716,000000,89.9,89.9,89.9,89.9,10,0
GNB0423.PL,D,20180723,000000,89.9,89.9,89.9,89.9,10,0
GNB0423.PL,D,20180802,000000,92,92,92,92,5,0
GNB0423.PL,D,20180820,000000,91.5,91.5,91.5,91.5,2,0
GNB0423.PL,D,20180827,000000,89,89,89,89,42,0
GNB0423.PL,D,20180829,000000,89,89,89,89,16,0
GNB0423.PL,D,20180903,000000,89.8,89.8,89.8,89.8,2,0
GNB0423.PL,D,20180905,000000,89.8,90,89.8,90,31,0
GNB0423.PL,D,20180914,000000,88,88,88,88,20,0
GNB0423.PL,D,20180919,000000,88.9,90,88.9,90,28,0
GNB0423.PL,D,20180925,000000,90.5,90.5,90.5,90.5,12,0
GNB0423.PL,D,20180926,000000,90.97,91,90.97,91,6,0
GNB0423.PL,D,20180927,000000,90.5,90.5,90.5,90.5,1,0
GNB0423.PL,D,20181001,000000,88,88,88,88,15,0
GNB0423.PL,D,20181012,000000,85,85,85,85,4,0
GNB0423.PL,D,20181019,000000,84,84,84,84,1,0
GNB0423.PL,D,20181105,000000,85,85,85,85,18,0
GNB0423.PL,D,20181114,000000,60.5,65,60.01,64,111,0
GNB0423.PL,D,20181115,000000,61,65,61,65,6,0
GNB0423.PL,D,20181116,000000,62.5,62.5,55,55,25,0
