<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNO1123.PL,D,20171227,000000,90.5,90.5,90.5,90.5,60,0
GNO1123.PL,D,20171228,000000,92.23,92.23,92.23,92.23,2,0
GNO1123.PL,D,20171229,000000,94.48,94.48,94.48,94.48,1,0
GNO1123.PL,D,20180123,000000,94.49,94.49,94.49,94.49,2,0
GNO1123.PL,D,20180202,000000,94.3,94.3,94.3,94.3,25,0
GNO1123.PL,D,20180226,000000,96.5,96.5,96.5,96.5,2,0
GNO1123.PL,D,20180227,000000,96.5,96.5,96.5,96.5,5,0
GNO1123.PL,D,20180301,000000,98,99,98,99,60,0
GNO1123.PL,D,20180306,000000,100,101.49,100,101.49,13,0
GNO1123.PL,D,20180307,000000,100,100,98.5,98.5,50,0
GNO1123.PL,D,20180308,000000,99,99.5,99,99.5,12,0
GNO1123.PL,D,20180312,000000,101.49,101.49,101.49,101.49,1,0
GNO1123.PL,D,20180313,000000,99,99,99,99,1,0
GNO1123.PL,D,20180314,000000,99,99,99,99,23,0
GNO1123.PL,D,20180323,000000,100,100,100,100,1,0
GNO1123.PL,D,20180326,000000,99,99,99,99,4,0
GNO1123.PL,D,20180511,000000,96.5,96.5,96.5,96.5,10,0
GNO1123.PL,D,20180604,000000,94.1,94.1,94.1,94.1,10,0
GNO1123.PL,D,20180803,000000,90,91,90,91,40,0
GNO1123.PL,D,20180809,000000,91,91,91,91,101,0
GNO1123.PL,D,20180814,000000,92,92,92,92,30,0
GNO1123.PL,D,20180903,000000,96,96,96,96,3,0
GNO1123.PL,D,20180905,000000,93.5,93.5,93.5,93.5,30,0
GNO1123.PL,D,20181105,000000,89,89,89,89,2,0
GNO1123.PL,D,20181113,000000,86,86,86,86,10,0
GNO1123.PL,D,20181114,000000,84,84,84,84,1,0
GNO1123.PL,D,20181116,000000,74,77,59,59,34,0
GNO1123.PL,D,20181122,000000,65,65,65,65,4,0
GNO1123.PL,D,20181228,000000,69,69,69,69,9,0
GNO1123.PL,D,20190107,000000,70,70,70,70,2,0
GNO1123.PL,D,20190129,000000,80,80,80,80,1,0
GNO1123.PL,D,20190228,000000,80,80,80,80,40,0
GNO1123.PL,D,20190314,000000,82,82,82,82,3,0
GNO1123.PL,D,20190328,000000,84.98,84.98,82,82,11,0
GNO1123.PL,D,20190401,000000,84.98,84.98,84.98,84.98,2,0
GNO1123.PL,D,20190405,000000,84.98,84.98,84.98,84.98,2,0
GNO1123.PL,D,20190430,000000,78,78,76,76,22,0
GNO1123.PL,D,20190627,000000,78,78,76,76,22,0
GNO1123.PL,D,20190708,000000,70,76,70,76,6,0
GNO1123.PL,D,20190930,000000,66,66,66,66,1,0
GNO1123.PL,D,20191024,000000,76,76,76,76,9,0
GNO1123.PL,D,20191205,000000,75,75,75,75,83,0
GNO1123.PL,D,20191209,000000,75,75,75,75,53,0
GNO1123.PL,D,20191210,000000,75,75,75,75,47,0
GNO1123.PL,D,20191211,000000,75,75,75,75,47,0
GNO1123.PL,D,20200115,000000,87,87,87,87,3,0
GNO1123.PL,D,20200120,000000,90,90,90,90,13,0
GNO1123.PL,D,20200218,000000,85,85,85,85,1,0
GNO1123.PL,D,20200427,000000,80,80,80,80,15,0
GNO1123.PL,D,20200429,000000,78,78,78,78,10,0
GNO1123.PL,D,20200515,000000,80,80,80,80,16,0
GNO1123.PL,D,20200520,000000,80,80,80,80,3,0
GNO1123.PL,D,20200615,000000,84,84,84,84,10,0
GNO1123.PL,D,20200710,000000,87,87,87,87,5,0
GNO1123.PL,D,20200713,000000,88,88,88,88,10,0
GNO1123.PL,D,20200714,000000,90,90,90,90,1,0
GNO1123.PL,D,20200804,000000,86,86,86,86,8,0
GNO1123.PL,D,20200825,000000,83,83,83,83,1,0
GNO1123.PL,D,20200907,000000,85,85,85,85,30,0
GNO1123.PL,D,20200914,000000,82,82,82,82,10,0
GNO1123.PL,D,20201105,000000,74.99,74.99,74.99,74.99,1,0
GNO1123.PL,D,20201106,000000,74.99,74.99,74.99,74.99,3,0
GNO1123.PL,D,20201113,000000,80,80,80,80,80,0
GNO1123.PL,D,20201118,000000,80,81,80,81,14,0
GNO1123.PL,D,20201127,000000,80,80,80,80,5,0
GNO1123.PL,D,20201201,000000,80.95,80.95,80.95,80.95,9,0
GNO1123.PL,D,20201202,000000,80,80,80,80,20,0
GNO1123.PL,D,20201203,000000,82.59,82.59,82.59,82.59,3,0
GNO1123.PL,D,20201209,000000,81,81,81,81,5,0
GNO1123.PL,D,20201210,000000,82,82,82,82,3,0
GNO1123.PL,D,20201211,000000,82,82,82,82,15,0
GNO1123.PL,D,20201216,000000,82,82,82,82,1,0
GNO1123.PL,D,20201221,000000,80,80,80,80,4,0
GNO1123.PL,D,20201222,000000,82,82,82,82,10,0
GNO1123.PL,D,20201228,000000,80,80,80,80,1,0
GNO1123.PL,D,20201229,000000,82,82,82,82,54,0
