<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INS0922.PL,D,20200213,000000,100.5,100.5,100.5,100.5,100,0
INS0922.PL,D,20200226,000000,101,101,101,101,5,0
INS0922.PL,D,20200316,000000,100,100,100,100,100,0
INS0922.PL,D,20200417,000000,98.5,98.5,98.5,98.5,10,0
INS0922.PL,D,20200512,000000,98.5,98.5,98,98,200,0
INS0922.PL,D,20200513,000000,97.99,97.99,97.99,97.99,100,0
INS0922.PL,D,20200515,000000,97.99,97.99,97.99,97.99,129,0
INS0922.PL,D,20200522,000000,98,98,98,98,123,0
INS0922.PL,D,20200527,000000,98,98,98,98,5,0
INS0922.PL,D,20200604,000000,96,97,96,97,182,0
INS0922.PL,D,20200612,000000,96,96,96,96,90,0
INS0922.PL,D,20200728,000000,98,98,98,98,90,0
INS0922.PL,D,20200818,000000,98.1,98.1,98.1,98.1,100,0
INS0922.PL,D,20200914,000000,99,99,99,99,210,0
INS0922.PL,D,20200915,000000,98.5,98.5,98.5,98.5,90,0
INS0922.PL,D,20200930,000000,99.5,99.5,99.5,99.5,100,0
INS0922.PL,D,20210707,000000,100,100,100,100,500,0
INS0922.PL,D,20210708,000000,100,100,100,100,99,0
INS0922.PL,D,20211015,000000,100,100,100,100,399,0
INS0922.PL,D,20211018,000000,100,100,100,100,241,0
INS0922.PL,D,20211109,000000,101.38,101.38,101.38,101.38,26,0
INS0922.PL,D,20211217,000000,99.7,99.7,99.7,99.7,3,0
INS0922.PL,D,20220117,000000,99.7,99.7,99.7,99.7,3,0
INS0922.PL,D,20220202,000000,99.82,99.82,99.7,99.7,215,0
INS0922.PL,D,20220203,000000,99.9,99.9,99.69,99.69,340,0
INS0922.PL,D,20220321,000000,100,100,100,100,2,0
INS0922.PL,D,20220322,000000,100,100,100,100,20,0
INS0922.PL,D,20220323,000000,99.8,100,99.8,100,70,0
INS0922.PL,D,20220325,000000,100,100,100,100,30,0
INS0922.PL,D,20220328,000000,99.75,99.75,99.7,99.7,75,0
INS0922.PL,D,20220329,000000,100,100,100,100,230,0
INS0922.PL,D,20220330,000000,100,100,100,100,47,0
INS0922.PL,D,20220331,000000,100,100,100,100,26,0
INS0922.PL,D,20220427,000000,100.7,100.7,100.7,100.7,30,0
INS0922.PL,D,20220512,000000,100.7,100.7,100.7,100.7,30,0
INS0922.PL,D,20220613,000000,100,100,100,100,26,0
INS0922.PL,D,20220622,000000,100,100,100,100,110,0
INS0922.PL,D,20220712,000000,100,100,100,100,110,0
