<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INY1222.PL,D,20210830,000000,100.5,100.5,100.5,100.5,12,0
INY1222.PL,D,20211015,000000,100,100,100,100,22,0
INY1222.PL,D,20211018,000000,100,100,99.5,99.5,72,0
INY1222.PL,D,20211019,000000,99.8,99.8,99.8,99.8,3,0
INY1222.PL,D,20211021,000000,99.9,99.9,99.9,99.9,10,0
INY1222.PL,D,20211025,000000,99.99,99.99,99.95,99.95,10,0
INY1222.PL,D,20211026,000000,99.99,99.99,99.9,99.9,10,0
INY1222.PL,D,20211105,000000,99.8,99.8,99.8,99.8,5,0
INY1222.PL,D,20211109,000000,99.7,99.7,99.7,99.7,7,0
INY1222.PL,D,20211116,000000,100.5,100.5,100.3,100.3,20,0
INY1222.PL,D,20211118,000000,101,101,100.5,100.5,20,0
INY1222.PL,D,20211119,000000,101,101,101,101,10,0
INY1222.PL,D,20211123,000000,100.9,100.9,100.9,100.9,8,0
INY1222.PL,D,20211126,000000,100.5,100.5,100.5,100.5,2,0
INY1222.PL,D,20211201,000000,99.8,99.8,99.8,99.8,18,0
INY1222.PL,D,20211210,000000,100.45,100.45,100.45,100.45,3,0
INY1222.PL,D,20211215,000000,100.45,100.45,100.45,100.45,40,0
INY1222.PL,D,20211222,000000,100.45,100.45,100.41,100.41,49,0
INY1222.PL,D,20220117,000000,100.45,100.45,100.41,100.41,49,0
INY1222.PL,D,20220126,000000,100.5,100.5,100.5,100.5,12,0
INY1222.PL,D,20220204,000000,100.39,100.48,100.21,100.21,36,0
INY1222.PL,D,20220208,000000,100,100,100,100,10,0
INY1222.PL,D,20220209,000000,99.9,99.9,99.9,99.9,5,0
INY1222.PL,D,20220210,000000,99.94,99.94,99.94,99.94,11,0
INY1222.PL,D,20220211,000000,99.94,99.94,99.94,99.94,8,0
INY1222.PL,D,20220216,000000,99.9,99.9,99.9,99.9,48,0
INY1222.PL,D,20220304,000000,100.5,100.5,100.5,100.5,12,0
INY1222.PL,D,20220311,000000,100,100,100,100,12,0
INY1222.PL,D,20220322,000000,100.5,100.5,100.5,100.5,17,0
INY1222.PL,D,20220407,000000,100.2,100.2,100.2,100.2,10,0
INY1222.PL,D,20220413,000000,100.2,100.2,100.2,100.2,30,0
INY1222.PL,D,20220419,000000,100.5,100.5,100.5,100.5,5,0
INY1222.PL,D,20220421,000000,100.5,100.5,100.5,100.5,12,0
INY1222.PL,D,20220512,000000,100.5,100.5,100.5,100.5,12,0
INY1222.PL,D,20220520,000000,100.02,100.02,100,100,17,0
INY1222.PL,D,20220712,000000,100.02,100.02,100,100,17,0
INY1222.PL,D,20220719,000000,100,100,100,100,55,0
INY1222.PL,D,20220720,000000,100,100,100,100,5,0
INY1222.PL,D,20220725,000000,100,100,100,100,14,0
INY1222.PL,D,20220726,000000,100,100,100,100,41,0
INY1222.PL,D,20220728,000000,100,100,100,100,85,0
INY1222.PL,D,20220808,000000,100.5,100.5,100.5,100.5,16,0
INY1222.PL,D,20220812,000000,100.21,100.21,100.21,100.21,3,0
INY1222.PL,D,20220818,000000,100.5,100.5,100.5,100.5,5,0
