<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU1226.PL,D,20220114,000000,101.54,101.89,101,101.2,3713,0
KRU1226.PL,D,20220117,000000,101.4,101.4,100.98,101.29,4581,0
KRU1226.PL,D,20220118,000000,101.28,101.28,100.9,100.95,1305,0
KRU1226.PL,D,20220119,000000,101.1,101.1,100.8,101.09,949,0
KRU1226.PL,D,20220120,000000,101.27,101.27,100.82,101,983,0
KRU1226.PL,D,20220121,000000,100.99,100.99,100.8,100.99,394,0
KRU1226.PL,D,20220124,000000,100.99,100.99,100.28,100.28,928,0
KRU1226.PL,D,20220125,000000,100.7,100.7,100.69,100.69,734,0
KRU1226.PL,D,20220126,000000,100.5,100.69,100.5,100.69,3145,0
KRU1226.PL,D,20220127,000000,100.88,100.98,100.88,100.98,45,0
KRU1226.PL,D,20220128,000000,100.53,100.53,100.5,100.5,405,0
KRU1226.PL,D,20220131,000000,100.98,100.98,100.95,100.95,217,0
KRU1226.PL,D,20220201,000000,100.95,100.95,100.95,100.95,13,0
KRU1226.PL,D,20220202,000000,100.88,100.93,100.58,100.8,255,0
KRU1226.PL,D,20220203,000000,100.93,100.94,100.93,100.94,65,0
KRU1226.PL,D,20220204,000000,100.94,100.96,100.94,100.96,65,0
KRU1226.PL,D,20220208,000000,100.52,100.95,100.52,100.95,258,0
KRU1226.PL,D,20220209,000000,100.97,101.19,100.97,101.19,786,0
KRU1226.PL,D,20220210,000000,101.19,101.19,101,101,1863,0
KRU1226.PL,D,20220211,000000,101.06,101.29,101,101.29,1106,0
KRU1226.PL,D,20220214,000000,101.29,101.29,101,101.27,805,0
KRU1226.PL,D,20220216,000000,101.26,101.27,101.26,101.27,156,0
KRU1226.PL,D,20220217,000000,101.27,101.29,101.27,101.29,338,0
KRU1226.PL,D,20220218,000000,101.29,101.3,101.29,101.3,600,0
KRU1226.PL,D,20220221,000000,101.4,101.4,101.4,101.4,19,0
KRU1226.PL,D,20220222,000000,101.39,101.39,101.39,101.39,40,0
KRU1226.PL,D,20220223,000000,101.2,101.21,101.2,101.21,30,0
KRU1226.PL,D,20220224,000000,100.7,101.5,100.01,100.99,2076,0
KRU1226.PL,D,20220225,000000,99.55,100,99.5,100,151,0
KRU1226.PL,D,20220228,000000,100,100,100,100,221,0
KRU1226.PL,D,20220301,000000,100.28,100.28,100.28,100.28,23,0
KRU1226.PL,D,20220303,000000,100,100.35,99.91,100.35,220,0
KRU1226.PL,D,20220304,000000,100.77,100.77,100,100,216,0
KRU1226.PL,D,20220307,000000,100.59,100.6,100.54,100.54,410,0
KRU1226.PL,D,20220308,000000,100,100.49,100,100.49,112,0
KRU1226.PL,D,20220309,000000,99.91,99.91,99.91,99.91,2,0
KRU1226.PL,D,20220310,000000,99.91,99.91,99.91,99.91,338,0
KRU1226.PL,D,20220311,000000,100,100.44,100,100.44,120,0
KRU1226.PL,D,20220316,000000,100.41,100.44,99.91,100.44,2423,0
KRU1226.PL,D,20220317,000000,100.37,100.59,100,100,3400,0
KRU1226.PL,D,20220318,000000,100,100.49,100,100.49,47,0
KRU1226.PL,D,20220321,000000,99.98,100.5,99.98,100.49,146,0
KRU1226.PL,D,20220324,000000,100.48,100.48,100.48,100.48,12,0
