<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBX0622.PL,D,20181128,000000,100.1,100.1,100.1,100.1,50,0
PBX0622.PL,D,20181129,000000,100.1,100.1,100.1,100.1,10,0
PBX0622.PL,D,20181203,000000,100,100,100,100,10,0
PBX0622.PL,D,20181205,000000,99.9,99.9,99.9,99.9,2,0
PBX0622.PL,D,20181207,000000,99.8,99.8,99.8,99.8,15,0
PBX0622.PL,D,20181212,000000,99.8,99.8,99.8,99.8,8,0
PBX0622.PL,D,20190102,000000,99.8,99.8,99.8,99.8,2,0
PBX0622.PL,D,20190103,000000,99.8,99.8,99.8,99.8,3,0
PBX0622.PL,D,20190107,000000,99.8,99.8,99.8,99.8,18,0
PBX0622.PL,D,20190114,000000,99.8,99.8,99.8,99.8,3,0
PBX0622.PL,D,20190115,000000,99.8,99.8,99.8,99.8,15,0
PBX0622.PL,D,20190116,000000,99.8,99.8,99.8,99.8,10,0
PBX0622.PL,D,20190125,000000,99.6,99.6,99.6,99.6,10,0
PBX0622.PL,D,20190130,000000,99.7,99.7,99.7,99.7,3,0
PBX0622.PL,D,20190204,000000,99.5,99.5,99.49,99.49,6,0
PBX0622.PL,D,20190214,000000,99.48,99.5,99.48,99.5,12,0
PBX0622.PL,D,20190215,000000,99.5,99.5,99.5,99.5,8,0
PBX0622.PL,D,20190218,000000,99.8,99.8,99.8,99.8,3,0
PBX0622.PL,D,20190220,000000,99.8,99.8,99.8,99.8,3,0
PBX0622.PL,D,20190225,000000,99.85,99.85,99.85,99.85,5,0
PBX0622.PL,D,20190228,000000,99.5,99.5,99.5,99.5,25,0
PBX0622.PL,D,20190301,000000,99.5,99.5,99.5,99.5,15,0
PBX0622.PL,D,20190308,000000,99.5,99.5,99.5,99.5,16,0
PBX0622.PL,D,20190311,000000,99.5,99.5,99.5,99.5,5,0
PBX0622.PL,D,20190312,000000,99.5,99.5,99.5,99.5,4,0
PBX0622.PL,D,20190313,000000,99.5,99.5,99.5,99.5,1,0
PBX0622.PL,D,20190320,000000,99.3,99.3,99.3,99.3,10,0
PBX0622.PL,D,20190327,000000,98.51,98.51,98.5,98.5,33,0
PBX0622.PL,D,20190405,000000,99.95,99.97,99.95,99.97,15,0
PBX0622.PL,D,20190410,000000,99.98,100,99.98,100,20,0
PBX0622.PL,D,20190416,000000,100,100,100,100,8,0
PBX0622.PL,D,20190418,000000,100,100,100,100,33,0
PBX0622.PL,D,20190424,000000,100,100,100,100,4,0
PBX0622.PL,D,20190425,000000,99.99,100,99.99,100,23,0
PBX0622.PL,D,20190506,000000,100,100,100,100,13,0
PBX0622.PL,D,20190510,000000,100,100,100,100,4,0
PBX0622.PL,D,20190515,000000,99.51,99.51,99.51,99.51,3,0
PBX0622.PL,D,20190517,000000,100,100.49,100,100.49,41,0
PBX0622.PL,D,20190520,000000,100,100,100,100,8,0
PBX0622.PL,D,20190523,000000,100,100,100,100,42,0
PBX0622.PL,D,20190524,000000,100,100,100,100,20,0
PBX0622.PL,D,20190527,000000,100,100,100,100,3,0
PBX0622.PL,D,20190528,000000,100,100,100,100,52,0
PBX0622.PL,D,20190529,000000,100,100,100,100,3,0
PBX0622.PL,D,20190531,000000,100,100,100,100,21,0
PBX0622.PL,D,20190603,000000,100,100,100,100,2,0
PBX0622.PL,D,20190610,000000,100,100,100,100,2,0
PBX0622.PL,D,20190614,000000,100,100,100,100,16,0
PBX0622.PL,D,20190618,000000,100,100,100,100,16,0
PBX0622.PL,D,20190624,000000,100.94,101,100,100,50,0
PBX0622.PL,D,20190625,000000,100,100.6,100,100.6,36,0
PBX0622.PL,D,20190626,000000,100.02,100.02,100,100,120,0
PBX0622.PL,D,20190627,000000,100,100,100,100,15,0
PBX0622.PL,D,20190628,000000,100,100,100,100,15,0
PBX0622.PL,D,20190701,000000,100,100,100,100,60,0
PBX0622.PL,D,20190702,000000,100,100,100,100,15,0
PBX0622.PL,D,20190703,000000,100,100,100,100,2,0
PBX0622.PL,D,20190704,000000,100,100,100,100,10,0
PBX0622.PL,D,20190705,000000,100,100,100,100,10,0
PBX0622.PL,D,20190708,000000,100,100,100,100,16,0
PBX0622.PL,D,20190709,000000,100,100,100,100,2,0
PBX0622.PL,D,20190711,000000,100.04,100.04,100,100,50,0
PBX0622.PL,D,20190715,000000,100,100,100,100,17,0
PBX0622.PL,D,20190718,000000,99.99,99.99,99.99,99.99,2,0
PBX0622.PL,D,20190723,000000,99.99,99.99,99.99,99.99,7,0
PBX0622.PL,D,20190725,000000,99.99,99.99,99.99,99.99,7,0
PBX0622.PL,D,20190729,000000,99.8,99.8,99.8,99.8,20,0
PBX0622.PL,D,20190730,000000,99.99,100,99.99,100,10,0
PBX0622.PL,D,20190802,000000,100,100,100,100,2,0
PBX0622.PL,D,20190805,000000,100,100,100,100,20,0
PBX0622.PL,D,20190807,000000,100,100,99.9,99.9,33,0
PBX0622.PL,D,20190808,000000,100,100,100,100,50,0
PBX0622.PL,D,20190819,000000,99.9,99.99,99.9,99.99,10,0
PBX0622.PL,D,20190822,000000,99.99,99.99,99.99,99.99,8,0
PBX0622.PL,D,20190823,000000,99.99,99.99,99.99,99.99,2,0
PBX0622.PL,D,20190902,000000,99.94,99.94,99.94,99.94,2,0
PBX0622.PL,D,20190909,000000,99.94,99.94,99.94,99.94,5,0
PBX0622.PL,D,20190911,000000,99.99,99.99,99.99,99.99,4,0
PBX0622.PL,D,20190912,000000,99.97,99.97,99.97,99.97,1,0
PBX0622.PL,D,20190923,000000,100,100,100,100,5,0
PBX0622.PL,D,20190930,000000,100,100,100,100,4,0
PBX0622.PL,D,20191002,000000,99.51,99.51,99.51,99.51,3,0
PBX0622.PL,D,20191004,000000,100,100,100,100,2,0
PBX0622.PL,D,20191021,000000,100,100,100,100,5,0
PBX0622.PL,D,20191029,000000,100,100,100,100,13,0
PBX0622.PL,D,20191107,000000,100,100,100,100,5,0
PBX0622.PL,D,20191119,000000,100,100,100,100,1,0
PBX0622.PL,D,20191121,000000,100,100,100,100,3,0
PBX0622.PL,D,20191127,000000,100,100,100,100,11,0
PBX0622.PL,D,20191206,000000,100,100,100,100,5,0
PBX0622.PL,D,20191210,000000,100,100,100,100,2,0
PBX0622.PL,D,20191211,000000,100,100,100,100,18,0
PBX0622.PL,D,20191216,000000,99.99,99.99,99.99,99.99,3,0
PBX0622.PL,D,20191219,000000,99.99,99.99,99.99,99.99,2,0
PBX0622.PL,D,20191220,000000,100,100,100,100,8,0
PBX0622.PL,D,20200107,000000,100,100,100,100,8,0
PBX0622.PL,D,20200108,000000,100,100,100,100,2,0
PBX0622.PL,D,20200113,000000,100,100,100,100,6,0
PBX0622.PL,D,20200114,000000,100,100,100,100,15,0
PBX0622.PL,D,20200117,000000,100,100,100,100,8,0
PBX0622.PL,D,20200124,000000,100.74,100.74,100.74,100.74,2,0
PBX0622.PL,D,20200128,000000,100.7,100.7,100.7,100.7,5,0
PBX0622.PL,D,20200131,000000,100.7,100.7,100.7,100.7,3,0
PBX0622.PL,D,20200204,000000,100.71,100.71,100.71,100.71,2,0
PBX0622.PL,D,20200210,000000,99.01,99.01,99.01,99.01,2,0
PBX0622.PL,D,20200226,000000,100.1,100.1,100.1,100.1,9,0
PBX0622.PL,D,20200304,000000,100.3,100.3,100.3,100.3,5,0
PBX0622.PL,D,20200309,000000,100.76,100.76,100.76,100.76,9,0
PBX0622.PL,D,20200310,000000,100.49,100.49,100.49,100.49,2,0
PBX0622.PL,D,20200312,000000,98.62,98.62,98.5,98.5,17,0
PBX0622.PL,D,20200323,000000,94,94,89,89,40,0
PBX0622.PL,D,20200324,000000,88,89,88,89,36,0
PBX0622.PL,D,20200325,000000,94.76,94.8,90,94.7,60,0
PBX0622.PL,D,20200327,000000,90,90.5,90,90.5,6,0
PBX0622.PL,D,20200401,000000,94.99,95,94.99,95,29,0
PBX0622.PL,D,20200424,000000,96,96,96,96,104,0
PBX0622.PL,D,20200504,000000,97.5,97.5,97.5,97.5,2,0
PBX0622.PL,D,20200507,000000,97.5,97.5,97.5,97.5,6,0
PBX0622.PL,D,20200512,000000,98,98,98,98,2,0
PBX0622.PL,D,20200514,000000,98,98,98,98,2,0
PBX0622.PL,D,20200515,000000,98,98,98,98,14,0
PBX0622.PL,D,20200518,000000,98,98,98,98,8,0
PBX0622.PL,D,20200526,000000,99.46,99.46,99.46,99.46,4,0
PBX0622.PL,D,20200528,000000,99.46,99.46,99.46,99.46,1,0
PBX0622.PL,D,20200601,000000,99.8,99.8,99.8,99.8,7,0
PBX0622.PL,D,20200603,000000,99.8,99.8,99.8,99.8,1,0
PBX0622.PL,D,20200619,000000,99.57,99.57,99.57,99.57,20,0
PBX0622.PL,D,20200624,000000,99.5,100,99.5,100,23,0
PBX0622.PL,D,20200625,000000,100,100,100,100,92,0
PBX0622.PL,D,20200701,000000,101,101,101,101,5,0
PBX0622.PL,D,20200728,000000,99.5,99.5,99.5,99.5,1,0
PBX0622.PL,D,20200812,000000,100.48,100.48,100.48,100.48,6,0
PBX0622.PL,D,20201014,000000,99.86,99.86,99.86,99.86,5,0
PBX0622.PL,D,20201030,000000,99.87,99.88,99.87,99.88,3,0
PBX0622.PL,D,20201109,000000,99.2,99.2,99.2,99.2,2,0
PBX0622.PL,D,20201113,000000,99.5,99.5,99.5,99.5,5,0
PBX0622.PL,D,20201119,000000,99.5,99.5,99.01,99.01,39,0
PBX0622.PL,D,20201125,000000,100,100,100,100,2,0
PBX0622.PL,D,20201207,000000,99.51,99.51,99.51,99.51,2,0
PBX0622.PL,D,20201209,000000,99.85,99.85,99.85,99.85,5,0
PBX0622.PL,D,20201215,000000,99.85,99.85,99.85,99.85,5,0
PBX0622.PL,D,20201221,000000,100.3,100.3,100.3,100.3,2,0
PBX0622.PL,D,20210127,000000,100.03,100.03,100,100,8,0
PBX0622.PL,D,20210128,000000,99.02,99.99,99.02,99.99,24,0
PBX0622.PL,D,20210129,000000,99.99,99.99,99.99,99.99,5,0
PBX0622.PL,D,20210201,000000,99.99,99.99,99.99,99.99,2,0
PBX0622.PL,D,20210202,000000,99.99,99.99,99.99,99.99,21,0
PBX0622.PL,D,20210205,000000,100,100,100,100,10,0
PBX0622.PL,D,20210208,000000,100,100,100,100,25,0
PBX0622.PL,D,20210304,000000,100,100,100,100,4,0
PBX0622.PL,D,20210305,000000,100,100,100,100,2,0
PBX0622.PL,D,20210309,000000,100,100,100,100,14,0
PBX0622.PL,D,20210318,000000,100.1,100.1,100.1,100.1,5,0
PBX0622.PL,D,20210406,000000,100.1,100.1,100.1,100.1,4,0
PBX0622.PL,D,20210429,000000,100.1,100.1,100.1,100.1,3,0
PBX0622.PL,D,20210430,000000,100.1,100.1,100.1,100.1,5,0
PBX0622.PL,D,20210507,000000,100,100,99.5,99.5,9,0
PBX0622.PL,D,20210513,000000,99.9,99.9,99.77,99.77,2,0
PBX0622.PL,D,20210518,000000,100.49,100.49,100.49,100.49,5,0
PBX0622.PL,D,20210607,000000,100,100,100,100,4,0
PBX0622.PL,D,20210614,000000,100,100,100,100,9,0
PBX0622.PL,D,20210708,000000,100,100,100,100,9,0
PBX0622.PL,D,20210804,000000,100,100,100,100,9,0
PBX0622.PL,D,20210805,000000,100,100,100,100,1,0
PBX0622.PL,D,20210811,000000,100,100,100,100,2,0
PBX0622.PL,D,20210906,000000,99.88,99.88,99.88,99.88,3,0
PBX0622.PL,D,20210923,000000,99.99,99.99,99.99,99.99,10,0
PBX0622.PL,D,20211102,000000,100,100,100,100,10,0
PBX0622.PL,D,20211207,000000,100.19,100.19,100.19,100.19,3,0
PBX0622.PL,D,20211217,000000,100,100,100,100,9,0
PBX0622.PL,D,20220104,000000,100.49,100.49,100.49,100.49,10,0
PBX0622.PL,D,20220117,000000,100.49,100.49,100.49,100.49,10,0
PBX0622.PL,D,20220119,000000,100.45,100.45,100.45,100.45,2,0
PBX0622.PL,D,20220125,000000,100.97,100.97,100.97,100.97,5,0
PBX0622.PL,D,20220510,000000,100.17,100.39,100.17,100.39,5,0
PBX0622.PL,D,20220512,000000,100.17,100.39,100.17,100.39,5,0
PBX0622.PL,D,20220517,000000,99.5,99.5,99.5,99.5,2,0
PBX0622.PL,D,20220610,000000,95.02,95.02,95.02,95.02,5,0
