<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PS0424.PL,D,20181025,000000,99.65,99.65,99.65,99.65,200,0
PS0424.PL,D,20181030,000000,100,100,100,100,6,0
PS0424.PL,D,20181217,000000,100.85,100.85,100.85,100.85,990,0
PS0424.PL,D,20190129,000000,101.7,101.7,101.7,101.7,384,0
PS0424.PL,D,20190222,000000,101.85,101.85,101.85,101.85,192,0
PS0424.PL,D,20190305,000000,101.12,101.12,101.12,101.12,315,0
PS0424.PL,D,20190311,000000,101.6,101.6,101.6,101.6,100,0
PS0424.PL,D,20190401,000000,101.8,101.8,101.8,101.8,53,0
PS0424.PL,D,20190429,000000,101.6,101.6,101.6,101.6,1,0
PS0424.PL,D,20190502,000000,101.25,101.25,101.25,101.25,4,0
PS0424.PL,D,20190510,000000,101.2,101.2,101.2,101.2,208,0
PS0424.PL,D,20190515,000000,101.6,101.75,101.6,101.75,294,0
PS0424.PL,D,20190520,000000,101.3,101.3,101.3,101.3,200,0
PS0424.PL,D,20190522,000000,101.33,101.33,101.33,101.33,100,0
PS0424.PL,D,20190524,000000,101.55,101.55,101.55,101.55,30,0
PS0424.PL,D,20190528,000000,101.7,101.7,101.7,101.7,98,0
PS0424.PL,D,20190611,000000,102.5,102.5,102.5,102.5,48,0
PS0424.PL,D,20190621,000000,102.65,102.65,102.65,102.65,194,0
PS0424.PL,D,20190711,000000,103.2,103.2,103.2,103.2,1,0
PS0424.PL,D,20190712,000000,102.73,102.73,102.73,102.73,101,0
PS0424.PL,D,20190927,000000,103.4,103.4,103.4,103.4,961,0
PS0424.PL,D,20191018,000000,103.35,103.35,103.35,103.35,3600,0
PS0424.PL,D,20191119,000000,103.16,103.16,103.16,103.16,50,0
PS0424.PL,D,20191125,000000,103.13,103.13,103.13,103.13,24,0
PS0424.PL,D,20191126,000000,103.33,103.33,103.33,103.33,14,0
PS0424.PL,D,20191127,000000,103.55,103.55,103.55,103.55,820,0
PS0424.PL,D,20191205,000000,103.2,103.2,103.2,103.2,47,0
PS0424.PL,D,20200102,000000,102.95,102.95,102.95,102.95,12,0
PS0424.PL,D,20200114,000000,102.8,102.8,102.8,102.8,5,0
PS0424.PL,D,20200117,000000,102.1,102.1,102.1,102.1,8,0
PS0424.PL,D,20200211,000000,103.17,103.17,103.17,103.17,100,0
PS0424.PL,D,20200415,000000,106.00,106.00,106.00,106.00,5,0
PS0424.PL,D,20200424,000000,107.20,107.20,107.20,107.20,4,0
PS0424.PL,D,20200429,000000,107.10,107.10,107.10,107.10,3,0
PS0424.PL,D,20200512,000000,106.00,106.00,106.00,106.00,98,0
PS0424.PL,D,20200831,000000,107.50,107.50,107.50,107.50,1000,0
PS0424.PL,D,20200901,000000,107.68,107.68,107.68,107.68,397,0
PS0424.PL,D,20200903,000000,107.76,107.76,107.76,107.76,401,0
PS0424.PL,D,20200915,000000,107.30,107.30,107.30,107.30,1,0
PS0424.PL,D,20200916,000000,107.30,107.30,107.30,107.30,4,0
PS0424.PL,D,20201001,000000,107.85,107.85,107.85,107.85,127,0
PS0424.PL,D,20201007,000000,107.65,107.65,107.65,107.65,98,0
PS0424.PL,D,20201027,000000,108.33,108.33,108.33,108.33,3827,0
PS0424.PL,D,20201028,000000,108.37,108.37,108.37,108.37,31,0
PS0424.PL,D,20201029,000000,108.18,108.18,108.18,108.18,44,0
PS0424.PL,D,20201102,000000,108.33,108.33,108.33,108.33,13,0
PS0424.PL,D,20201209,000000,107.82,107.82,107.82,107.82,12,0
PS0424.PL,D,20210114,000000,107.20,107.20,107.20,107.20,2,0
PS0424.PL,D,20210115,000000,107.64,107.64,107.64,107.64,51,0
PS0424.PL,D,20210120,000000,107.65,107.65,107.65,107.65,100,0
PS0424.PL,D,20210125,000000,107.30,107.67,107.30,107.67,12,0
PS0424.PL,D,20210216,000000,106.90,106.90,106.90,106.90,6,0
PS0424.PL,D,20210301,000000,106.40,106.40,106.40,106.40,6,0
PS0424.PL,D,20210304,000000,106.68,106.68,106.68,106.68,53,0
PS0424.PL,D,20210309,000000,106.70,106.70,106.70,106.70,103,0
PS0424.PL,D,20210310,000000,106.80,106.80,106.80,106.80,1,0
PS0424.PL,D,20210311,000000,106.00,106.00,106.00,106.00,3,0
PS0424.PL,D,20210315,000000,106.00,106.00,106.00,106.00,27,0
PS0424.PL,D,20210324,000000,107.00,107.00,106.59,106.59,65,0
PS0424.PL,D,20210406,000000,106.46,106.46,106.46,106.46,25,0
PS0424.PL,D,20210427,000000,106.59,106.59,106.59,106.59,24,0
PS0424.PL,D,20210513,000000,106.20,106.20,106.20,106.20,30,0
PS0424.PL,D,20210526,000000,105.79,105.79,105.79,105.79,7,0
PS0424.PL,D,20210527,000000,105.60,105.60,105.60,105.60,46,0
PS0424.PL,D,20210531,000000,105.80,105.80,105.80,105.80,34831,0
PS0424.PL,D,20210602,000000,105.65,105.65,105.47,105.47,479,0
PS0424.PL,D,20210607,000000,105.59,105.59,105.59,105.59,498,0
PS0424.PL,D,20210617,000000,105.49,105.49,105.49,105.49,263,0
PS0424.PL,D,20210622,000000,105.29,105.29,105.29,105.29,1066,0
PS0424.PL,D,20210623,000000,105.32,105.32,105.32,105.32,46,0
PS0424.PL,D,20210624,000000,105.21,105.21,105.20,105.20,266,0
PS0424.PL,D,20210630,000000,105.40,105.40,105.40,105.40,67,0
PS0424.PL,D,20210702,000000,105.37,105.37,105.35,105.36,189,0
PS0424.PL,D,20210705,000000,105.18,105.18,105.18,105.18,175,0
PS0424.PL,D,20210707,000000,105.30,105.30,105.30,105.30,196,0
PS0424.PL,D,20210708,000000,105.24,105.24,105.24,105.24,147,0
PS0424.PL,D,20210715,000000,105.27,105.27,105.27,105.27,7,0
PS0424.PL,D,20210806,000000,105.30,105.30,105.03,105.03,41,0
PS0424.PL,D,20210810,000000,105.15,105.15,105.15,105.15,355,0
PS0424.PL,D,20210812,000000,105.00,105.00,105.00,105.00,8,0
PS0424.PL,D,20210817,000000,105.00,105.00,105.00,105.00,23,0
PS0424.PL,D,20210819,000000,105.27,105.27,105.27,105.27,1,0
PS0424.PL,D,20210823,000000,105.33,105.33,105.33,105.33,22,0
PS0424.PL,D,20210824,000000,105.20,105.20,105.20,105.20,28,0
PS0424.PL,D,20210901,000000,105.03,105.03,105.03,105.03,300,0
PS0424.PL,D,20210913,000000,104.46,104.46,104.46,104.46,47,0
PS0424.PL,D,20210915,000000,104.49,104.49,104.49,104.49,25,0
PS0424.PL,D,20210920,000000,104.59,104.63,104.59,104.63,240,0
PS0424.PL,D,20210930,000000,104.20,104.60,104.18,104.18,382,0
PS0424.PL,D,20211007,000000,102.67,102.67,102.67,102.67,102,0
PS0424.PL,D,20211011,000000,102.70,102.70,102.70,102.70,30,0
PS0424.PL,D,20211013,000000,102.50,102.50,102.50,102.50,50,0
PS0424.PL,D,20211021,000000,101.47,101.47,101.47,101.47,92,0
PS0424.PL,D,20211027,000000,101.53,101.56,101.53,101.56,171,0
PS0424.PL,D,20211125,000000,98.26,98.26,98.26,98.26,29,0
PS0424.PL,D,20211129,000000,98.99,98.99,98.99,98.99,37,0
PS0424.PL,D,20211208,000000,99.26,99.26,99.26,99.26,34,0
PS0424.PL,D,20211210,000000,99.07,99.07,99.07,99.07,99,0
PS0424.PL,D,20211213,000000,99.07,99.07,99.07,99.07,50,0
PS0424.PL,D,20211214,000000,99.15,99.15,99.15,99.15,6,0
PS0424.PL,D,20211220,000000,99.00,99.00,99.00,99.00,30,0
PS0424.PL,D,20211223,000000,98.3,98.3,98.3,98.3,1603,0
PS0424.PL,D,20211227,000000,98.26,98.26,98.26,98.26,440,0
PS0424.PL,D,20220103,000000,97.95,97.95,97.95,97.95,99,0
PS0424.PL,D,20220104,000000,97.75,97.75,97.42,97.42,63,0
PS0424.PL,D,20220105,000000,97.83,97.83,97.83,97.83,60,0
PS0424.PL,D,20220107,000000,97.8,97.8,97.8,97.8,10,0
PS0424.PL,D,20220110,000000,97.65,97.8,97.65,97.8,104,0
PS0424.PL,D,20220111,000000,97.8,97.8,97.61,97.61,140,0
PS0424.PL,D,20220113,000000,98,98,98,98,3,0
PS0424.PL,D,20220117,000000,98.38,98.38,98.38,98.38,7,0
PS0424.PL,D,20220118,000000,98.6,98.6,98.6,98.6,80,0
PS0424.PL,D,20220119,000000,98.77,98.77,98.77,98.77,4965,0
PS0424.PL,D,20220120,000000,98.6,98.6,98.59,98.59,114,0
PS0424.PL,D,20220124,000000,99,99,99,99,95,0
PS0424.PL,D,20220128,000000,98.05,98.05,98,98,89,0
PS0424.PL,D,20220202,000000,98.2,98.2,98.2,98.2,20,0
PS0424.PL,D,20220203,000000,97.4,97.4,97.4,97.4,6,0
PS0424.PL,D,20220204,000000,98,98.3,97.72,97.91,487,0
PS0424.PL,D,20220210,000000,97.78,97.78,97.78,97.78,38,0
PS0424.PL,D,20220214,000000,97.82,97.82,97.82,97.82,6,0
PS0424.PL,D,20220216,000000,97.92,97.92,97.92,97.92,109,0
PS0424.PL,D,20220217,000000,97.72,97.72,97.66,97.66,64,0
PS0424.PL,D,20220218,000000,98.05,98.05,98.05,98.05,54,0
PS0424.PL,D,20220222,000000,97.64,97.64,97.64,97.64,4,0
PS0424.PL,D,20220223,000000,97.87,97.87,97.87,97.87,199,0
PS0424.PL,D,20220228,000000,97.7,97.7,97.7,97.7,5,0
PS0424.PL,D,20220302,000000,97.15,97.45,97.15,97.45,70,0
PS0424.PL,D,20220303,000000,97.25,97.25,96.7,96.7,548,0
PS0424.PL,D,20220304,000000,97.6,97.6,96.6,96.6,95,0
PS0424.PL,D,20220307,000000,97.5,97.5,97.5,97.5,2,0
