<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNPPBKS0822.PL,D,20191213,000000,1005.1,1006.1,1005.1,1006,900,0
BNPPBKS0822.PL,D,20200110,000000,994.3,994.3,994.3,994.3,100,0
BNPPBKS0822.PL,D,20210408,000000,791,791,791,791,150,0
BNPPBKS0822.PL,D,20210826,000000,745.5,745.5,745.5,745.5,100,0
BNPPBKS0822.PL,D,20211027,000000,796.5,796.5,796.5,796.5,50,0
BNPPBKS0822.PL,D,20211028,000000,788.5,788.5,788.5,788.5,150,0
BNPPBKS0822.PL,D,20211215,000000,729,729,729,729,300,0
BNPPBKS0822.PL,D,20220207,000000,854,854,854,854,100,0
BNPPBKS0822.PL,D,20220712,000000,223.5,225.5,223.5,225.5,250,0
BNPPBKS0822.PL,D,20220718,000000,253,255.5,253,255.5,300,0
BNPPBKS0822.PL,D,20220725,000000,260.5,260.5,260.5,260.5,410,0
BNPPBKS0822.PL,D,20220726,000000,255.5,256,254,254,700,0
BNPPBKS0822.PL,D,20220727,000000,254,260.5,254,260.5,550,0
BNPPBKS0822.PL,D,20220728,000000,266.5,266.5,265.5,265.5,400,0
BNPPBKS0822.PL,D,20220729,000000,279.5,279.5,279.5,279.5,300,0
