<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNPPBSK1022.PL,D,20191205,000000,957.1,957.1,957.1,957.1,200,0
BNPPBSK1022.PL,D,20191211,000000,955.8,955.8,955.8,955.8,50,0
BNPPBSK1022.PL,D,20200403,000000,953.9,953.9,953.9,953.9,50,0
BNPPBSK1022.PL,D,20200716,000000,973,973,973,973,100,0
BNPPBSK1022.PL,D,20200812,000000,976.5,976.5,976.5,976.5,87,0
BNPPBSK1022.PL,D,20200901,000000,975.5,975.5,975.5,975.5,40,0
BNPPBSK1022.PL,D,20201009,000000,980,980,980,980,22,0
BNPPBSK1022.PL,D,20201104,000000,982,982,982,982,50,0
BNPPBSK1022.PL,D,20201117,000000,981,981,981,981,41,0
BNPPBSK1022.PL,D,20201123,000000,981.5,981.5,981.5,981.5,80,0
BNPPBSK1022.PL,D,20201217,000000,981,981,981,981,90,0
BNPPBSK1022.PL,D,20201221,000000,982,982,982,982,11,0
BNPPBSK1022.PL,D,20210125,000000,987,987,987,987,250,0
BNPPBSK1022.PL,D,20210304,000000,984,984,984,984,105,0
BNPPBSK1022.PL,D,20210408,000000,987,987,987,987,20,0
BNPPBSK1022.PL,D,20210419,000000,987.5,987.5,987.5,987.5,50,0
BNPPBSK1022.PL,D,20210518,000000,985,985,985,985,62,0
BNPPBSK1022.PL,D,20210521,000000,986,986,986,986,50,0
BNPPBSK1022.PL,D,20210528,000000,987.5,987.5,987.5,987.5,45,0
BNPPBSK1022.PL,D,20210630,000000,986.5,986.5,986.5,986.5,10,0
BNPPBSK1022.PL,D,20210714,000000,988.5,988.5,988.5,988.5,55,0
BNPPBSK1022.PL,D,20210806,000000,988,988,988,988,50,0
BNPPBSK1022.PL,D,20210830,000000,989.5,989.5,989.5,989.5,50,0
BNPPBSK1022.PL,D,20210928,000000,988.5,988.5,988.5,988.5,50,0
BNPPBSK1022.PL,D,20211215,000000,973,973,973,973,80,0
BNPPBSK1022.PL,D,20211223,000000,970,970,970,970,208,0
BNPPBSK1022.PL,D,20220524,000000,970,970,970,970,70,0
BNPPBSK1022.PL,D,20220708,000000,976,976,976,976,150,0
BNPPBSK1022.PL,D,20220712,000000,977,977,977,977,92,0
BNPPBSK1022.PL,D,20220726,000000,978.5,978.5,978.5,978.5,35,0
