<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLBCO31179.PL,D,20200427,000000,20.16,22,16.8,17.18,9859,0
INTLBCO31179.PL,D,20200428,000000,13.75,20.4,13,18.42,17982,0
INTLBCO31179.PL,D,20200429,000000,19.46,24.21,17.2,24.13,15449,0
INTLBCO31179.PL,D,20200430,000000,28.81,33.5,28.64,33.5,4031,0
INTLBCO31179.PL,D,20200504,000000,30.27,33.2,28.5,32.81,616,0
INTLBCO31179.PL,D,20200505,000000,41.63,47.63,41.63,47.05,691,0
INTLBCO31179.PL,D,20200506,000000,50.45,53.65,45.64,45.64,909,0
INTLBCO31179.PL,D,20200507,000000,43.84,54.25,43.84,50.5,1410,0
INTLBCO31179.PL,D,20200508,000000,47.96,48.5,45.42,45.5,341,0
INTLBCO31179.PL,D,20200511,000000,48.61,52.45,47.5,49.18,179,0
INTLBCO31179.PL,D,20200512,000000,46,47.15,46,46.11,80,0
INTLBCO31179.PL,D,20200513,000000,45.39,46.5,43.19,46.41,1749,0
INTLBCO31179.PL,D,20200514,000000,46,49.25,46,47.16,380,0
INTLBCO31179.PL,D,20200515,000000,56.5,57.3,53.6,53.6,1644,0
INTLBCO31179.PL,D,20200518,000000,63.45,67.2,62.6,67.2,231,0
INTLBCO31179.PL,D,20200519,000000,68,68.85,67.2,67.9,152,0
INTLBCO31179.PL,D,20200520,000000,67.3,71.95,67.3,71.95,40,0
INTLBCO31179.PL,D,20200521,000000,71.8,74.65,71.8,74.65,42,0
INTLBCO31179.PL,D,20200522,000000,63,65,62.9,64,178,0
INTLBCO31179.PL,D,20200526,000000,71.85,71.85,71.85,71.85,11,0
INTLBCO31179.PL,D,20200527,000000,67,67.3,67,67.3,18,0
INTLBCO31179.PL,D,20200528,000000,61.5,63.8,60.85,63.8,178,0
INTLBCO31179.PL,D,20200529,000000,65.25,65.25,63.6,63.6,41,0
INTLBCO31179.PL,D,20200601,000000,73.3,75,73,75,357,0
INTLBCO31179.PL,D,20200602,000000,77,78.7,77,77,377,0
INTLBCO31179.PL,D,20200603,000000,81.5,81.5,78.9,78.9,634,0
INTLBCO31179.PL,D,20200605,000000,85.5,89,85.5,88.7,75,0
INTLBCO31179.PL,D,20200608,000000,92.8,92.8,89,89,208,0
INTLBCO31179.PL,D,20200609,000000,81.6,83,81.6,83,81,0
INTLBCO31179.PL,D,20200610,000000,83.5,83.5,83.5,83.5,10,0
INTLBCO31179.PL,D,20200612,000000,71,76.8,71,75.5,155,0
INTLBCO31179.PL,D,20200615,000000,72.6,75,72.6,75,108,0
INTLBCO31179.PL,D,20200616,000000,84.4,84.4,84.4,84.4,15,0
INTLBCO31179.PL,D,20200617,000000,85,85.6,84.1,85.6,50,0
INTLBCO31179.PL,D,20200618,000000,86.7,86.7,86.7,86.7,10,0
INTLBCO31179.PL,D,20200619,000000,91.3,93.5,91.3,93.5,153,0
