<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLCDR53199.PL,D,20220617,000000,2.3,2.31,2.26,2.3,3016,0
INTLCDR53199.PL,D,20220620,000000,2.26,2.41,2.26,2.41,1523,0
INTLCDR53199.PL,D,20220621,000000,2.37,2.43,2.18,2.18,2644,0
INTLCDR53199.PL,D,20220622,000000,1.9,1.9,1.9,1.9,1050,0
INTLCDR53199.PL,D,20220623,000000,2.24,2.24,2.24,2.24,550,0
INTLCDR53199.PL,D,20220624,000000,2.46,2.46,2.45,2.45,550,0
INTLCDR53199.PL,D,20220627,000000,2.5,2.58,2.42,2.42,10000,0
INTLCDR53199.PL,D,20220628,000000,2.77,2.77,2.77,2.77,1000,0
INTLCDR53199.PL,D,20220630,000000,2.69,3.06,2.69,3.06,2138,0
INTLCDR53199.PL,D,20220701,000000,2.72,2.72,2.72,2.72,4500,0
INTLCDR53199.PL,D,20220705,000000,2.35,2.35,2.05,2.05,6000,0
INTLCDR53199.PL,D,20220706,000000,2.45,2.73,2.45,2.73,1900,0
INTLCDR53199.PL,D,20220707,000000,3.3,3.3,3.3,3.3,200,0
INTLCDR53199.PL,D,20220713,000000,2.88,2.88,2.88,2.88,200,0
INTLCDR53199.PL,D,20220715,000000,2.64,2.64,2.5,2.5,2100,0
INTLCDR53199.PL,D,20220719,000000,2.52,2.52,2.52,2.52,200,0
INTLCDR53199.PL,D,20220720,000000,2.48,2.48,2.42,2.42,1700,0
INTLCDR53199.PL,D,20220722,000000,2.61,2.85,2.61,2.85,1760,0
INTLCDR53199.PL,D,20220725,000000,2.41,2.41,2.17,2.2,2513,0
INTLCDR53199.PL,D,20220726,000000,2,2.05,2,2,3500,0
INTLCDR53199.PL,D,20220727,000000,2.06,2.06,2.06,2.06,1000,0
INTLCDR53199.PL,D,20220729,000000,2.01,2.01,2.01,2.01,500,0
INTLCDR53199.PL,D,20220801,000000,1.9,1.9,1.9,1.9,500,0
INTLCDR53199.PL,D,20220802,000000,2.07,2.07,1.75,1.75,5389,0
INTLCDR53199.PL,D,20220803,000000,1.88,1.88,1.81,1.81,1500,0
INTLCDR53199.PL,D,20220804,000000,1.92,2.36,1.92,2.36,3553,0
INTLCDR53199.PL,D,20220805,000000,2.52,2.52,2.41,2.41,2400,0
INTLCDR53199.PL,D,20220808,000000,2.2,2.2,2.2,2.2,700,0
INTLCDR53199.PL,D,20220809,000000,2.13,2.13,1.95,1.95,3010,0
INTLCDR53199.PL,D,20220810,000000,2.1,2.1,2.1,2.1,510,0
INTLCDR53199.PL,D,20220811,000000,2.28,2.56,2.28,2.56,840,0
INTLCDR53199.PL,D,20220812,000000,2.4,2.4,2.4,2.4,500,0
INTLCDR53199.PL,D,20220816,000000,2.65,2.65,2.33,2.33,1010,0
INTLCDR53199.PL,D,20220817,000000,2.27,2.32,2.27,2.32,3200,0
INTLCDR53199.PL,D,20220819,000000,2.06,2.06,1.96,2,12200,0
INTLCDR53199.PL,D,20220822,000000,1.67,1.7,1.63,1.7,4000,0
INTLCDR53199.PL,D,20220823,000000,1.58,1.58,1.44,1.5,9042,0
INTLCDR53199.PL,D,20220824,000000,1.5,1.5,1.5,1.5,635,0
INTLCDR53199.PL,D,20220825,000000,1.57,1.57,1.5,1.5,6168,0
INTLCDR53199.PL,D,20220826,000000,1.5,1.55,1.48,1.55,3194,0
INTLCDR53199.PL,D,20220829,000000,1.22,1.22,1.22,1.22,1994,0
INTLCDR53199.PL,D,20220830,000000,1.28,1.5,1.28,1.28,850,0
INTLCDR53199.PL,D,20220831,000000,1.5,1.5,1.42,1.42,2513,0
INTLCDR53199.PL,D,20220901,000000,1.15,1.16,1.14,1.14,10300,0
