<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLDAX54221.PL,D,20220711,000000,43.55,48.4,43.3,47,144,0
INTLDAX54221.PL,D,20220712,000000,40.4,43.15,38.5,43.15,162,0
INTLDAX54221.PL,D,20220714,000000,34.3,35.1,25.95,25.95,664,0
INTLDAX54221.PL,D,20220715,000000,31.75,40.8,31.75,40.8,312,0
INTLDAX54221.PL,D,20220719,000000,49.85,65,49.85,65,4045,0
INTLDAX54221.PL,D,20220720,000000,62.7,62.9,62.7,62.9,8008,0
INTLDAX54221.PL,D,20220721,000000,62.5,62.5,62.5,62.5,45,0
INTLDAX54221.PL,D,20220725,000000,63,63.1,63,63.1,15,0
INTLDAX54221.PL,D,20220726,000000,55.9,55.9,55.9,55.9,7,0
INTLDAX54221.PL,D,20220728,000000,62,62,56.8,60.4,864,0
INTLDAX54221.PL,D,20220729,000000,70.9,70.9,70.9,70.9,50,0
INTLDAX54221.PL,D,20220818,000000,83,85,83,85,100,0
INTLDAX54221.PL,D,20220819,000000,78.8,78.8,78.8,78.8,25,0
INTLDAX54221.PL,D,20220822,000000,61.9,61.9,61.4,61.4,125,0
INTLDAX54221.PL,D,20220823,000000,58.9,58.9,58.9,58.9,25,0
INTLDAX54221.PL,D,20220824,000000,59,59,59,59,5,0
INTLDAX54221.PL,D,20220825,000000,62,64.2,61.3,64.2,259,0
INTLDAX54221.PL,D,20220826,000000,62.8,62.8,62.8,62.8,50,0
INTLDAX54221.PL,D,20220829,000000,41.9,46.05,40.8,45.9,200,0
INTLDAX54221.PL,D,20220831,000000,47.25,47.25,40.75,43.7,166,0
INTLDAX54221.PL,D,20220901,000000,36,36,32.05,32.05,2264,0
INTLDAX54221.PL,D,20220902,000000,37.6,39.55,37.6,39.55,2065,0
INTLDAX54221.PL,D,20220905,000000,33.55,38.15,32.95,38.15,790,0
