<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLDNP51946.PL,D,20220523,000000,6,6.22,6,6.22,3660,0
INTLDNP51946.PL,D,20220524,000000,6.06,6.06,6.04,6.04,1507,0
INTLDNP51946.PL,D,20220525,000000,5.53,5.53,5.13,5.13,3728,0
INTLDNP51946.PL,D,20220526,000000,4.19,4.99,4.12,4.99,5325,0
INTLDNP51946.PL,D,20220527,000000,5.45,5.45,5.44,5.44,400,0
INTLDNP51946.PL,D,20220531,000000,5.33,5.56,5.33,5.56,1000,0
INTLDNP51946.PL,D,20220601,000000,5.18,5.18,5.18,5.18,250,0
INTLDNP51946.PL,D,20220602,000000,5.83,5.83,5.83,5.83,1250,0
INTLDNP51946.PL,D,20220603,000000,7.4,7.4,7.4,7.4,350,0
INTLDNP51946.PL,D,20220606,000000,7.13,7.13,6.96,6.96,1470,0
INTLDNP51946.PL,D,20220607,000000,5.86,5.86,5.84,5.84,1500,0
INTLDNP51946.PL,D,20220608,000000,6.09,6.48,6.09,6.34,2244,0
INTLDNP51946.PL,D,20220610,000000,6.19,6.19,6.19,6.19,1000,0
INTLDNP51946.PL,D,20220614,000000,6.12,6.32,6.12,6.32,1750,0
INTLDNP51946.PL,D,20220615,000000,5.15,5.15,5,5,850,0
INTLDNP51946.PL,D,20220617,000000,4.68,4.91,4.57,4.87,1695,0
INTLDNP51946.PL,D,20220621,000000,5.23,5.52,5.12,5.12,1517,0
INTLDNP51946.PL,D,20220622,000000,5.21,5.44,5.21,5.44,1612,0
INTLDNP51946.PL,D,20220624,000000,6.24,6.24,6.24,6.24,1800,0
INTLDNP51946.PL,D,20220629,000000,7.52,7.62,7.52,7.62,1000,0
INTLDNP51946.PL,D,20220704,000000,8.52,8.52,8.52,8.52,65,0
INTLDNP51946.PL,D,20220705,000000,9.53,9.53,9.37,9.37,985,0
INTLDNP51946.PL,D,20220714,000000,7.9,7.9,7.9,7.9,200,0
INTLDNP51946.PL,D,20220720,000000,8.53,8.53,8.53,8.53,40,0
INTLDNP51946.PL,D,20220727,000000,9.99,9.99,9.99,9.99,40,0
INTLDNP51946.PL,D,20220816,000000,13.3,13.3,13.3,13.3,1600,0
INTLDNP51946.PL,D,20220817,000000,13.08,13.08,13.08,13.08,920,0
