<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLDOW37267.PL,D,20210114,000000,94.9,95.6,94.9,95.6,95,0
INTLDOW37267.PL,D,20210115,000000,83.6,83.6,83.6,83.6,31,0
INTLDOW37267.PL,D,20210118,000000,81.8,82.4,80.8,80.8,450,0
INTLDOW37267.PL,D,20210119,000000,84,84,84,84,450,0
INTLDOW37267.PL,D,20210120,000000,86.4,92,86.4,92,111,0
INTLDOW37267.PL,D,20210127,000000,79,79,79,79,64,0
INTLDOW37267.PL,D,20210129,000000,62,62,62,62,80,0
INTLDOW37267.PL,D,20210202,000000,64,70.2,64,70.2,395,0
INTLDOW37267.PL,D,20210203,000000,69.5,69.5,69.5,69.5,4,0
INTLDOW37267.PL,D,20210204,000000,75.3,76.5,75.3,76.5,135,0
INTLDOW37267.PL,D,20210205,000000,91.8,91.8,91.8,91.8,12,0
INTLDOW37267.PL,D,20210208,000000,94,94.5,94,94.5,117,0
INTLDOW37267.PL,D,20210209,000000,97.8,97.8,97.6,97.6,300,0
INTLDOW37267.PL,D,20210211,000000,104,104,103.8,103.8,498,0
INTLDOW37267.PL,D,20210215,000000,106.6,107.6,106.6,107.6,636,0
INTLDOW37267.PL,D,20210216,000000,109.8,109.8,106,108,182,0
INTLDOW37267.PL,D,20210219,000000,103.8,103.8,103.8,103.8,21,0
INTLDOW37267.PL,D,20210223,000000,108,108,108,108,8,0
INTLDOW37267.PL,D,20210225,000000,120.2,120.2,120.2,120.2,15,0
INTLDOW37267.PL,D,20210226,000000,99,99.2,99,99.2,20,0
INTLDOW37267.PL,D,20210301,000000,96,107,96,107,20,0
INTLDOW37267.PL,D,20210312,000000,144.6,144.6,144.6,144.6,98,0
INTLDOW37267.PL,D,20210316,000000,162.6,162.6,162.6,162.6,60,0
INTLDOW37267.PL,D,20210317,000000,160.4,160.4,160.4,160.4,60,0
INTLDOW37267.PL,D,20210318,000000,167,167,167,167,4,0
INTLDOW37267.PL,D,20210324,000000,146.6,146.6,146.6,146.6,98,0
INTLDOW37267.PL,D,20210510,000000,231.5,231.5,231.5,231.5,1,0
INTLDOW37267.PL,D,20210628,000000,209,209,209,209,1,0
INTLDOW37267.PL,D,20220124,000000,210.5,210.5,188.4,188.4,8,0
INTLDOW37267.PL,D,20220505,000000,199.6,199.6,199.6,199.6,5,0
INTLDOW37267.PL,D,20220523,000000,99.6,99.6,99.6,99.6,3,0
INTLDOW37267.PL,D,20220601,000000,163,163,153.6,153.6,100,0
INTLDOW37267.PL,D,20220614,000000,52.2,52.2,41.15,41.15,80,0
