<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLESX35949.PL,D,20201125,000000,20.15,20.15,20.15,20.15,140,0
INTLESX35949.PL,D,20201209,000000,21.65,21.65,21.35,21.35,200,0
INTLESX35949.PL,D,20201221,000000,16.84,16.84,16.84,16.84,29,0
INTLESX35949.PL,D,20201223,000000,20.6,20.6,20.6,20.6,29,0
INTLESX35949.PL,D,20201228,000000,23.15,23.15,23.15,23.15,140,0
INTLESX35949.PL,D,20220304,000000,26.35,26.35,24.4,24.4,128,0
INTLESX35949.PL,D,20220309,000000,29.3,29.5,28.8,28.8,168,0
INTLESX35949.PL,D,20220321,000000,38.5,38.5,38.5,38.5,40,0
INTLESX35949.PL,D,20220322,000000,39.7,39.7,39.7,39.7,2503,0
INTLESX35949.PL,D,20220330,000000,41.75,41.75,41.75,41.75,2503,0
INTLESX35949.PL,D,20220609,000000,33.15,33.15,33.15,33.15,30,0
INTLESX35949.PL,D,20220610,000000,29.4,29.6,27.5,27.5,120,0
INTLESX35949.PL,D,20220614,000000,24,24,20.85,23.1,1370,0
INTLESX35949.PL,D,20220615,000000,23.45,23.45,23.45,23.45,50,0
INTLESX35949.PL,D,20220622,000000,19.3,19.62,19.3,19.62,100,0
INTLESX35949.PL,D,20220623,000000,18.9,20.8,18.9,19.5,200,0
INTLESX35949.PL,D,20220624,000000,21.15,23.7,21.15,23.7,250,0
INTLESX35949.PL,D,20220627,000000,25.2,26.2,23.5,23.5,200,0
INTLESX35949.PL,D,20220628,000000,25.85,26,24.7,25.85,250,0
INTLESX35949.PL,D,20220629,000000,22.6,23.4,22.6,23,150,0
INTLESX35949.PL,D,20220630,000000,19.56,19.94,18.28,18.28,488,0
INTLESX35949.PL,D,20220701,000000,19.46,20.9,19.46,20.9,150,0
INTLESX35949.PL,D,20220704,000000,20.85,20.85,19.84,19.84,110,0
INTLESX35949.PL,D,20220706,000000,18.2,18.2,17.84,18,227,0
INTLESX35949.PL,D,20220707,000000,21.25,21.7,21.25,21.5,217,0
INTLESX35949.PL,D,20220811,000000,33.8,33.8,33.8,33.8,40,0
INTLESX35949.PL,D,20220817,000000,35.45,35.45,35.45,35.45,40,0
INTLESX35949.PL,D,20220819,000000,35.1,35.1,35.1,35.1,60,0
INTLESX35949.PL,D,20220901,000000,20.7,20.7,20.7,20.7,60,0
