<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLEUD51219.PL,D,20220509,000000,54.6,54.7,54.6,54.7,50,0
INTLEUD51219.PL,D,20220523,000000,58.7,58.7,58.6,58.6,200,0
INTLEUD51219.PL,D,20220613,000000,49.7,49.7,49.7,49.7,200,0
INTLEUD51219.PL,D,20220628,000000,52,52,52,52,8,0
INTLEUD51219.PL,D,20220630,000000,47.85,47.85,47.85,47.85,8,0
INTLEUD51219.PL,D,20220705,000000,42.1,42.55,41,41,7208,0
INTLEUD51219.PL,D,20220706,000000,40.5,40.5,37.7,37.7,100,0
INTLEUD51219.PL,D,20220708,000000,35,37.1,33.95,37.1,480,0
INTLEUD51219.PL,D,20220711,000000,33,33,33,33,10,0
INTLEUD51219.PL,D,20220712,000000,30.85,31.75,30,31.75,317,0
INTLEUD51219.PL,D,20220713,000000,30.25,32.9,29.85,31.6,700,0
INTLEUD51219.PL,D,20220714,000000,30.45,30.45,27.45,27.45,393,0
INTLEUD51219.PL,D,20220715,000000,30.2,32.6,30.2,32.6,1251,0
INTLEUD51219.PL,D,20220718,000000,34.05,37.55,34.05,37.55,1750,0
INTLEUD51219.PL,D,20220719,000000,36.8,39.25,36.8,39.25,1359,0
INTLEUD51219.PL,D,20220722,000000,34.75,34.75,34.75,34.75,33,0
INTLEUD51219.PL,D,20220726,000000,34.65,34.65,34.05,34.05,488,0
INTLEUD51219.PL,D,20220727,000000,34.45,34.45,34.45,34.45,300,0
INTLEUD51219.PL,D,20220729,000000,38.55,38.55,35.2,35.85,540,0
INTLEUD51219.PL,D,20220802,000000,38.05,38.05,36.35,36.35,186,0
INTLEUD51219.PL,D,20220808,000000,35.25,35.25,35.25,35.25,78,0
INTLEUD51219.PL,D,20220809,000000,35.85,35.85,35.85,35.85,60,0
INTLEUD51219.PL,D,20220810,000000,38,38,38,38,60,0
INTLEUD51219.PL,D,20220818,000000,33.35,33.35,33.35,33.35,280,0
INTLEUD51219.PL,D,20220822,000000,26.5,26.5,25,25,270,0
INTLEUD51219.PL,D,20220823,000000,22.25,26.05,22.25,26.05,1232,0
INTLEUD51219.PL,D,20220824,000000,23.2,23.35,23,23.35,9851,0
INTLEUD51219.PL,D,20220825,000000,26.55,26.75,24.4,25.95,895,0
INTLEUD51219.PL,D,20220826,000000,27,29,27,27.75,150,0
INTLEUD51219.PL,D,20220829,000000,23.45,26.55,23,26.55,380,0
INTLEUD51219.PL,D,20220830,000000,24.9,26.9,24.9,26.9,170,0
INTLEUD51219.PL,D,20220831,000000,27.3,27.3,27.3,27.3,280,0
INTLEUD51219.PL,D,20220901,000000,26.7,26.75,22,22,7427,0
INTLEUD51219.PL,D,20220902,000000,24.65,26.2,23.9,25.55,1685,0
INTLEUD51219.PL,D,20220905,000000,20.6,22.2,20.6,21.8,591,0
