<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLEUR53983.PL,D,20220711,000000,18.82,19.98,18.82,19.98,4000,0
INTLEUR53983.PL,D,20220712,000000,20.1,21.8,20.1,21.8,2228,0
INTLEUR53983.PL,D,20220713,000000,23.45,23.75,23,23,4001,0
INTLEUR53983.PL,D,20220714,000000,21.3,21.3,20.5,21.05,1150,0
INTLEUR53983.PL,D,20220715,000000,21,21.7,17,17.24,2125,0
INTLEUR53983.PL,D,20220718,000000,16.98,17.4,16.46,17.4,360,0
INTLEUR53983.PL,D,20220719,000000,16.16,16.16,13.96,15.52,1200,0
INTLEUR53983.PL,D,20220720,000000,14.48,18.02,13.48,15.98,2505,0
INTLEUR53983.PL,D,20220721,000000,16.22,16.22,13.84,14.5,2560,0
INTLEUR53983.PL,D,20220722,000000,14.58,16.04,12.5,12.5,7931,0
INTLEUR53983.PL,D,20220725,000000,10.68,11.54,7.96,7.96,7710,0
