<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLGBP38059.PL,D,20210412,000000,32,32,32,32,312,0
INTLGBP38059.PL,D,20210514,000000,34.45,34.45,34.45,34.45,312,0
INTLGBP38059.PL,D,20210601,000000,25.85,25.85,25.85,25.85,73,0
INTLGBP38059.PL,D,20210602,000000,26.25,26.25,26.25,26.25,60,0
INTLGBP38059.PL,D,20210604,000000,27.9,27.9,27.9,27.9,60,0
INTLGBP38059.PL,D,20210607,000000,27.95,27.95,27.95,27.95,227,0
INTLGBP38059.PL,D,20210609,000000,25.75,25.75,23.95,23.95,380,0
INTLGBP38059.PL,D,20210610,000000,26.45,27.05,26.45,27.05,415,0
INTLGBP38059.PL,D,20210614,000000,30.3,32,30.3,32,68,0
INTLGBP38059.PL,D,20210615,000000,32.4,32.4,32.4,32.4,33,0
INTLGBP38059.PL,D,20210616,000000,34.5,34.5,34.4,34.4,300,0
INTLGBP38059.PL,D,20211005,000000,46.45,46.45,46.45,46.45,6,0
INTLGBP38059.PL,D,20211008,000000,48.7,49,48.7,49,29,0
INTLGBP38059.PL,D,20211011,000000,45.95,45.95,45.95,45.95,23,0
INTLGBP38059.PL,D,20211014,000000,44.5,44.5,44.5,44.5,16,0
INTLGBP38059.PL,D,20211018,000000,47,47,47,47,16,0
INTLGBP38059.PL,D,20211026,000000,52.3,52.3,52.3,52.3,4,0
INTLGBP38059.PL,D,20211104,000000,46,46,46,46,4,0
INTLGBP38059.PL,D,20211203,000000,41.55,41.55,41.55,41.55,29,0
INTLGBP38059.PL,D,20220110,000000,45.6,45.6,45.6,45.6,29,0
INTLGBP38059.PL,D,20220217,000000,41.45,41.45,41.45,41.45,30,0
INTLGBP38059.PL,D,20220225,000000,55.7,55.7,55.7,55.7,7,0
INTLGBP38059.PL,D,20220301,000000,69,69,68.4,68.4,27,0
INTLGBP38059.PL,D,20220307,000000,104.8,104.8,104.8,104.8,10,0
INTLGBP38059.PL,D,20220308,000000,97.9,97.9,92.1,92.1,20,0
INTLGBP38059.PL,D,20220309,000000,81,81,81,81,20,0
INTLGBP38059.PL,D,20220314,000000,61.9,61.9,59.7,59.7,28,0
INTLGBP38059.PL,D,20220316,000000,53.8,53.8,53.8,53.8,33,0
INTLGBP38059.PL,D,20220323,000000,62.3,63.4,62.3,63.4,37,0
INTLGBP38059.PL,D,20220329,000000,46.6,46.6,46.6,46.6,30,0
INTLGBP38059.PL,D,20220331,000000,43.75,43.75,43.75,43.75,20,0
INTLGBP38059.PL,D,20220411,000000,51.8,51.9,51.8,51.9,34,0
INTLGBP38059.PL,D,20220412,000000,53.9,53.9,53.9,53.9,12,0
INTLGBP38059.PL,D,20220524,000000,32.75,32.75,32.75,32.75,6,0
INTLGBP38059.PL,D,20220527,000000,33.7,33.7,33.7,33.7,9,0
INTLGBP38059.PL,D,20220531,000000,29.05,30.35,28.8,28.8,400,0
INTLGBP38059.PL,D,20220601,000000,30.45,30.45,29.05,29.15,800,0
INTLGBP38059.PL,D,20220602,000000,29.25,29.25,27.75,27.75,900,0
INTLGBP38059.PL,D,20220603,000000,27.65,27.65,27.65,27.65,400,0
INTLGBP38059.PL,D,20220607,000000,26.85,28.2,26.85,28.2,500,0
INTLGBP38059.PL,D,20220608,000000,27.75,27.75,25.25,26.6,3400,0
INTLGBP38059.PL,D,20220609,000000,27.5,32.5,25.65,32.5,2600,0
INTLGBP38059.PL,D,20220610,000000,30.45,33.25,30.45,33.25,300,0
INTLGBP38059.PL,D,20220613,000000,30.7,33.45,29.9,33.45,600,0
INTLGBP38059.PL,D,20220614,000000,30.7,31.5,27.1,28.1,2700,0
INTLGBP38059.PL,D,20220615,000000,25.6,31.85,25.6,31.85,2210,0
INTLGBP38059.PL,D,20220617,000000,39.95,40.4,36.65,36.65,639,0
INTLGBP38059.PL,D,20220620,000000,33.85,33.85,33.7,33.7,106,0
INTLGBP38059.PL,D,20220622,000000,35.1,35.1,35.1,35.1,100,0
INTLGBP38059.PL,D,20220623,000000,38.25,38.25,38.25,38.25,100,0
INTLGBP38059.PL,D,20220627,000000,33.75,33.75,33.75,33.75,15,0
INTLGBP38059.PL,D,20220705,000000,37.3,43.25,37.3,43.25,500,0
INTLGBP38059.PL,D,20220706,000000,47.65,47.65,47.65,47.65,100,0
INTLGBP38059.PL,D,20220707,000000,49.8,53.4,49.8,53.4,204,0
INTLGBP38059.PL,D,20220708,000000,56,56,49.95,49.95,104,0
INTLGBP38059.PL,D,20220711,000000,54.2,54.2,54.2,54.2,7,0
INTLGBP38059.PL,D,20220715,000000,50.6,50.6,50.6,50.6,7,0
INTLGBP38059.PL,D,20220722,000000,45.45,45.45,45.45,45.45,50,0
INTLGBP38059.PL,D,20220727,000000,51,51,51,51,50,0
INTLGBP38059.PL,D,20220805,000000,43.7,43.7,43.7,43.7,15,0
INTLGBP38059.PL,D,20220808,000000,42.6,42.6,42.6,42.6,130,0
INTLGBP38059.PL,D,20220812,000000,36.25,36.25,36.25,36.25,130,0
INTLGBP38059.PL,D,20220816,000000,39.3,39.3,39.3,39.3,80,0
INTLGBP38059.PL,D,20220818,000000,42.1,42.1,42.1,42.1,80,0
INTLGBP38059.PL,D,20220826,000000,43.25,43.25,43.25,43.25,50,0
INTLGBP38059.PL,D,20220829,000000,37.85,37.85,37.85,37.85,55,0
INTLGBP38059.PL,D,20220902,000000,26,26,26,26,380,0
INTLGBP38059.PL,D,20220905,000000,28.6,29.45,28.4,29.45,880,0
