<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLGLD11726.PL,D,20171220,000000,93.3,93.3,93.3,93.3,11,0
INTLGLD11726.PL,D,20171229,000000,102.3,102.3,102.3,102.3,55,0
INTLGLD11726.PL,D,20180104,000000,106.1,106.1,106.1,106.1,7,0
INTLGLD11726.PL,D,20180105,000000,107.4,107.4,107.4,107.4,5,0
INTLGLD11726.PL,D,20180108,000000,107.1,109.3,107.1,109.3,65,0
INTLGLD11726.PL,D,20180110,000000,110.3,110.3,110.3,110.3,20,0
INTLGLD11726.PL,D,20180111,000000,109.5,109.5,109.5,109.5,10,0
INTLGLD11726.PL,D,20180112,000000,111.2,111.7,111.2,111.7,52,0
INTLGLD11726.PL,D,20180116,000000,112,112,112,112,60,0
INTLGLD11726.PL,D,20180117,000000,112,112,112,112,40,0
INTLGLD11726.PL,D,20180119,000000,111.5,111.7,111.5,111.7,42,0
INTLGLD11726.PL,D,20180124,000000,114.6,114.6,114.6,114.6,20,0
INTLGLD11726.PL,D,20180125,000000,115.9,115.9,115.9,115.9,5,0
INTLGLD11726.PL,D,20180130,000000,110.7,112.6,110.7,112.6,110,0
INTLGLD11726.PL,D,20180131,000000,111,111,111,111,150,0
INTLGLD11726.PL,D,20180205,000000,109.1,109.1,109.1,109.1,100,0
INTLGLD11726.PL,D,20180206,000000,111.9,111.9,111.9,111.9,50,0
INTLGLD11726.PL,D,20180208,000000,102,102,102,102,50,0
INTLGLD11726.PL,D,20180212,000000,106,106.1,106,106.1,260,0
INTLGLD11726.PL,D,20180213,000000,107.5,108,107.5,108,50,0
INTLGLD11726.PL,D,20180215,000000,114.4,114.4,114.4,114.4,5,0
INTLGLD11726.PL,D,20180219,000000,112.4,112.4,112.4,112.4,5,0
INTLGLD11726.PL,D,20180226,000000,108,108,108,108,23,0
INTLGLD11726.PL,D,20180302,000000,104.4,104.4,104.4,104.4,100,0
INTLGLD11726.PL,D,20180306,000000,104.4,104.4,104.4,104.4,9,0
INTLGLD11726.PL,D,20180308,000000,105.4,105.4,105.4,105.4,24,0
INTLGLD11726.PL,D,20180319,000000,101.9,101.9,101.9,101.9,20,0
INTLGLD11726.PL,D,20180320,000000,100.8,100.8,100.8,100.8,10,0
INTLGLD11726.PL,D,20180321,000000,102.9,102.9,102.9,102.9,10,0
INTLGLD11726.PL,D,20180322,000000,108.6,108.6,106.9,106.9,65,0
INTLGLD11726.PL,D,20180323,000000,111,113.2,111,113.2,76,0
INTLGLD11726.PL,D,20180326,000000,113.9,113.9,113.9,113.9,20,0
INTLGLD11726.PL,D,20180327,000000,114.5,114.5,114.5,114.5,50,0
INTLGLD11726.PL,D,20180328,000000,110.4,110.4,106.8,106.8,32,0
INTLGLD11726.PL,D,20180406,000000,105.3,105.3,105.3,105.3,9,0
INTLGLD11726.PL,D,20180412,000000,108.1,108.1,108.1,108.1,10,0
INTLGLD11726.PL,D,20180430,000000,103,103,103,103,5,0
INTLGLD11726.PL,D,20180509,000000,103.9,103.9,103.9,103.9,7,0
INTLGLD11726.PL,D,20180515,000000,102,102,102,102,83,0
INTLGLD11726.PL,D,20180516,000000,95.6,96.05,95.6,96.05,17,0
INTLGLD11726.PL,D,20180518,000000,96.2,96.2,96.2,96.2,5,0
INTLGLD11726.PL,D,20180524,000000,102.4,102.4,102.4,102.4,10,0
INTLGLD11726.PL,D,20180605,000000,97.05,97.05,97.05,97.05,5,0
INTLGLD11726.PL,D,20180614,000000,100,100,100,100,15,0
INTLGLD11726.PL,D,20180621,000000,87.15,87.15,87.15,87.15,18,0
INTLGLD11726.PL,D,20180625,000000,88.8,88.8,88.8,88.8,5,0
INTLGLD11726.PL,D,20180627,000000,84,84,84,84,45,0
INTLGLD11726.PL,D,20180629,000000,82,82,82,82,9,0
INTLGLD11726.PL,D,20180704,000000,84.2,84.2,84.2,84.2,9,0
INTLGLD11726.PL,D,20180705,000000,83.7,83.7,83.7,83.7,13,0
INTLGLD11726.PL,D,20180713,000000,77.4,77.4,77.4,77.4,30,0
INTLGLD11726.PL,D,20180716,000000,77.3,77.3,77,77,28,0
INTLGLD11726.PL,D,20180717,000000,75.75,75.75,72.3,72.3,80,0
INTLGLD11726.PL,D,20180718,000000,69.9,69.9,69.9,69.9,13,0
INTLGLD11726.PL,D,20180719,000000,67.7,67.7,66.95,66.95,25,0
INTLGLD11726.PL,D,20180723,000000,72.7,72.7,72.7,72.7,20,0
INTLGLD11726.PL,D,20180724,000000,70.9,70.9,70.9,70.9,13,0
INTLGLD11726.PL,D,20180725,000000,71.5,71.5,71.5,71.5,14,0
INTLGLD11726.PL,D,20180726,000000,70.7,70.7,70.7,70.7,10,0
INTLGLD11726.PL,D,20180801,000000,66.5,66.5,66.5,66.5,100,0
INTLGLD11726.PL,D,20180803,000000,62.6,62.6,62.6,62.6,40,0
INTLGLD11726.PL,D,20180809,000000,64.55,64.55,64.55,64.55,16,0
INTLGLD11726.PL,D,20180810,000000,63.6,66.55,63.6,66.55,24,0
INTLGLD11726.PL,D,20180813,000000,62.3,63.2,60.05,61.15,116,0
INTLGLD11726.PL,D,20180814,000000,58.9,59.55,58.9,59.55,30,0
INTLGLD11726.PL,D,20180816,000000,51.75,54,51.4,52.55,264,0
INTLGLD11726.PL,D,20180817,000000,51.55,51.55,51.55,51.55,10,0
INTLGLD11726.PL,D,20180820,000000,55.65,55.65,55.65,55.65,15,0
INTLGLD11726.PL,D,20180821,000000,57.6,57.6,56.25,56.25,48,0
INTLGLD11726.PL,D,20180822,000000,57.75,58.5,57.75,58.5,35,0
INTLGLD11726.PL,D,20180823,000000,54.55,55.75,54.55,55.75,105,0
INTLGLD11726.PL,D,20180827,000000,60.65,62.3,59.95,62.3,196,0
INTLGLD11726.PL,D,20180828,000000,62.45,63.25,60.4,60.4,273,0
INTLGLD11726.PL,D,20180829,000000,59.6,59.8,59.6,59.65,116,0
INTLGLD11726.PL,D,20180904,000000,57.2,57.2,56.25,56.85,192,0
INTLGLD11726.PL,D,20180906,000000,58.15,60.9,58.15,60.9,47,0
INTLGLD11726.PL,D,20180907,000000,56.65,56.65,56.65,56.65,13,0
INTLGLD11726.PL,D,20180910,000000,56.8,56.8,56.8,56.8,200,0
INTLGLD11726.PL,D,20180911,000000,55,55,55,55,300,0
INTLGLD11726.PL,D,20180913,000000,59.25,61.15,59.25,61.15,173,0
INTLGLD11726.PL,D,20180914,000000,60.05,60.05,58.3,58.3,13,0
INTLGLD11726.PL,D,20180917,000000,56,57.25,55.95,57.25,90,0
INTLGLD11726.PL,D,20180918,000000,56.3,56.3,56.3,56.3,20,0
INTLGLD11726.PL,D,20180919,000000,58,58,58,58,50,0
INTLGLD11726.PL,D,20180921,000000,59.45,59.45,54.6,54.6,82,0
INTLGLD11726.PL,D,20180924,000000,57.2,57.25,57.2,57.25,45,0
INTLGLD11726.PL,D,20180926,000000,55.5,55.5,55,55,70,0
INTLGLD11726.PL,D,20180927,000000,55,55,50.9,50.9,30,0
INTLGLD11726.PL,D,20180928,000000,50.3,51.4,50.3,51.4,355,0
INTLGLD11726.PL,D,20181001,000000,53,53,53,53,40,0
