<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLJSW44792.PL,D,20211129,000000,0.95,1.05,0.95,1.03,40000,0
INTLJSW44792.PL,D,20211130,000000,1.26,1.26,1.26,1.26,20000,0
INTLJSW44792.PL,D,20211206,000000,1.31,1.31,1.31,1.31,1940,0
INTLJSW44792.PL,D,20211214,000000,0.88,1.13,0.88,1.08,40000,0
INTLJSW44792.PL,D,20211216,000000,0.89,0.92,0.87,0.88,140000,0
INTLJSW44792.PL,D,20211220,000000,0.51,0.68,0.51,0.67,48995,0
INTLJSW44792.PL,D,20211221,000000,0.7,0.7,0.59,0.62,39030,0
INTLJSW44792.PL,D,20211222,000000,0.7,0.7,0.56,0.61,92595,0
INTLJSW44792.PL,D,20211223,000000,0.54,0.65,0.54,0.6,31077,0
INTLJSW44792.PL,D,20211227,000000,0.58,0.58,0.37,0.42,111846,0
INTLJSW44792.PL,D,20211228,000000,0.47,0.6,0.47,0.52,188184,0
INTLJSW44792.PL,D,20211229,000000,0.54,0.66,0.53,0.66,69911,0
INTLJSW44792.PL,D,20211230,000000,0.68,0.68,0.58,0.62,78645,0
INTLJSW44792.PL,D,20220103,000000,0.67,0.72,0.64,0.64,140918,0
INTLJSW44792.PL,D,20220104,000000,0.58,0.62,0.55,0.62,11630,0
INTLJSW44792.PL,D,20220105,000000,0.69,0.73,0.68,0.71,67881,0
INTLJSW44792.PL,D,20220107,000000,0.68,0.92,0.68,0.89,116168,0
INTLJSW44792.PL,D,20220110,000000,1.02,1.08,0.86,0.92,208463,0
INTLJSW44792.PL,D,20220111,000000,0.9,1.02,0.89,1.01,104034,0
INTLJSW44792.PL,D,20220112,000000,1.12,1.19,1.08,1.14,155792,0
INTLJSW44792.PL,D,20220113,000000,1.16,1.2,1.12,1.12,130335,0
INTLJSW44792.PL,D,20220114,000000,1.11,1.15,1.05,1.08,84465,0
INTLJSW44792.PL,D,20220117,000000,1.26,1.33,1.16,1.21,139824,0
INTLJSW44792.PL,D,20220118,000000,1.19,1.22,1.11,1.18,60517,0
INTLJSW44792.PL,D,20220119,000000,1.01,1.11,0.96,1.11,16066,0
INTLJSW44792.PL,D,20220120,000000,1.18,1.18,1.05,1.06,70000,0
INTLJSW44792.PL,D,20220121,000000,1.04,1.04,0.9,0.9,22690,0
INTLJSW44792.PL,D,20220124,000000,0.9,0.9,0.53,0.54,212547,0
INTLJSW44792.PL,D,20220125,000000,0.64,0.68,0.43,0.63,254785,0
INTLJSW44792.PL,D,20220126,000000,0.78,0.92,0.77,0.85,72950,0
INTLJSW44792.PL,D,20220127,000000,0.83,1.05,0.83,1.03,74151,0
INTLJSW44792.PL,D,20220128,000000,1,1.1,0.95,1.08,133710,0
INTLJSW44792.PL,D,20220131,000000,1.23,1.29,1.04,1.04,305718,0
INTLJSW44792.PL,D,20220201,000000,1.06,1.29,0.97,1.28,511040,0
INTLJSW44792.PL,D,20220202,000000,1.4,1.8,1.34,1.77,954865,0
INTLJSW44792.PL,D,20220203,000000,1.72,1.72,1.57,1.59,249610,0
INTLJSW44792.PL,D,20220204,000000,1.63,1.65,1.4,1.6,647913,0
INTLJSW44792.PL,D,20220207,000000,1.7,1.7,1.57,1.62,170080,0
INTLJSW44792.PL,D,20220208,000000,1.66,1.68,1.55,1.67,194380,0
INTLJSW44792.PL,D,20220209,000000,1.78,1.96,1.78,1.86,41877,0
INTLJSW44792.PL,D,20220210,000000,2.04,2.07,1.85,1.85,57500,0
INTLJSW44792.PL,D,20220211,000000,1.76,1.94,1.76,1.94,76490,0
INTLJSW44792.PL,D,20220214,000000,1.77,1.82,1.59,1.65,240870,0
INTLJSW44792.PL,D,20220215,000000,1.68,1.95,1.68,1.86,253941,0
INTLJSW44792.PL,D,20220216,000000,2.01,2.01,1.78,1.8,86444,0
INTLJSW44792.PL,D,20220217,000000,1.73,1.73,1.5,1.51,285644,0
INTLJSW44792.PL,D,20220218,000000,1.6,1.64,1.45,1.51,181320,0
INTLJSW44792.PL,D,20220221,000000,1.6,1.64,1.2,1.3,75770,0
INTLJSW44792.PL,D,20220222,000000,1.17,1.54,1.16,1.52,324826,0
INTLJSW44792.PL,D,20220223,000000,1.69,1.76,1.49,1.49,153200,0
INTLJSW44792.PL,D,20220224,000000,1.07,1.36,0.77,0.9,510930,0
INTLJSW44792.PL,D,20220225,000000,1.1,1.29,1.07,1.21,521351,0
INTLJSW44792.PL,D,20220228,000000,1.49,2.11,1.49,1.93,373985,0
INTLJSW44792.PL,D,20220301,000000,2.57,2.6,2.18,2.37,461722,0
INTLJSW44792.PL,D,20220302,000000,2.79,3.81,2.69,3.78,181065,0
INTLJSW44792.PL,D,20220303,000000,4.75,4.75,3.28,3.91,560100,0
INTLJSW44792.PL,D,20220304,000000,4.05,4.55,3.8,4.17,324414,0
INTLJSW44792.PL,D,20220307,000000,4.68,5.13,4.1,4.1,119300,0
INTLJSW44792.PL,D,20220308,000000,3.99,4.1,3.69,4.05,49578,0
INTLJSW44792.PL,D,20220309,000000,4.14,4.14,3.68,3.68,28000,0
INTLJSW44792.PL,D,20220310,000000,3.94,4.08,3.75,3.86,36770,0
INTLJSW44792.PL,D,20220311,000000,4.12,4.12,3.84,3.89,22000,0
INTLJSW44792.PL,D,20220314,000000,4.11,4.11,3.86,3.86,4000,0
INTLJSW44792.PL,D,20220315,000000,3.67,3.67,3.54,3.54,4000,0
INTLJSW44792.PL,D,20220316,000000,3.92,3.92,3.46,3.46,41450,0
INTLJSW44792.PL,D,20220317,000000,3.59,3.93,3.58,3.93,41040,0
INTLJSW44792.PL,D,20220318,000000,4.23,4.37,4.07,4.07,41800,0
INTLJSW44792.PL,D,20220321,000000,4.13,4.22,4.13,4.22,1800,0
INTLJSW44792.PL,D,20220322,000000,4.29,4.51,4.27,4.51,8795,0
INTLJSW44792.PL,D,20220323,000000,4.79,4.79,4.51,4.51,6300,0
INTLJSW44792.PL,D,20220329,000000,4.7,4.7,4.6,4.66,2380,0
INTLJSW44792.PL,D,20220330,000000,4.86,4.86,4.86,4.86,1000,0
INTLJSW44792.PL,D,20220404,000000,4.46,4.46,4.46,4.46,1000,0
INTLJSW44792.PL,D,20220405,000000,4.09,4.5,4.08,4.34,51499,0
INTLJSW44792.PL,D,20220414,000000,4.39,4.39,4.39,4.39,1000,0
INTLJSW44792.PL,D,20220420,000000,4.07,4.07,4.07,4.07,750,0
INTLJSW44792.PL,D,20220422,000000,3.73,3.73,3.69,3.69,180,0
INTLJSW44792.PL,D,20220425,000000,3.25,3.25,3.25,3.25,1000,0
INTLJSW44792.PL,D,20220505,000000,3.81,3.81,3.81,3.81,30,0
INTLJSW44792.PL,D,20220510,000000,3.3,3.3,3.3,3.3,500,0
INTLJSW44792.PL,D,20220512,000000,3.36,3.36,3.36,3.36,200,0
INTLJSW44792.PL,D,20220519,000000,3.92,3.92,3.88,3.88,530,0
INTLJSW44792.PL,D,20220525,000000,3.97,3.97,3.97,3.97,295,0
INTLJSW44792.PL,D,20220608,000000,4.32,4.32,4.32,4.32,1000,0
INTLJSW44792.PL,D,20220610,000000,3.95,3.95,3.95,3.95,446,0
INTLJSW44792.PL,D,20220613,000000,3.6,3.6,3.6,3.6,754,0
INTLJSW44792.PL,D,20220622,000000,3.43,3.43,3.43,3.43,1000,0
INTLJSW44792.PL,D,20220624,000000,3,3.05,3,3.05,1815,0
INTLJSW44792.PL,D,20220704,000000,2.68,2.68,2.68,2.68,1000,0
INTLJSW44792.PL,D,20220705,000000,2.32,2.32,2.06,2.06,3500,0
INTLJSW44792.PL,D,20220706,000000,1.9,2.12,1.9,2.1,3950,0
INTLJSW44792.PL,D,20220712,000000,1.9,2.12,1.9,2.11,3950,0
INTLJSW44792.PL,D,20220810,000000,1.84,1.84,1.84,1.84,6110,0
INTLJSW44792.PL,D,20220830,000000,1.95,1.95,1.95,1.95,1000,0
INTLJSW44792.PL,D,20220831,000000,1.76,1.76,1.76,1.76,1000,0
INTLJSW44792.PL,D,20220901,000000,1.54,1.54,1.4,1.4,3195,0
INTLJSW44792.PL,D,20220902,000000,1.34,1.34,1.24,1.3,61810,0
INTLJSW44792.PL,D,20220905,000000,1.3,1.3,1.17,1.18,59000,0
