<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLNAG51490.PL,D,20220512,000000,3,4.1,3,4.1,800,0
INTLNAG51490.PL,D,20220513,000000,5.23,5.23,4.99,4.99,4070,0
INTLNAG51490.PL,D,20220516,000000,6.58,6.58,6.58,6.58,16,0
INTLNAG51490.PL,D,20220517,000000,6.48,6.48,6.48,6.48,250,0
INTLNAG51490.PL,D,20220518,000000,6.79,7,6.79,7,152,0
INTLNAG51490.PL,D,20220519,000000,6.13,6.73,6.09,6.73,908,0
INTLNAG51490.PL,D,20220520,000000,5.7,5.7,5.57,5.57,242,0
INTLNAG51490.PL,D,20220523,000000,6.31,6.31,5.6,5.96,661,0
INTLNAG51490.PL,D,20220524,000000,9.1,9.12,8.6,9.12,763,0
INTLNAG51490.PL,D,20220525,000000,8.99,10.74,8.92,10.74,1675,0
INTLNAG51490.PL,D,20220526,000000,10.76,10.76,10.76,10.76,45,0
INTLNAG51490.PL,D,20220527,000000,8.58,8.93,7.11,7.11,3353,0
INTLNAG51490.PL,D,20220530,000000,8.67,8.67,8.12,8.3,1984,0
INTLNAG51490.PL,D,20220531,000000,8.42,8.42,7,7.2,1778,0
INTLNAG51490.PL,D,20220601,000000,6.91,7.6,6.91,7.47,1253,0
INTLNAG51490.PL,D,20220602,000000,8.4,9.77,8.4,9.77,3649,0
INTLNAG51490.PL,D,20220603,000000,6.6,8,6.46,8,1570,0
INTLNAG51490.PL,D,20220606,000000,9.18,9.18,9.18,9.18,1335,0
INTLNAG51490.PL,D,20220609,000000,6.11,6.11,6.11,6.11,500,0
INTLNAG51490.PL,D,20220610,000000,9.08,9.08,8.32,8.32,748,0
INTLNAG51490.PL,D,20220613,000000,7.77,8.24,7.77,8.24,600,0
