<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLNDX30841.PL,D,20200417,000000,80.65,81,79,79,893,0
INTLNDX30841.PL,D,20200420,000000,71.9,75,71.85,75,190,0
INTLNDX30841.PL,D,20200421,000000,70.15,70.15,68,68,167,0
INTLNDX30841.PL,D,20200422,000000,63.2,65,63.1,65,119,0
INTLNDX30841.PL,D,20200423,000000,68.2,72.05,67.4,72.05,164,0
INTLNDX30841.PL,D,20200424,000000,68.75,68.8,68.75,68.8,23,0
INTLNDX30841.PL,D,20200427,000000,77.5,77.5,77.5,77.5,22,0
INTLNDX30841.PL,D,20200428,000000,80,80,80,80,44,0
INTLNDX30841.PL,D,20200430,000000,86,86,86,86,815,0
INTLNDX30841.PL,D,20200505,000000,80,80,80,80,22,0
INTLNDX30841.PL,D,20200508,000000,90.55,90.55,90.55,90.55,13,0
INTLNDX30841.PL,D,20200518,000000,92.8,92.8,92.8,92.8,50,0
INTLNDX30841.PL,D,20200526,000000,105.3,105.3,105.3,105.3,10,0
INTLNDX30841.PL,D,20200527,000000,96.9,96.9,96.9,96.9,10,0
INTLNDX30841.PL,D,20200629,000000,111,112,111,112,20,0
INTLNDX30841.PL,D,20200714,000000,142,142,140.8,140.8,23,0
INTLNDX30841.PL,D,20200722,000000,144.2,144.2,144.2,144.2,3,0
INTLNDX30841.PL,D,20200731,000000,137.6,137.6,137.6,137.6,50,0
INTLNDX30841.PL,D,20200904,000000,155,155,155,155,20,0
INTLNDX30841.PL,D,20220201,000000,310.5,310.5,310,310,8,0
INTLNDX30841.PL,D,20220217,000000,283.5,283.5,283.5,283.5,3,0
INTLNDX30841.PL,D,20220221,000000,260.5,260.5,260.5,260.5,1,0
INTLNDX30841.PL,D,20220224,000000,245,255.5,245,255.5,6,0
INTLNDX30841.PL,D,20220317,000000,276,276,276,276,4,0
INTLNDX30841.PL,D,20220512,000000,203.5,203.5,203.5,203.5,4,0
INTLNDX30841.PL,D,20220513,000000,210,214,210,214,145,0
INTLNDX30841.PL,D,20220520,000000,204,204,204,204,155,0
INTLNDX30841.PL,D,20220527,000000,207.5,207.5,207.5,207.5,300,0
