<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPAL25049.PL,D,20190923,000000,118.4,118.4,118.4,118.4,43,0
INTLPAL25049.PL,D,20190927,000000,120.3,120.3,120.3,120.3,35,0
INTLPAL25049.PL,D,20191001,000000,123.6,123.6,123.6,123.6,5,0
INTLPAL25049.PL,D,20191011,000000,135.5,135.5,135.5,135.5,5,0
INTLPAL25049.PL,D,20191018,000000,153.6,153.6,153.6,153.6,68,0
INTLPAL25049.PL,D,20200103,000000,224.9,224.9,224.9,224.9,4,0
INTLPAL25049.PL,D,20200110,000000,282.2,282.2,282.2,282.2,5,0
INTLPAL25049.PL,D,20200113,000000,282.8,282.8,282.8,282.8,5,0
INTLPAL25049.PL,D,20200115,000000,317.2,322.4,317.2,322.4,24,0
INTLPAL25049.PL,D,20200116,000000,350.6,350.6,350.6,350.6,20,0
INTLPAL25049.PL,D,20200117,000000,373.9,373.9,373.9,373.9,20,0
INTLPAL25049.PL,D,20200124,000000,389.6,389.6,389.6,389.6,4,0
INTLPAL25049.PL,D,20200316,000000,165.8,165.8,70.65,100,9,0
INTLPAL25049.PL,D,20200317,000000,82,91.1,71,91,31,0
INTLPAL25049.PL,D,20200331,000000,396.5,396.5,396.5,396.5,2,0
INTLPAL25049.PL,D,20200407,000000,349,349,349,349,4,0
INTLPAL25049.PL,D,20200421,000000,223.2,223.2,223.2,223.2,2,0
INTLPAL25049.PL,D,20200422,000000,235.7,235.7,235.7,235.7,2,0
INTLPAL25049.PL,D,20200423,000000,245.4,256.7,245.1,256.7,820,0
INTLPAL25049.PL,D,20200424,000000,256.6,257.5,256.6,257.5,800,0
INTLPAL25049.PL,D,20200428,000000,237.5,240.2,224.9,224.9,800,0
INTLPAL25049.PL,D,20200506,000000,163.3,163.3,163.3,163.3,800,0
INTLPAL25049.PL,D,20200511,000000,206,206,206,206,4,0
INTLPAL25049.PL,D,20200518,000000,252.7,252.7,252.7,252.7,4,0
INTLPAL25049.PL,D,20200520,000000,272,272,272,272,4,0
INTLPAL25049.PL,D,20200522,000000,228.4,228.4,228.4,228.4,45,0
INTLPAL25049.PL,D,20200526,000000,226.3,226.3,226.3,226.3,45,0
INTLPAL25049.PL,D,20200604,000000,202,202,189.6,189.6,4,0
INTLPAL25049.PL,D,20200626,000000,184.2,184.2,184.2,184.2,5,0
INTLPAL25049.PL,D,20200703,000000,202,202,202,202,5,0
INTLPAL25049.PL,D,20200710,000000,223.5,223.5,221.5,221.5,24,0
INTLPAL25049.PL,D,20200723,000000,286.5,286.5,286.5,286.5,2,0
INTLPAL25049.PL,D,20200727,000000,317,343,317,343,50,0
INTLPAL25049.PL,D,20200805,000000,279,279,279,279,10,0
INTLPAL25049.PL,D,20200810,000000,298,298,298,298,70,0
INTLPAL25049.PL,D,20200812,000000,286.5,286.5,286.5,286.5,50,0
INTLPAL25049.PL,D,20200818,000000,297,297,297,297,60,0
INTLPAL25049.PL,D,20200901,000000,325.5,325.5,325.5,325.5,5,0
INTLPAL25049.PL,D,20200915,000000,342,342,342,342,120,0
INTLPAL25049.PL,D,20200916,000000,370,370,370,370,5,0
INTLPAL25049.PL,D,20201012,000000,395.5,395.5,395.5,395.5,3,0
INTLPAL25049.PL,D,20201215,000000,337,337,337,337,9,0
INTLPAL25049.PL,D,20210108,000000,353,353,353,353,7,0
INTLPAL25049.PL,D,20210115,000000,383,383,383,383,7,0
INTLPAL25049.PL,D,20210208,000000,340,340,340,340,9,0
INTLPAL25049.PL,D,20210319,000000,454,454,454,454,3,0
INTLPAL25049.PL,D,20210325,000000,466.5,466.5,466.5,466.5,4,0
INTLPAL25049.PL,D,20210326,000000,488.5,488.5,488.5,488.5,4,0
INTLPAL25049.PL,D,20211005,000000,177.4,177.4,171.4,171.4,144,0
INTLPAL25049.PL,D,20211006,000000,170,170,165.4,165.4,119,0
INTLPAL25049.PL,D,20211008,000000,205,231,205,231,363,0
INTLPAL25049.PL,D,20211012,000000,261,261,261,261,1,0
INTLPAL25049.PL,D,20211014,000000,265.5,265.5,265.5,265.5,1,0
INTLPAL25049.PL,D,20211021,000000,240.5,240.5,240.5,240.5,100,0
INTLPAL25049.PL,D,20211129,000000,132,136.8,131.4,132,97,0
INTLPAL25049.PL,D,20211206,000000,126,140.4,126,140.4,8,0
INTLPAL25049.PL,D,20211207,000000,158.2,158.2,158.2,158.2,3,0
INTLPAL25049.PL,D,20211209,000000,139,141,122,129.4,81,0
INTLPAL25049.PL,D,20211210,000000,121,121,121,121,11,0
INTLPAL25049.PL,D,20211213,000000,112.8,112.8,112.8,112.8,5,0
INTLPAL25049.PL,D,20211214,000000,90.6,90.6,47.25,60.9,285,0
INTLPAL25049.PL,D,20211215,000000,51,55,29.15,35.6,437,0
INTLPAL25049.PL,D,20211216,000000,69.8,91.1,69.8,91.1,228,0
INTLPAL25049.PL,D,20211217,000000,119.8,145,119.8,141.8,102,0
