<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPEO39974.PL,D,20210510,000000,17.96,17.96,17.96,17.96,647,0
INTLPEO39974.PL,D,20210511,000000,17.96,17.96,17.2,17.44,1200,0
INTLPEO39974.PL,D,20210512,000000,16.82,16.82,16.82,16.82,647,0
INTLPEO39974.PL,D,20210513,000000,16.4,17.14,15.76,16.88,3200,0
INTLPEO39974.PL,D,20210514,000000,18.2,18.9,17.04,18.9,1270,0
INTLPEO39974.PL,D,20210517,000000,19.32,19.66,19.32,19.32,525,0
INTLPEO39974.PL,D,20210519,000000,23.6,23.6,23.6,23.6,500,0
INTLPEO39974.PL,D,20210526,000000,24.15,24.15,24.15,24.15,26,0
INTLPEO39974.PL,D,20210528,000000,28,28,28,28,86,0
INTLPEO39974.PL,D,20210601,000000,30.05,30.05,30.05,30.05,150,0
INTLPEO39974.PL,D,20210602,000000,29.4,29.4,29.4,29.4,165,0
INTLPEO39974.PL,D,20210611,000000,31.5,31.5,31.5,31.5,40,0
INTLPEO39974.PL,D,20210621,000000,31,31,30.65,30.65,300,0
INTLPEO39974.PL,D,20210624,000000,33.5,35.1,33.5,35.1,340,0
INTLPEO39974.PL,D,20210630,000000,29.9,29.9,27,27,575,0
INTLPEO39974.PL,D,20210701,000000,26.85,26.85,26.1,26.1,10,0
INTLPEO39974.PL,D,20210706,000000,24.65,24.65,24.65,24.65,5,0
INTLPEO39974.PL,D,20210707,000000,25.75,25.75,25.75,25.75,5,0
INTLPEO39974.PL,D,20210708,000000,24.8,24.8,24.05,24.3,210,0
INTLPEO39974.PL,D,20210712,000000,22.9,22.9,22.9,22.9,100,0
INTLPEO39974.PL,D,20210715,000000,23.8,23.8,23.8,23.8,5,0
INTLPEO39974.PL,D,20210716,000000,25.35,26.05,25.35,25.7,96,0
INTLPEO39974.PL,D,20210719,000000,23.1,23.1,23.1,23.1,5,0
INTLPEO39974.PL,D,20210720,000000,23.45,23.45,22.75,22.75,10,0
INTLPEO39974.PL,D,20210721,000000,23.8,26,23.8,26,15,0
INTLPEO39974.PL,D,20210802,000000,27.95,27.95,27.95,27.95,10,0
INTLPEO39974.PL,D,20210803,000000,28.5,28.5,28.5,28.5,5,0
INTLPEO39974.PL,D,20210804,000000,29.2,31,29.2,31,20,0
INTLPEO39974.PL,D,20210805,000000,31.3,31.3,31.3,31.3,81,0
INTLPEO39974.PL,D,20210806,000000,32.35,32.35,32.35,32.35,100,0
INTLPEO39974.PL,D,20210813,000000,35.2,36.75,35.2,36.75,20,0
INTLPEO39974.PL,D,20210816,000000,36.4,36.4,36.4,36.4,10,0
INTLPEO39974.PL,D,20210817,000000,35.85,35.85,35.85,35.85,5,0
INTLPEO39974.PL,D,20210819,000000,35.75,35.75,35.7,35.7,300,0
INTLPEO39974.PL,D,20210826,000000,36.45,36.45,36.45,36.45,15,0
INTLPEO39974.PL,D,20211004,000000,46.4,46.95,46.4,46.95,350,0
INTLPEO39974.PL,D,20220303,000000,41.55,41.55,41.55,41.55,10,0
INTLPEO39974.PL,D,20220307,000000,18.96,28.35,17.76,28.35,1945,0
INTLPEO39974.PL,D,20220309,000000,33.7,35,33.7,35,404,0
INTLPEO39974.PL,D,20220310,000000,34.25,34.35,34.25,34.35,546,0
INTLPEO39974.PL,D,20220311,000000,36.55,38.7,36.55,38.7,400,0
INTLPEO39974.PL,D,20220316,000000,45,45,45,45,150,0
INTLPEO39974.PL,D,20220318,000000,47.15,47.15,46.3,46.3,25,0
INTLPEO39974.PL,D,20220321,000000,44.95,44.95,44.95,44.95,15,0
INTLPEO39974.PL,D,20220325,000000,41.35,41.35,41.35,41.35,150,0
INTLPEO39974.PL,D,20220329,000000,46.45,46.45,46.45,46.45,150,0
INTLPEO39974.PL,D,20220401,000000,50.4,50.4,50.4,50.4,40,0
INTLPEO39974.PL,D,20220404,000000,51.3,51.3,51.3,51.3,155,0
INTLPEO39974.PL,D,20220425,000000,34,34,34,34,100,0
INTLPEO39974.PL,D,20220427,000000,32.65,32.65,32.65,32.65,100,0
INTLPEO39974.PL,D,20220428,000000,33.75,33.75,30.3,30.3,250,0
INTLPEO39974.PL,D,20220429,000000,33.5,33.5,31.5,31.5,300,0
INTLPEO39974.PL,D,20220505,000000,24.45,24.45,24.45,24.45,200,0
INTLPEO39974.PL,D,20220506,000000,22.95,22.95,20.55,20.55,270,0
INTLPEO39974.PL,D,20220509,000000,20.6,20.6,20.6,20.6,70,0
INTLPEO39974.PL,D,20220511,000000,18.7,18.7,16.94,16.94,1200,0
INTLPEO39974.PL,D,20220512,000000,13.1,15.8,11.96,15.8,2214,0
INTLPEO39974.PL,D,20220513,000000,18.66,20.9,18.02,20.9,604,0
INTLPEO39974.PL,D,20220516,000000,22.5,22.5,19.7,20.95,350,0
INTLPEO39974.PL,D,20220517,000000,22.95,24.7,22.95,24.7,600,0
INTLPEO39974.PL,D,20220518,000000,26.25,26.25,26.25,26.25,500,0
INTLPEO39974.PL,D,20220519,000000,21.45,21.45,21.45,21.45,1000,0
INTLPEO39974.PL,D,20220520,000000,23.95,24.15,23.4,24.15,1144,0
INTLPEO39974.PL,D,20220523,000000,26.2,26.2,26.2,26.2,200,0
INTLPEO39974.PL,D,20220525,000000,24.4,24.4,24.4,24.4,100,0
INTLPEO39974.PL,D,20220526,000000,25.5,25.5,25.5,25.5,100,0
INTLPEO39974.PL,D,20220527,000000,23.45,23.45,23.45,23.45,100,0
INTLPEO39974.PL,D,20220530,000000,25.6,25.6,25.6,25.6,100,0
INTLPEO39974.PL,D,20220606,000000,23.85,25.5,23.85,25.5,200,0
INTLPEO39974.PL,D,20220608,000000,22,22,22,22,144,0
INTLPEO39974.PL,D,20220609,000000,23.05,23.05,23.05,23.05,70,0
INTLPEO39974.PL,D,20220613,000000,12.78,12.78,11.74,11.74,1400,0
INTLPEO39974.PL,D,20220614,000000,12.74,15.32,12.38,15.32,3717,0
INTLPEO39974.PL,D,20220615,000000,15.2,15.34,13.66,15.34,1880,0
INTLPEO39974.PL,D,20220617,000000,14.02,14.58,14.02,14.1,356,0
INTLPEO39974.PL,D,20220620,000000,14.3,14.56,13.96,14.56,900,0
INTLPEO39974.PL,D,20220621,000000,15.98,15.98,14.88,14.88,500,0
INTLPEO39974.PL,D,20220622,000000,14.38,14.38,13.46,13.46,697,0
INTLPEO39974.PL,D,20220623,000000,14.1,15.44,14.1,15.44,780,0
INTLPEO39974.PL,D,20220624,000000,13.86,15.42,13.76,15.42,2900,0
INTLPEO39974.PL,D,20220628,000000,17.4,17.4,17.4,17.4,55,0
INTLPEO39974.PL,D,20220629,000000,16.08,16.08,15.6,15.92,340,0
INTLPEO39974.PL,D,20220630,000000,13.78,13.94,12.72,13.26,3500,0
INTLPEO39974.PL,D,20220701,000000,13.62,15.64,12.72,12.72,3258,0
INTLPEO39974.PL,D,20220704,000000,10.98,10.98,8.95,10.24,5503,0
INTLPEO39974.PL,D,20220705,000000,11.58,11.58,8.05,8.45,622,0
INTLPEO39974.PL,D,20220707,000000,10.62,11.98,10.32,11.24,3511,0
INTLPEO39974.PL,D,20220708,000000,10.4,13.26,9.45,13.26,6230,0
INTLPEO39974.PL,D,20220711,000000,13.12,13.46,11.58,11.64,3165,0
INTLPEO39974.PL,D,20220712,000000,10.68,10.68,7.8,7.8,5526,0
INTLPEO39974.PL,D,20220713,000000,6.45,8.13,6.45,8.13,1900,0
INTLPEO39974.PL,D,20220714,000000,7.17,7.17,5.27,5.27,1700,0
