<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPGE49114.PL,D,20220429,000000,3.05,3.05,3.05,3.05,400,0
INTLPGE49114.PL,D,20220502,000000,2.57,2.57,2.57,2.57,200,0
INTLPGE49114.PL,D,20220506,000000,2.22,2.44,2.2,2.44,10000,0
INTLPGE49114.PL,D,20220509,000000,2.54,2.54,2.54,2.54,390,0
INTLPGE49114.PL,D,20220510,000000,2.42,2.42,2.07,2.34,17762,0
INTLPGE49114.PL,D,20220511,000000,2.12,2.12,2.06,2.06,4300,0
INTLPGE49114.PL,D,20220512,000000,1.78,1.88,1.78,1.88,1900,0
INTLPGE49114.PL,D,20220513,000000,2.1,2.49,2.1,2.49,19162,0
INTLPGE49114.PL,D,20220516,000000,2.82,2.82,2.82,2.82,1000,0
INTLPGE49114.PL,D,20220517,000000,2.73,2.73,2.66,2.67,4147,0
INTLPGE49114.PL,D,20220518,000000,2.75,2.99,2.75,2.99,3837,0
INTLPGE49114.PL,D,20220519,000000,2.8,2.8,2.8,2.8,1000,0
INTLPGE49114.PL,D,20220603,000000,3.75,3.75,3.75,3.75,1000,0
INTLPGE49114.PL,D,20220607,000000,3.49,3.49,3.49,3.49,620,0
INTLPGE49114.PL,D,20220613,000000,3.26,3.29,3.26,3.29,1200,0
INTLPGE49114.PL,D,20220615,000000,3.4,3.4,3.4,3.4,50,0
INTLPGE49114.PL,D,20220617,000000,3.54,3.54,3.54,3.54,50,0
INTLPGE49114.PL,D,20220706,000000,3.04,3.04,3.04,3.04,423,0
INTLPGE49114.PL,D,20220708,000000,3.31,3.31,3.31,3.31,200,0
INTLPGE49114.PL,D,20220711,000000,2.94,3.01,2.87,2.87,79392,0
INTLPGE49114.PL,D,20220712,000000,2.73,2.73,2.73,2.73,5000,0
INTLPGE49114.PL,D,20220714,000000,3.01,3.04,3.01,3.03,50000,0
INTLPGE49114.PL,D,20220805,000000,2.6,2.6,2.6,2.6,500,0
INTLPGE49114.PL,D,20220819,000000,2.17,2.17,2,2.01,1560,0
INTLPGE49114.PL,D,20220822,000000,1.85,1.85,1.7,1.7,2000,0
INTLPGE49114.PL,D,20220823,000000,1.7,1.7,1.7,1.7,1000,0
INTLPGE49114.PL,D,20220824,000000,1.35,1.35,1.2,1.24,6417,0
INTLPGE49114.PL,D,20220825,000000,1.38,1.38,1.11,1.11,6169,0
INTLPGE49114.PL,D,20220826,000000,0.99,0.99,0.6,0.6,39797,0
