<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPKN05496.PL,D,20190524,000000,55.7,55.7,55.7,55.7,12,0
INTLPKN05496.PL,D,20190528,000000,60.55,60.55,60.55,60.55,12,0
INTLPKN05496.PL,D,20200226,000000,34.01,34.01,33.44,33.44,66,0
INTLPKN05496.PL,D,20200227,000000,33.04,33.04,27.77,27.77,65,0
INTLPKN05496.PL,D,20200228,000000,23.77,23.77,23.77,23.77,40,0
INTLPKN05496.PL,D,20200302,000000,28.29,28.29,28.29,28.29,37,0
INTLPKN05496.PL,D,20200306,000000,23.03,23.03,23.03,23.03,40,0
INTLPKN05496.PL,D,20200310,000000,21.27,21.83,20.7,20.7,727,0
INTLPKN05496.PL,D,20200311,000000,18.01,18.01,16.7,16.7,504,0
INTLPKN05496.PL,D,20200312,000000,9.7,12.34,9.7,12.34,100,0
INTLPKN05496.PL,D,20200313,000000,14.04,16.74,14.04,16.74,4732,0
INTLPKN05496.PL,D,20200316,000000,11.04,11.04,10.75,10.75,190,0
INTLPKN05496.PL,D,20200317,000000,17.05,17.05,17.05,17.05,536,0
INTLPKN05496.PL,D,20200319,000000,15.94,17.22,15.94,17.22,855,0
INTLPKN05496.PL,D,20200320,000000,20,20,19.63,19.63,90,0
INTLPKN05496.PL,D,20200324,000000,16.79,16.79,16.79,16.79,289,0
INTLPKN05496.PL,D,20200330,000000,18,18,18,18,50,0
INTLPKN05496.PL,D,20200331,000000,20.5,22.28,20.5,22.28,95,0
INTLPKN05496.PL,D,20200402,000000,25.15,26.6,25.15,26.6,220,0
INTLPKN05496.PL,D,20200403,000000,29.09,29.09,26.55,26.55,3535,0
INTLPKN05496.PL,D,20200409,000000,31.35,31.35,31.35,31.35,55,0
INTLPKN05496.PL,D,20200414,000000,31.65,31.65,31.65,31.65,55,0
INTLPKN05496.PL,D,20200428,000000,27.7,27.7,27.7,27.7,20,0
INTLPKN05496.PL,D,20200505,000000,27.3,27.3,27.3,27.3,20,0
INTLPKN05496.PL,D,20200522,000000,29.47,29.47,29.47,29.47,59,0
INTLPKN05496.PL,D,20200527,000000,35.77,35.77,33.55,33.55,79,0
INTLPKN05496.PL,D,20200528,000000,34.1,34.1,34.1,34.1,51,0
INTLPKN05496.PL,D,20200612,000000,33.3,33.3,33.3,33.3,52,0
INTLPKN05496.PL,D,20200615,000000,29.7,29.7,29.7,29.7,58,0
INTLPKN05496.PL,D,20200616,000000,33.5,33.5,33.5,33.5,52,0
INTLPKN05496.PL,D,20200617,000000,32.15,32.55,32.15,32.55,107,0
INTLPKN05496.PL,D,20200624,000000,31.8,31.8,31.8,31.8,54,0
INTLPKN05496.PL,D,20200701,000000,28.8,28.8,28.8,28.8,60,0
