<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPKO36244.PL,D,20201204,000000,6.3,6.3,6.3,6.3,328,0
INTLPKO36244.PL,D,20201209,000000,7.85,8.3,7.85,7.99,2626,0
INTLPKO36244.PL,D,20201214,000000,7.52,7.52,7.52,7.52,126,0
INTLPKO36244.PL,D,20210104,000000,7.69,7.69,7.69,7.69,3000,0
INTLPKO36244.PL,D,20210105,000000,8.1,8.1,8.1,8.1,3000,0
INTLPKO36244.PL,D,20210107,000000,9.66,9.66,9.66,9.66,328,0
INTLPKO36244.PL,D,20210108,000000,11.32,11.32,11,11.06,12000,0
INTLPKO36244.PL,D,20210111,000000,11.56,11.8,11.56,11.8,9000,0
INTLPKO36244.PL,D,20210112,000000,10.68,10.68,10.44,10.44,3119,0
INTLPKO36244.PL,D,20210113,000000,10.24,10.24,10.24,10.24,1145,0
INTLPKO36244.PL,D,20210114,000000,9.81,9.81,9.81,9.81,2000,0
INTLPKO36244.PL,D,20210115,000000,9.81,9.81,9.81,9.81,2000,0
INTLPKO36244.PL,D,20210120,000000,8.15,8.97,8.15,8.96,9700,0
INTLPKO36244.PL,D,20210121,000000,9.32,9.32,8.33,8.33,15946,0
INTLPKO36244.PL,D,20210122,000000,8.35,8.35,8.01,8.01,8800,0
INTLPKO36244.PL,D,20210125,000000,7.65,7.86,7.4,7.4,2113,0
INTLPKO36244.PL,D,20210201,000000,7.39,7.39,7.39,7.39,3000,0
INTLPKO36244.PL,D,20210202,000000,7.61,7.61,7.61,7.61,6000,0
INTLPKO36244.PL,D,20210203,000000,7.4,7.5,7.4,7.5,6000,0
INTLPKO36244.PL,D,20210204,000000,7.15,7.18,6.68,6.68,9000,0
INTLPKO36244.PL,D,20210205,000000,7.3,7.3,7.3,7.3,3000,0
INTLPKO36244.PL,D,20210208,000000,7.05,7.05,6.59,6.6,16432,0
INTLPKO36244.PL,D,20210209,000000,6.65,6.65,6.65,6.65,273,0
INTLPKO36244.PL,D,20210211,000000,6.64,6.64,6.62,6.62,6000,0
INTLPKO36244.PL,D,20210212,000000,6.59,6.59,6.28,6.35,7000,0
INTLPKO36244.PL,D,20210215,000000,7.32,7.81,7.22,7.76,30170,0
INTLPKO36244.PL,D,20210216,000000,8.51,9.98,8.51,9.66,3340,0
INTLPKO36244.PL,D,20210217,000000,9.34,9.34,9.34,9.34,2000,0
INTLPKO36244.PL,D,20210218,000000,9.65,10.04,9.2,9.2,30411,0
INTLPKO36244.PL,D,20210219,000000,8.1,8.1,8.1,8.1,245,0
INTLPKO36244.PL,D,20210223,000000,8.35,8.35,7.78,7.78,5062,0
INTLPKO36244.PL,D,20210224,000000,8.22,8.32,8.21,8.24,12000,0
INTLPKO36244.PL,D,20210225,000000,8.75,8.75,8.74,8.74,6000,0
INTLPKO36244.PL,D,20210302,000000,9.6,9.6,9.6,9.6,300,0
INTLPKO36244.PL,D,20210323,000000,11,11,11,11,1000,0
INTLPKO36244.PL,D,20210511,000000,13.26,13.26,12.8,12.8,260,0
INTLPKO36244.PL,D,20210518,000000,13.62,13.62,13.62,13.62,160,0
INTLPKO36244.PL,D,20210906,000000,21.1,21.1,21.1,21.1,50,0
INTLPKO36244.PL,D,20211006,000000,24.2,24.2,24.2,24.2,50,0
INTLPKO36244.PL,D,20211201,000000,22.3,22.3,22.3,22.3,200,0
INTLPKO36244.PL,D,20211209,000000,21.85,21.85,21.85,21.85,200,0
INTLPKO36244.PL,D,20220124,000000,23.55,23.55,23.55,23.55,400,0
INTLPKO36244.PL,D,20220221,000000,22,22,21.95,21.95,2053,0
INTLPKO36244.PL,D,20220224,000000,13.68,13.68,13.68,13.68,58,0
INTLPKO36244.PL,D,20220225,000000,15.78,18.22,15.78,18.22,2121,0
INTLPKO36244.PL,D,20220307,000000,9.63,11.04,9.54,11.02,27533,0
INTLPKO36244.PL,D,20220308,000000,10.54,11.5,10.54,11.5,415,0
