<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPLA51540.PL,D,20220512,000000,4.39,4.39,4.32,4.32,370,0
INTLPLA51540.PL,D,20220513,000000,3.76,4.18,3.76,3.76,3585,0
INTLPLA51540.PL,D,20220516,000000,3.18,3.18,2.93,2.93,1250,0
INTLPLA51540.PL,D,20220517,000000,3.78,3.78,3.78,3.78,500,0
INTLPLA51540.PL,D,20220518,000000,3.6,3.6,3.12,3.12,1400,0
INTLPLA51540.PL,D,20220519,000000,2.15,2.97,2.15,2.97,4000,0
INTLPLA51540.PL,D,20220520,000000,3.88,3.88,3.82,3.82,1800,0
INTLPLA51540.PL,D,20220523,000000,4.54,4.54,4.3,4.3,610,0
INTLPLA51540.PL,D,20220524,000000,4.09,4.09,4.09,4.09,72,0
INTLPLA51540.PL,D,20220525,000000,3.24,3.24,2.71,3.1,7522,0
INTLPLA51540.PL,D,20220526,000000,3,3.15,3,3.15,1800,0
INTLPLA51540.PL,D,20220527,000000,3.65,3.65,3.65,3.65,400,0
INTLPLA51540.PL,D,20220530,000000,3.7,3.7,3.7,3.7,1100,0
INTLPLA51540.PL,D,20220531,000000,4,4,3.76,3.94,3435,0
INTLPLA51540.PL,D,20220601,000000,4.2,5.15,4.2,4.89,3985,0
INTLPLA51540.PL,D,20220602,000000,5.8,5.9,5.56,5.68,2488,0
INTLPLA51540.PL,D,20220603,000000,6.33,6.5,6.3,6.3,1100,0
INTLPLA51540.PL,D,20220606,000000,6.7,6.7,6.41,6.41,400,0
INTLPLA51540.PL,D,20220607,000000,5.55,5.68,5.53,5.68,1555,0
INTLPLA51540.PL,D,20220608,000000,6.09,6.09,5.39,5.68,1850,0
INTLPLA51540.PL,D,20220609,000000,4.75,4.9,4,4,5073,0
INTLPLA51540.PL,D,20220610,000000,3.5,3.5,3.5,3.5,200,0
INTLPLA51540.PL,D,20220613,000000,3.48,3.48,2.6,2.6,19417,0
INTLPLA51540.PL,D,20220614,000000,3.03,3.03,2.41,2.41,4911,0
