<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPZU51839.PL,D,20220523,000000,5.2,5.2,5.2,5.2,400,0
INTLPZU51839.PL,D,20220524,000000,5.97,5.97,5.97,5.97,197,0
INTLPZU51839.PL,D,20220526,000000,5.95,5.95,5.95,5.95,200,0
INTLPZU51839.PL,D,20220530,000000,6.25,6.25,6.25,6.25,200,0
INTLPZU51839.PL,D,20220531,000000,5.9,6,5.9,6,660,0
INTLPZU51839.PL,D,20220602,000000,4.91,5.14,4.91,5.14,106,0
INTLPZU51839.PL,D,20220608,000000,3.28,3.34,3.25,3.34,978,0
INTLPZU51839.PL,D,20220609,000000,3.53,3.53,3.51,3.51,378,0
INTLPZU51839.PL,D,20220610,000000,3.01,3.01,2.72,2.72,932,0
INTLPZU51839.PL,D,20220613,000000,2.1,2.1,2.1,2.1,400,0
