<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLSLV30890.PL,D,20200417,000000,6.2,6.33,6.2,6.33,292,0
INTLSLV30890.PL,D,20200420,000000,6.43,7.37,6.43,7.26,3269,0
INTLSLV30890.PL,D,20200421,000000,6.94,7.28,3.38,4.29,13356,0
INTLSLV30890.PL,D,20200422,000000,5.1,6.59,5.1,6.59,39163,0
INTLSLV30890.PL,D,20200423,000000,7.14,7.54,6.76,7.34,21413,0
INTLSLV30890.PL,D,20200424,000000,7,7.54,6.38,6.6,10596,0
INTLSLV30890.PL,D,20200427,000000,6.68,6.83,6.04,6.04,17491,0
INTLSLV30890.PL,D,20200428,000000,5.88,6.82,5.5,6.31,9960,0
INTLSLV30890.PL,D,20200429,000000,6.63,7.32,6.63,6.82,2501,0
INTLSLV30890.PL,D,20200430,000000,8.71,8.71,4,6.21,16673,0
INTLSLV30890.PL,D,20200504,000000,5.85,5.94,4.72,4.8,15800,0
INTLSLV30890.PL,D,20200505,000000,4.8,5.85,4.75,5.49,2881,0
INTLSLV30890.PL,D,20200506,000000,6.37,6.4,5.38,5.43,3390,0
INTLSLV30890.PL,D,20200507,000000,5.9,6.48,5.84,6.48,1026,0
INTLSLV30890.PL,D,20200508,000000,7.76,8.4,7.03,8.4,6376,0
INTLSLV30890.PL,D,20200511,000000,7.99,7.99,6.59,7.5,4628,0
INTLSLV30890.PL,D,20200512,000000,8.2,8.36,8.2,8.36,648,0
INTLSLV30890.PL,D,20200513,000000,7.7,8.5,7.5,8.33,2447,0
INTLSLV30890.PL,D,20200514,000000,8.2,9.33,7.81,9.33,4393,0
INTLSLV30890.PL,D,20200515,000000,10.76,12.6,10.76,12.36,11021,0
INTLSLV30890.PL,D,20200518,000000,15.2,16.4,13.13,14.75,8643,0
INTLSLV30890.PL,D,20200519,000000,14.38,16.4,14.02,16.29,4059,0
INTLSLV30890.PL,D,20200520,000000,16.12,16.25,15.04,15.63,10561,0
INTLSLV30890.PL,D,20200521,000000,14.92,15.5,13.04,13.04,5469,0
