<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLUSD53991.PL,D,20220711,000000,25.65,28.45,25.65,28.45,431,0
INTLUSD53991.PL,D,20220712,000000,31.2,36.1,29.5,31.1,6767,0
INTLUSD53991.PL,D,20220713,000000,34.4,35.5,29.75,29.75,2634,0
INTLUSD53991.PL,D,20220714,000000,33.55,35.1,32.9,35.1,1187,0
INTLUSD53991.PL,D,20220715,000000,29.45,29.45,29.45,29.45,12,0
INTLUSD53991.PL,D,20220718,000000,22.5,22.5,22.5,22.5,89,0
INTLUSD53991.PL,D,20220719,000000,18.58,18.58,14.32,15.98,5569,0
INTLUSD53991.PL,D,20220720,000000,13.82,22,13.82,18.34,3032,0
INTLUSD53991.PL,D,20220721,000000,18.48,19.72,15,18.12,2186,0
INTLUSD53991.PL,D,20220722,000000,19.12,22.05,13.5,14.02,3443,0
INTLUSD53991.PL,D,20220725,000000,13,14.92,8.69,11.24,13476,0
INTLUSD53991.PL,D,20220726,000000,11.76,19.02,11.76,18.04,9331,0
INTLUSD53991.PL,D,20220727,000000,19.66,25.15,19.5,25.15,3938,0
INTLUSD53991.PL,D,20220728,000000,21,24,20.15,21.6,1426,0
INTLUSD53991.PL,D,20220729,000000,15.16,17.48,12,17.48,6043,0
INTLUSD53991.PL,D,20220801,000000,12.48,12.64,9.46,9.46,3205,0
