<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSALE53462.PL,D,20220623,000000,8.95,8.95,8,8,4508,0
INTSALE53462.PL,D,20220624,000000,8.05,8.05,7.12,7.12,930,0
INTSALE53462.PL,D,20220627,000000,6.85,6.85,6.85,6.85,50,0
INTSALE53462.PL,D,20220628,000000,6.5,6.94,6.3,6.93,2500,0
INTSALE53462.PL,D,20220629,000000,7.4,7.51,6.5,6.5,2960,0
INTSALE53462.PL,D,20220630,000000,7,7,6.86,6.86,249,0
INTSALE53462.PL,D,20220701,000000,6.64,7.64,6.57,7.64,657,0
INTSALE53462.PL,D,20220704,000000,7.87,8.12,7.73,8.12,817,0
INTSALE53462.PL,D,20220705,000000,7.86,8.89,7.8,8.52,3141,0
INTSALE53462.PL,D,20220706,000000,7.44,7.44,4.85,4.85,8805,0
