<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSBCO55939.PL,D,20220819,000000,7.31,7.72,7.31,7.72,300,0
INTSBCO55939.PL,D,20220822,000000,7.56,8.49,7.56,8.49,580,0
INTSBCO55939.PL,D,20220823,000000,6.5,6.57,5.57,5.57,2407,0
INTSBCO55939.PL,D,20220824,000000,5.31,5.45,4.78,5.31,4231,0
INTSBCO55939.PL,D,20220825,000000,4.6,4.9,4.32,4.67,16440,0
INTSBCO55939.PL,D,20220826,000000,5.05,6.25,4.87,6.25,7818,0
INTSBCO55939.PL,D,20220829,000000,4.96,4.96,3.96,3.96,5160,0
INTSBCO55939.PL,D,20220830,000000,3.59,5.43,3.37,5.43,18910,0
INTSBCO55939.PL,D,20220831,000000,5.69,7.17,5.69,6.34,6636,0
INTSBCO55939.PL,D,20220901,000000,7.24,8.04,7.15,7.88,6801,0
INTSBCO55939.PL,D,20220902,000000,7.53,7.83,7.13,7.34,6238,0
INTSBCO55939.PL,D,20220905,000000,7.11,7.11,6.42,6.42,5102,0
