<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSBND50716.PL,D,20220502,000000,49,49,45,45,60,0
INTSBND50716.PL,D,20220505,000000,47,47,47,47,20,0
INTSBND50716.PL,D,20220506,000000,52.8,57.5,52.8,57.5,23,0
INTSBND50716.PL,D,20220509,000000,60.5,60.5,60.5,60.5,100,0
INTSBND50716.PL,D,20220510,000000,53.2,53.2,52,52,140,0
INTSBND50716.PL,D,20220511,000000,47,53.7,47,52.5,198,0
INTSBND50716.PL,D,20220512,000000,40.4,40.4,39.5,39.5,103,0
INTSBND50716.PL,D,20220513,000000,44.4,46.25,42.65,46.25,132,0
INTSBND50716.PL,D,20220517,000000,48.1,48.1,48.1,48.1,170,0
INTSBND50716.PL,D,20220518,000000,50.9,52.5,50.9,52.5,140,0
INTSBND50716.PL,D,20220520,000000,46.8,46.8,46.8,46.8,1000,0
INTSBND50716.PL,D,20220530,000000,48.75,48.8,48.75,48.8,100,0
INTSBND50716.PL,D,20220603,000000,61.8,61.8,61.8,61.8,2,0
INTSBND50716.PL,D,20220607,000000,64.6,64.8,64.6,64.8,44,0
INTSBND50716.PL,D,20220615,000000,95.4,95.4,89.2,89.2,56,0
INTSBND50716.PL,D,20220620,000000,86.4,86.4,86.4,86.4,2,0
INTSBND50716.PL,D,20220701,000000,60,60,60,60,50,0
INTSBND50716.PL,D,20220706,000000,50,50,50,50,50,0
INTSBND50716.PL,D,20220713,000000,49.95,51,49.95,51,500,0
INTSBND50716.PL,D,20220715,000000,49,49,48,48,500,0
INTSBND50716.PL,D,20220729,000000,30.15,30.15,30.15,30.15,100,0
INTSBND50716.PL,D,20220802,000000,16.54,17.84,15.8,17.84,348,0
INTSBND50716.PL,D,20220809,000000,30.5,30.5,30.5,30.5,10,0
INTSBND50716.PL,D,20220817,000000,39.4,39.4,39.4,39.4,7,0
INTSBND50716.PL,D,20220823,000000,54.8,54.8,54.8,54.8,6,0
INTSBND50716.PL,D,20220825,000000,56.7,56.7,56.1,56.1,13,0
INTSBND50716.PL,D,20220826,000000,56.1,56.1,56.1,56.1,6,0
INTSBND50716.PL,D,20220829,000000,66.3,67.4,66.3,67.4,12,0
INTSBND50716.PL,D,20220830,000000,65.7,65.7,62.2,62.2,90,0
INTSBND50716.PL,D,20220905,000000,68.5,68.5,68.5,68.5,18,0
