<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSDAX44677.PL,D,20211214,000000,162.4,162.4,162.4,162.4,100,0
INTSDAX44677.PL,D,20211216,000000,159.4,159.4,159.4,159.4,7,0
INTSDAX44677.PL,D,20211220,000000,186.6,186.6,186.6,186.6,2,0
INTSDAX44677.PL,D,20211230,000000,148,148,146,146,9,0
INTSDAX44677.PL,D,20220104,000000,132.2,132.2,132.2,132.2,8,0
INTSDAX44677.PL,D,20220107,000000,140.4,140.4,140.4,140.4,8,0
INTSDAX44677.PL,D,20220119,000000,148.8,148.8,142,142,100,0
INTSDAX44677.PL,D,20220120,000000,148,148,144.2,144.2,100,0
INTSDAX44677.PL,D,20220124,000000,168.4,170.4,168.4,170.4,50,0
INTSDAX44677.PL,D,20220126,000000,166.2,166.2,166.2,166.2,7,0
INTSDAX44677.PL,D,20220127,000000,172.4,172.4,172.4,172.4,100,0
INTSDAX44677.PL,D,20220128,000000,168.4,168.4,168.4,168.4,100,0
INTSDAX44677.PL,D,20220204,000000,177,177,177,177,6,0
INTSDAX44677.PL,D,20220208,000000,168.6,172.8,168.6,172.4,13,0
INTSDAX44677.PL,D,20220209,000000,157.2,157.2,157.2,157.2,1,0
INTSDAX44677.PL,D,20220211,000000,163.8,163.8,163.8,163.8,4,0
INTSDAX44677.PL,D,20220217,000000,166.2,166.2,166.2,166.2,100,0
INTSDAX44677.PL,D,20220221,000000,191,191,191,191,5,0
INTSDAX44677.PL,D,20220222,000000,204.5,205,204.5,205,98,0
INTSDAX44677.PL,D,20220223,000000,184.6,184.6,184.6,184.6,54,0
INTSDAX44677.PL,D,20220224,000000,237,238.5,237,238.5,502,0
INTSDAX44677.PL,D,20220225,000000,226.5,226.5,206.5,206.5,7,0
INTSDAX44677.PL,D,20220301,000000,229.5,230,229.5,230,106,0
INTSDAX44677.PL,D,20220302,000000,250,250,244.5,244.5,300,0
INTSDAX44677.PL,D,20220303,000000,242.5,242.5,242.5,242.5,1,0
INTSDAX44677.PL,D,20220304,000000,267,267,265.5,265.5,106,0
INTSDAX44677.PL,D,20220307,000000,301.5,301.5,301.5,301.5,2,0
INTSDAX44677.PL,D,20220308,000000,309,309,300,300,11,0
INTSDAX44677.PL,D,20220314,000000,233,233,233,233,4,0
INTSDAX44677.PL,D,20220315,000000,249,249,249,249,80,0
INTSDAX44677.PL,D,20220317,000000,214,214,213,213,45,0
INTSDAX44677.PL,D,20220318,000000,220,220,218,218,80,0
INTSDAX44677.PL,D,20220321,000000,213,213,213,213,2,0
INTSDAX44677.PL,D,20220323,000000,209.5,215.5,209.5,215,225,0
INTSDAX44677.PL,D,20220329,000000,189,189,189,189,5,0
INTSDAX44677.PL,D,20220330,000000,198.2,202.5,198.2,202.5,28,0
INTSDAX44677.PL,D,20220406,000000,222,223.5,222,223.5,225,0
INTSDAX44677.PL,D,20220412,000000,230,230,223,223,10,0
INTSDAX44677.PL,D,20220422,000000,211,217,211,217,170,0
INTSDAX44677.PL,D,20220506,000000,243,243,243,243,700,0
INTSDAX44677.PL,D,20220509,000000,247.5,247.5,247.5,247.5,42,0
INTSDAX44677.PL,D,20220510,000000,246.5,246.5,246.5,246.5,85,0
INTSDAX44677.PL,D,20220513,000000,229.5,229.5,229.5,229.5,10,0
INTSDAX44677.PL,D,20220526,000000,213.5,213.5,210,210,60,0
INTSDAX44677.PL,D,20220531,000000,196.6,196.6,196,196,126,0
INTSDAX44677.PL,D,20220607,000000,195.8,195.8,195.8,195.8,76,0
INTSDAX44677.PL,D,20220609,000000,209,209,206.5,206.5,173,0
INTSDAX44677.PL,D,20220613,000000,244,247,244,247,375,0
INTSDAX44677.PL,D,20220614,000000,250,250,250,250,5,0
INTSDAX44677.PL,D,20220706,000000,287,287,287,287,17,0
INTSDAX44677.PL,D,20220707,000000,279,279,279,279,35,0
INTSDAX44677.PL,D,20220720,000000,259,259,259,259,40,0
INTSDAX44677.PL,D,20220726,000000,262,262,262,262,16,0
INTSDAX44677.PL,D,20220729,000000,250,250,243,243,94,0
INTSDAX44677.PL,D,20220810,000000,232.5,232.5,232.5,232.5,22,0
INTSDAX44677.PL,D,20220816,000000,223,223,223,223,6,0
INTSDAX44677.PL,D,20220817,000000,222.5,222.5,222.5,222.5,20,0
INTSDAX44677.PL,D,20220818,000000,231.5,231.5,231.5,231.5,17,0
INTSDAX44677.PL,D,20220819,000000,237.5,238,237.5,238,27,0
INTSDAX44677.PL,D,20220822,000000,241.5,256.5,241.5,256.5,132,0
INTSDAX44677.PL,D,20220824,000000,255,255,255,255,20,0
INTSDAX44677.PL,D,20220825,000000,250,250,250,250,81,0
INTSDAX44677.PL,D,20220826,000000,264.5,264.5,264.5,264.5,16,0
INTSDAX44677.PL,D,20220905,000000,273,273,273,273,40,0
