<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSESX45450.PL,D,20211215,000000,26.3,26.3,26.3,26.3,100,0
INTSESX45450.PL,D,20211228,000000,18.7,18.7,18.7,18.7,100,0
INTSESX45450.PL,D,20220103,000000,17.4,17.68,17.4,17.68,568,0
INTSESX45450.PL,D,20220104,000000,15.9,15.9,15.9,15.9,500,0
INTSESX45450.PL,D,20220110,000000,19.44,20.55,19.44,20.55,200,0
INTSESX45450.PL,D,20220117,000000,19.44,20.55,19.44,19.5,200,0
INTSESX45450.PL,D,20220124,000000,26.7,28.6,26.7,28.4,175,0
INTSESX45450.PL,D,20220125,000000,29.95,29.95,27.7,27.7,75,0
INTSESX45450.PL,D,20220126,000000,24.2,24.2,23.3,23.3,50,0
INTSESX45450.PL,D,20220127,000000,27.25,27.25,26.5,26.5,40,0
INTSESX45450.PL,D,20220201,000000,21.2,21.85,21.2,21.85,225,0
INTSESX45450.PL,D,20220203,000000,22.4,23.95,22.4,23.95,50,0
INTSESX45450.PL,D,20220204,000000,24,27.75,24,27.75,75,0
INTSESX45450.PL,D,20220207,000000,26.05,26.05,26.05,26.05,50,0
INTSESX45450.PL,D,20220208,000000,26,26.05,25.45,26,79,0
INTSESX45450.PL,D,20220209,000000,22.85,22.85,21.9,21.9,825,0
INTSESX45450.PL,D,20220210,000000,20.55,23.25,20.55,23.25,303,0
INTSESX45450.PL,D,20220211,000000,23.15,23.3,23.15,23.3,120,0
INTSESX45450.PL,D,20220214,000000,28.95,30.7,27.7,28.95,875,0
INTSESX45450.PL,D,20220215,000000,26.05,26.05,24.4,24.4,240,0
INTSESX45450.PL,D,20220218,000000,27.45,27.45,27.45,27.45,20,0
INTSESX45450.PL,D,20220221,000000,30.5,32.5,30.5,32.5,150,0
INTSESX45450.PL,D,20220222,000000,35.15,35.45,30.7,31.65,1293,0
INTSESX45450.PL,D,20220223,000000,31.35,31.95,31.35,31.95,175,0
INTSESX45450.PL,D,20220224,000000,40.55,40.55,38.6,38.6,549,0
INTSESX45450.PL,D,20220225,000000,38.45,38.45,38.45,38.45,100,0
INTSESX45450.PL,D,20220228,000000,39.3,39.3,39.3,39.3,15,0
INTSESX45450.PL,D,20220301,000000,40.15,40.15,40.15,40.15,25,0
INTSESX45450.PL,D,20220302,000000,44,44,44,44,25,0
INTSESX45450.PL,D,20220316,000000,35.7,36.7,35.7,36.7,110,0
INTSESX45450.PL,D,20220627,000000,44.85,44.85,44.85,44.85,60,0
INTSESX45450.PL,D,20220718,000000,46.45,46.45,46.45,46.45,10,0
INTSESX45450.PL,D,20220722,000000,42.75,42.75,42.75,42.75,350,0
INTSESX45450.PL,D,20220725,000000,42.9,42.9,42.9,42.9,10,0
INTSESX45450.PL,D,20220726,000000,42.3,42.3,42.25,42.25,350,0
INTSESX45450.PL,D,20220801,000000,36.65,36.65,36.65,36.65,1000,0
INTSESX45450.PL,D,20220803,000000,36.55,36.55,36.55,36.55,120,0
INTSESX45450.PL,D,20220812,000000,32.8,32.8,32.8,32.8,25,0
INTSESX45450.PL,D,20220822,000000,38.2,38.2,37.75,37.75,1119,0
