<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSEUD03764.PL,D,20171229,000000,50.5,50.5,50.5,50.5,34,0
INTSEUD03764.PL,D,20180104,000000,47.2,47.2,47.2,47.2,37,0
INTSEUD03764.PL,D,20180105,000000,48.1,48.1,48.1,48.1,36,0
INTSEUD03764.PL,D,20180108,000000,50.5,51,50.5,51,44,0
INTSEUD03764.PL,D,20180116,000000,42.44,42.44,42.44,42.44,500,0
INTSEUD03764.PL,D,20180122,000000,40.2,40.2,40.2,40.2,500,0
INTSEUD03764.PL,D,20180129,000000,36,36,36,36,179,0
INTSEUD03764.PL,D,20180219,000000,33.6,34.88,33.6,34.88,229,0
INTSEUD03764.PL,D,20180221,000000,36.67,36.67,36.67,36.67,204,0
INTSEUD03764.PL,D,20180222,000000,37.98,37.98,37.98,37.98,25,0
INTSEUD03764.PL,D,20180227,000000,38.6,38.6,38.6,38.6,43,0
INTSEUD03764.PL,D,20180228,000000,40.84,40.84,40.84,40.84,43,0
INTSEUD03764.PL,D,20180301,000000,42.32,43.2,42.32,43.2,212,0
INTSEUD03764.PL,D,20180302,000000,39.34,39.34,37.96,37.96,212,0
INTSEUD03764.PL,D,20180312,000000,37,37,37,37,402,0
INTSEUD03764.PL,D,20180314,000000,35.61,35.61,35.61,35.61,198,0
INTSEUD03764.PL,D,20180316,000000,38.29,38.29,38.29,38.29,204,0
INTSEUD03764.PL,D,20180322,000000,35.33,35.33,35.33,35.33,150,0
INTSEUD03764.PL,D,20180329,000000,36.79,36.79,36.79,36.79,9,0
INTSEUD03764.PL,D,20180410,000000,36.31,36.31,36.31,36.31,50,0
INTSEUD03764.PL,D,20180420,000000,37.83,37.83,37.83,37.83,50,0
INTSEUD03764.PL,D,20180426,000000,44.1,44.1,44.1,44.1,68,0
INTSEUD03764.PL,D,20180510,000000,51.1,51.1,51.1,51.1,68,0
INTSEUD03764.PL,D,20180521,000000,60.5,60.5,60.5,60.5,179,0
INTSEUD03764.PL,D,20180606,000000,58,58,58,58,145,0
INTSEUD03764.PL,D,20180810,000000,72,72,72,72,145,0
INTSEUD03764.PL,D,20181220,000000,67.8,67.8,67.8,67.8,15,0
INTSEUD03764.PL,D,20181221,000000,70.15,70.15,70.15,70.15,15,0
INTSEUD03764.PL,D,20190426,000000,81.2,81.2,81.2,81.2,150,0
INTSEUD03764.PL,D,20200406,000000,98.3,98.3,98.3,98.3,20,0
INTSEUD03764.PL,D,20200407,000000,91.85,91.85,91.85,91.85,20,0
INTSEUD03764.PL,D,20200604,000000,73.2,73.2,73.2,73.2,32,0
INTSEUD03764.PL,D,20200605,000000,68,68,68,68,13,0
INTSEUD03764.PL,D,20200608,000000,68.1,68.1,68.1,68.1,13,0
INTSEUD03764.PL,D,20200706,000000,66.9,66.9,66.9,66.9,38,0
INTSEUD03764.PL,D,20200714,000000,64.3,64.3,64.3,64.3,12,0
INTSEUD03764.PL,D,20200723,000000,54.1,54.1,54.1,54.1,23,0
INTSEUD03764.PL,D,20200724,000000,53.1,53.1,53.1,53.1,140,0
INTSEUD03764.PL,D,20200727,000000,46.1,46.1,46.1,46.1,23,0
INTSEUD03764.PL,D,20200731,000000,42.25,42.75,42.25,42.75,48,0
INTSEUD03764.PL,D,20200804,000000,44.35,44.35,44.35,44.35,46,0
INTSEUD03764.PL,D,20200817,000000,41.45,41.45,41.45,41.45,40,0
INTSEUD03764.PL,D,20200910,000000,42.35,42.35,42.35,42.35,100,0
INTSEUD03764.PL,D,20200917,000000,43.95,43.95,43.4,43.4,123,0
INTSEUD03764.PL,D,20200922,000000,44.75,46.8,44.75,46.8,128,0
INTSEUD03764.PL,D,20200923,000000,46.8,46.8,46.8,46.8,11,0
INTSEUD03764.PL,D,20201106,000000,38.8,39.4,38.8,39.4,28,0
INTSEUD03764.PL,D,20201109,000000,37.7,37.7,37.7,37.7,140,0
INTSEUD03764.PL,D,20201207,000000,27.7,27.7,26.35,26.35,1134,0
INTSEUD03764.PL,D,20201208,000000,27.9,27.9,26.9,27.65,45,0
INTSEUD03764.PL,D,20201209,000000,28.15,28.3,27.9,28.3,1154,0
INTSEUD03764.PL,D,20201210,000000,27.85,27.85,25.5,25.5,41,0
INTSEUD03764.PL,D,20201211,000000,26.45,27.15,26.45,27.15,40,0
INTSEUD03764.PL,D,20201214,000000,25.6,26.35,24.9,26.35,40,0
INTSEUD03764.PL,D,20201217,000000,22.25,22.25,21.7,21.7,20,0
INTSEUD03764.PL,D,20210104,000000,19.7,19.7,19.62,19.62,322,0
INTSEUD03764.PL,D,20210105,000000,20.7,20.7,20.65,20.65,137,0
INTSEUD03764.PL,D,20210107,000000,19.56,19.96,19.56,19.96,99,0
INTSEUD03764.PL,D,20210108,000000,22.35,22.35,20.45,22,197,0
INTSEUD03764.PL,D,20210111,000000,23.2,25.7,23.2,25.15,2507,0
INTSEUD03764.PL,D,20210112,000000,25.4,25.4,24.75,24.75,179,0
INTSEUD03764.PL,D,20210113,000000,23.2,23.8,23.2,23.8,136,0
INTSEUD03764.PL,D,20210114,000000,25.1,25.1,24.95,24.95,250,0
INTSEUD03764.PL,D,20210118,000000,28,28,27.8,27.95,110,0
INTSEUD03764.PL,D,20210119,000000,25.8,25.9,25.3,25.9,115,0
INTSEUD03764.PL,D,20210120,000000,25.7,26.1,25.7,26.1,63,0
INTSEUD03764.PL,D,20210121,000000,24.15,24.15,24.15,24.15,35,0
INTSEUD03764.PL,D,20210122,000000,24.65,24.65,24.05,24.05,70,0
